step,zone,n_links,mean_rssi_dbm,min_rssi_dbm,max_rssi_dbm,mean_propagation_loss_db,min_propagation_loss_db,max_propagation_loss_db
1,0,56,-82.85220561708722,-120.0,-48.85166549682617,105.85220561708722,71.85166549682617,143.0
2,0,110,-81.54415910894221,-120.0,-37.48976135253906,104.54415910894221,60.48976135253906,143.0
3,0,306,-84.22461736591814,-120.0,-40.53507614135742,107.22461736591814,63.53507614135742,143.0
4,0,420,-83.76288488478887,-120.0,-37.63555908203125,106.76288488478887,60.63555908203125,143.0
5,0,702,-80.47921138339572,-120.0,-40.29494094848633,103.47921138339572,63.29494094848633,143.0
6,0,992,-79.6982761852203,-120.0,-38.8214225769043,102.6982761852203,61.8214225769043,143.0
7,0,1122,-76.67062176995098,-120.0,-37.257511138916016,99.67062176995098,60.257511138916016,143.0
8,0,1260,-75.368812830486,-120.0,-37.21330642700195,98.368812830486,60.21330642700195,143.0
9,0,1332,-73.27366791974318,-120.0,-37.20332336425781,96.27366791974318,60.20332336425781,143.0
10,0,1332,-71.25063804534821,-120.0,-36.00768280029297,94.25063804534821,59.00768280029297,143.0
11,0,1332,-69.61414193391084,-120.0,-37.202213287353516,92.61414193391084,60.202213287353516,143.0
12,0,1332,-67.42341817678275,-120.0,-30.958019256591797,90.42341817678275,53.9580192565918,143.0
13,0,1332,-66.61974977373004,-120.0,-36.264034271240234,89.61974977373004,59.264034271240234,143.0
14,0,1332,-65.85522785415878,-120.0,-30.610387802124023,88.85522785415878,53.61038780212402,143.0
15,0,1332,-64.58021695477827,-120.0,-30.529861450195312,87.58021695477827,53.52986145019531,143.0
16,0,1332,-64.15185341534314,-120.0,-30.377540588378906,87.15185341534314,53.377540588378906,143.0
17,0,1406,-64.10496786614061,-120.0,-30.3767032623291,87.10496786614061,53.3767032623291,143.0
18,0,1482,-63.58122451360087,-120.0,-30.86495590209961,86.58122451360087,53.86495590209961,143.0
19,0,1482,-63.17267948670587,-120.0,-32.795074462890625,86.17267948670587,55.795074462890625,143.0
20,0,1406,-63.53510913604693,-120.0,-30.72844123840332,86.53510913604693,53.72844123840332,143.0
21,0,1482,-64.05119203266345,-120.0,-30.400686264038086,87.05119203266345,53.400686264038086,143.0
22,0,1482,-63.87922374246574,-120.0,-30.48925018310547,86.87922374246574,53.48925018310547,143.0
23,0,1560,-64.202961400839,-120.0,-30.579111099243164,87.202961400839,53.579111099243164,143.0
24,0,1560,-64.40914152341011,-120.0,-30.460933685302734,87.40914152341011,53.460933685302734,143.0
25,0,1482,-63.857831767052616,-120.0,-30.433372497558594,86.85783176705262,53.433372497558594,143.0
26,0,1406,-63.145559465562975,-120.0,-30.43219757080078,86.14555946556297,53.43219757080078,143.0
27,0,1560,-64.29962149889042,-120.0,-30.432170867919922,87.29962149889042,53.43217086791992,143.0
28,0,1482,-63.76089681144025,-120.0,-30.432165145874023,86.76089681144025,53.43216514587402,143.0
29,0,1560,-64.4869632036258,-120.0,-30.432165145874023,87.4869632036258,53.43216514587402,143.0
30,0,1560,-64.43207497841273,-120.0,-30.432165145874023,87.43207497841273,53.43216514587402,143.0
31,0,1560,-64.59087176445203,-120.0,-30.432165145874023,87.59087176445203,53.43216514587402,143.0
32,0,1560,-65.28826261178041,-120.0,-30.404569625854492,88.28826261178041,53.40456962585449,143.0
33,0,1482,-63.819406352384206,-120.0,-30.432165145874023,86.8194063523842,53.43216514587402,143.0
34,0,1560,-64.55278607637455,-120.0,-30.432165145874023,87.55278607637455,53.43216514587402,143.0
35,0,1482,-63.79775249620198,-120.0,-30.432165145874023,86.79775249620198,53.43216514587402,143.0
36,0,1560,-64.64754815957485,-120.0,-30.432165145874023,87.64754815957485,53.43216514587402,143.0
37,0,1482,-63.605028294036906,-120.0,-30.432165145874023,86.60502829403691,53.43216514587402,143.0
38,0,1560,-65.27744064575586,-120.0,-30.432165145874023,88.27744064575586,53.43216514587402,143.0
39,0,1560,-65.53364561032026,-120.0,-30.432165145874023,88.53364561032026,53.43216514587402,143.0
40,0,1482,-64.86399512863674,-120.0,-30.432165145874023,87.86399512863674,53.43216514587402,143.0
41,0,1482,-66.73399211456258,-120.0,-30.432165145874023,89.73399211456258,53.43216514587402,143.0
42,0,1482,-66.06461883781732,-120.0,-30.432165145874023,89.06461883781732,53.43216514587402,143.0
43,0,1482,-66.02410703342453,-120.0,-30.432165145874023,89.02410703342453,53.43216514587402,143.0
44,0,1482,-65.62195768883997,-120.0,-30.432165145874023,88.62195768883997,53.43216514587402,143.0
45,0,1406,-63.81941889495633,-120.0,-30.432165145874023,86.81941889495633,53.43216514587402,143.0
46,0,1560,-64.06431955435337,-120.0,-30.432165145874023,87.06431955435337,53.43216514587402,143.0
47,0,1560,-63.63351820432223,-120.0,-30.432165145874023,86.63351820432223,53.43216514587402,143.0
48,0,1560,-63.23035689378396,-120.0,-30.8563175201416,86.23035689378396,53.8563175201416,143.0
49,0,1482,-61.46942011772701,-120.0,-29.83355712890625,84.46942011772701,52.83355712890625,143.0
50,0,1560,-61.499986501840446,-120.0,-30.598316192626953,84.49998650184045,53.59831619262695,143.0
51,0,1560,-61.074009932004486,-120.0,-28.752140045166016,84.07400993200449,51.752140045166016,143.0
52,0,1560,-60.865466392957245,-120.0,-30.432600021362305,83.86546639295725,53.432600021362305,143.0
53,0,1560,-60.4703668154203,-120.0,-30.432151794433594,83.4703668154203,53.432151794433594,143.0
54,0,1560,-60.24924612534352,-120.0,-30.830175399780273,83.24924612534352,53.83017539978027,143.0
55,0,1560,-60.30131802192101,-120.0,-30.44992446899414,83.30131802192102,53.44992446899414,143.0
56,0,1482,-61.43228833331109,-120.0,-30.538555145263672,84.43228833331109,53.53855514526367,143.0
57,0,1560,-61.796256588666864,-120.0,-30.41411590576172,84.79625658866686,53.41411590576172,143.0
58,0,1560,-62.200071437542256,-120.0,-30.408382415771484,85.20007143754225,53.408382415771484,143.0
59,0,1482,-60.11990086945445,-89.46268463134766,-30.640836715698242,83.11990086945445,53.64083671569824,112.46268463134766
60,0,1560,-60.71469313548162,-90.041748046875,-32.33967971801758,83.71469313548161,55.33967971801758,113.041748046875
61,0,1560,-60.86042393415402,-92.79692840576172,-31.408349990844727,83.86042393415403,54.40834999084473,115.79692840576172
62,0,1482,-60.79596893732686,-91.0565414428711,-30.933481216430664,83.79596893732686,53.933481216430664,114.0565414428711
63,0,1482,-63.40708234789561,-120.0,-31.331697463989258,86.40708234789561,54.33169746398926,143.0
64,0,1560,-64.17976674055441,-120.0,-29.44098472595215,87.17976674055441,52.44098472595215,143.0
65,0,1560,-64.57182114674495,-120.0,-30.47183609008789,87.57182114674495,53.47183609008789,143.0
66,0,1482,-64.42958382620664,-120.0,-32.27509307861328,87.42958382620664,55.27509307861328,143.0
67,0,1482,-63.759058958766595,-120.0,-32.542747497558594,86.75905895876659,55.542747497558594,143.0
68,0,1406,-63.23804750890176,-120.0,-32.31262969970703,86.23804750890176,55.31262969970703,143.0
69,0,1406,-62.86357778980586,-120.0,-31.635887145996094,85.86357778980586,54.635887145996094,143.0
70,0,1406,-64.21110772069115,-120.0,-30.39878273010254,87.21110772069115,53.39878273010254,143.0
71,0,1560,-65.42457357064272,-120.0,-30.554973602294922,88.42457357064272,53.55497360229492,143.0
72,0,1406,-63.768723782231426,-120.0,-30.692087173461914,86.76872378223143,53.692087173461914,143.0
73,0,1482,-63.710615240449684,-120.0,-30.999292373657227,86.71061524044968,53.99929237365723,143.0
74,0,1482,-63.26506544156918,-120.0,-30.429767608642578,86.26506544156918,53.42976760864258,143.0
75,0,1482,-62.14486342210036,-120.0,-31.448307037353516,85.14486342210036,54.448307037353516,143.0
76,0,1560,-62.45788684013562,-120.0,-31.44941520690918,85.45788684013561,54.44941520690918,143.0
77,0,1482,-61.110625806285945,-91.71891784667969,-31.44941520690918,84.11062580628595,54.44941520690918,114.71891784667969
78,0,1560,-61.736115311353636,-120.0,-31.44941520690918,84.73611531135364,54.44941520690918,143.0
79,0,1560,-62.141498670822536,-120.0,-30.437644958496094,85.14149867082253,53.437644958496094,143.0
80,0,1560,-62.297031361017474,-120.0,-30.866302490234375,85.29703136101747,53.866302490234375,143.0
81,0,1406,-60.41725454154089,-91.0898666381836,-31.44941520690918,83.4172545415409,54.44941520690918,114.0898666381836
82,0,1482,-61.15958660141177,-120.0,-31.099773406982422,84.15958660141177,54.09977340698242,143.0
83,0,1560,-61.925264160449686,-120.0,-31.44941520690918,84.92526416044969,54.44941520690918,143.0
84,0,1482,-61.48768494486326,-120.0,-31.44941520690918,84.48768494486326,54.44941520690918,143.0
85,0,1560,-63.15259824410463,-120.0,-31.44941520690918,86.15259824410464,54.44941520690918,143.0
86,0,1482,-62.51379921561793,-120.0,-31.449413299560547,85.51379921561792,54.44941329956055,143.0
87,0,1560,-64.3991819345034,-120.0,-31.449413299560547,87.3991819345034,54.44941329956055,143.0
88,0,1560,-63.59496293190198,-120.0,-31.44941520690918,86.59496293190199,54.44941520690918,143.0
89,0,1560,-63.43306951278295,-120.0,-31.44941520690918,86.43306951278295,54.44941520690918,143.0
90,0,1560,-63.26106335566594,-120.0,-31.44941520690918,86.26106335566594,54.44941520690918,143.0
91,0,1560,-62.12843348674285,-120.0,-31.44941520690918,85.12843348674285,54.44941520690918,143.0
92,0,1560,-61.81468572616577,-108.86186981201172,-31.44941520690918,84.81468572616578,54.44941520690918,131.86186981201172
93,0,1560,-61.92155313980885,-108.86186981201172,-32.452884674072266,84.92155313980885,55.452884674072266,131.86186981201172
94,0,1560,-62.132747449630344,-108.86186981201172,-29.380212783813477,85.13274744963034,52.38021278381348,131.86186981201172
95,0,1560,-62.59479673581246,-120.0,-30.401140213012695,85.59479673581245,53.401140213012695,143.0
96,0,1560,-62.64996432279929,-120.0,-30.39769744873047,85.64996432279929,53.39769744873047,143.0
97,0,1560,-62.93700760572384,-120.0,-33.04866027832031,85.93700760572384,56.04866027832031,143.0
98,0,1332,-61.66482827183721,-93.60511016845703,-30.442846298217773,84.66482827183721,53.44284629821777,116.60511016845703
99,0,1482,-65.83060370894418,-120.0,-30.705432891845703,88.83060370894418,53.7054328918457,143.0
100,0,1406,-64.58699597810444,-120.0,-29.3790340423584,87.58699597810444,52.3790340423584,143.0
101,0,1406,-64.67695566668449,-120.0,-30.415605545043945,87.67695566668449,53.415605545043945,143.0
102,0,1406,-64.24609165001729,-120.0,-30.440845489501953,87.24609165001729,53.44084548950195,143.0
103,0,1406,-63.520287428268496,-120.0,-30.39655303955078,86.52028742826849,53.39655303955078,143.0
104,0,1406,-63.56808460013117,-92.97511291503906,-30.478914260864258,86.56808460013117,53.47891426086426,115.97511291503906
105,0,1406,-65.29347836208208,-120.0,-30.51944351196289,88.29347836208208,53.51944351196289,143.0
106,0,1260,-64.86562878139435,-120.0,-31.152612686157227,87.86562878139435,54.15261268615723,143.0
107,0,1332,-66.8796683474704,-120.0,-30.5493221282959,89.8796683474704,53.5493221282959,143.0
108,0,1332,-67.5300340394716,-120.0,-30.467470169067383,90.5300340394716,53.46747016906738,143.0
109,0,1260,-66.56198624202183,-120.0,-31.56731414794922,89.56198624202183,54.56731414794922,143.0
