step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
25,policy,100,400,4,36,154.5,123.30555555555556,154.5,123.30555555555556,1.875,1,3,-1,nan,787,80,80,0.10165184243964422,0.28091652359584385,0.7,0.7,0.12079388730219899,0.9625,0.0003392166380824067,nan,0.0,nan,0.5260513099776124,0.6,1.1405731506029986,38.1,787,80,80,0.10165184243964422,0.28091652359584385,0.7,0.7,0.12079388730219899,0.9625,0.0003392166380824067,nan,0.0,nan,0.5260513099776124,0.6,1.1405731506029986,38.1
50,policy,100,400,4,36,341.0,247.75,341.0,247.75,2.675,1,4,-1,nan,1716,139,139,0.08100233100233101,0.2835678875230513,0.762589928057554,0.762589928057554,0.041751099728157444,0.9424460431654677,0.000651932175405866,nan,0.0,nan,0.525995300995301,0.6690647482014388,1.2719975766616514,124.35971223021583,1716,139,139,0.08100233100233101,0.2835678875230513,0.762589928057554,0.762589928057554,0.041751099728157444,0.9424460431654677,0.000651932175405866,nan,0.0,nan,0.525995300995301,0.6690647482014388,1.2719975766616514,124.35971223021583
75,policy,100,400,4,36,400.0,268.72222222222223,529.75,312.1111111111111,3.075,0,5,-1,nan,2672,194,194,0.07260479041916168,0.2932088287550383,0.8092783505154639,0.8092783505154639,0.05304825394415783,0.9226804123711341,0.0009549965331317504,nan,0.0,nan,0.5277948972185499,0.6701030927835051,1.2696278351968,216.8041237113402,2672,194,194,0.07260479041916168,0.2932088287550383,0.8092783505154639,0.8092783505154639,0.05304825394415783,0.9226804123711341,0.0009549965331317504,nan,0.0,nan,0.5277948972185499,0.6701030927835051,1.2696278351968,216.8041237113402
100,policy,100,400,4,36,400.0,295.3888888888889,715.0,402.19444444444446,3.725,0,6,100,22.936397544234143,3642,249,249,0.06836902800658978,0.28026376710443174,0.8032128514056225,0.8032128514056225,0.07053067807502163,0.9116465863453815,0.0010353417279958012,nan,0.0,nan,0.5283629124856472,0.6546184738955824,1.2389561387190757,187.20883534136547,3642,249,249,0.06836902800658978,0.28026376710443174,0.8032128514056225,0.8032128514056225,0.07053067807502163,0.9116465863453815,0.0010353417279958012,nan,0.0,nan,0.5283629124856472,0.6546184738955824,1.2389561387190757,187.20883534136547
125,policy,100,400,4,36,400.0,255.13888888888889,804.5,345.55555555555554,3.475,0,7,100,22.936397544234143,3743,225,225,0.06011220945765429,0.2984858796509752,0.8444444444444444,0.8444444444444444,0.021988668513054047,0.9066666666666666,0.00117589362734978,nan,0.0,nan,0.5314213178693542,0.6711111111111111,1.2628607256513908,235.5688888888889,4530,305,305,0.0673289183222958,0.2938775239643834,0.8065573770491803,0.8065573770491803,0.05731532076264623,0.921311475409836,0.0010305371614439474,nan,0.0,nan,0.5304883827234821,0.6524590163934426,1.229921403827495,183.77377049180328
150,policy,100,400,4,36,400.0,282.3611111111111,964.75,441.6666666666667,4.25,0,9,100,22.936397544234143,3748,225,225,0.06003201707577375,0.2877870206155449,0.8222222222222222,0.8222222222222222,0.11508207173696061,0.9066666666666666,0.0013089522450569866,nan,0.0,nan,0.5312218753320674,0.5866666666666667,1.104372191562971,116.95555555555555,5464,364,364,0.06661786237188873,0.28617586814341134,0.7994505494505495,0.7994505494505495,0.08410367520882643,0.9203296703296703,0.001102611388629219,nan,0.0,nan,0.5295804401999497,0.6181318681318682,1.1672105334904077,119.78296703296704
175,policy,100,400,4,36,400.0,285.44444444444446,1155.0,408.6388888888889,4.1,1,10,100,22.936397544234143,3741,226,226,0.06041165463779738,0.2836148752770802,0.7831858407079646,0.7831858407079646,0.046505140450310525,0.9247787610619469,0.0013105643725352732,nan,0.0,nan,0.5298249227679861,0.5663716814159292,1.0689789345072904,39.730088495575224,6413,420,420,0.06549196943708092,0.2880463680740418,0.7952380952380952,0.7952380952380952,0.04930215645085914,0.9238095238095239,0.0011624157265215176,nan,0.0,nan,0.5289791051680963,0.6142857142857143,1.1612665004802216,121.52142857142857
200,policy,100,400,4,36,400.0,333.1111111111111,1324.75,472.25,4.55,1,11,200,17.313876837497432,3733,223,223,0.05973747656040718,0.2803871204920464,0.8026905829596412,0.8026905829596412,0.13252048329075697,0.9372197309417041,0.0013693102644860423,nan,0.0,nan,0.5255659615557821,0.5560538116591929,1.0580095598526977,47.25560538116592,7375,472,472,0.064,0.2803220463532412,0.8029661016949152,0.8029661016949152,0.07277931147458507,0.923728813559322,0.0012043864122965563,nan,0.0,nan,0.5269471812556559,0.6080508474576272,1.1539123257262909,121.08686440677967
225,policy,100,400,4,36,400.0,273.0,1392.5,408.72222222222223,4.3,0,12,200,17.313876837497432,3729,224,224,0.060069723786537944,0.2646992455346329,0.7946428571428571,0.7946428571428571,0.004323506316226754,0.9285714285714286,0.00131108379095464,nan,0.0,nan,0.5213117362956462,0.5401785714285714,1.0361910807283752,50.20982142857143,8259,529,529,0.06405133793437462,0.28152226050830753,0.8015122873345936,0.8015122873345936,0.05910083269051805,0.9243856332703214,0.0011572060537366428,nan,0.0,nan,0.5263450585281315,0.6049149338374291,1.1492744617552029,127.21739130434783
250,policy,100,400,4,36,400.0,189.30555555555554,1515.5,234.58333333333334,3.325,0,13,200,17.313876837497432,3672,223,223,0.060729847494553374,0.2816543343616499,0.820627802690583,0.820627802690583,-0.1005424779458839,0.9417040358744395,0.001204303838503701,nan,0.0,nan,0.5176704407913558,0.5739910313901345,1.1087962266353901,166.05829596412556,9136,587,587,0.06425131348511383,0.2844581474733384,0.807495741056218,0.807495741056218,0.03096494636342898,0.9284497444633731,0.0011434842734736913,nan,0.0,nan,0.524793496479683,0.6013628620102215,1.1459038003408315,137.36286201022148
