step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
1,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50595588,50.595588,nan,50.595588,nan,330,2640,474012,47489640,2629296,330
2,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53951026,104.546614,nan,53.951026,nan,353,2824,480942,50799524,2667736,353
3,-100.0,5.0,682,341,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53608750,158.155364,nan,53.60875,nan,351,2808,472626,50511708,2621608,351
4,-100.0,5.0,676,338,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53437612,211.592976,nan,53.437612,nan,350,2800,468468,50367800,2598544,350
5,-100.0,5.0,676,338,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51278872,262.871848,nan,51.278872,nan,335,2680,468468,48209180,2598544,335
6,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51477232,314.34908,nan,51.477232,nan,336,2688,476784,48353088,2644672,336
7,-100.0,5.0,686,343,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53914730,368.26381,nan,53.91473,nan,353,2824,475398,50799524,2636984,353
8,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55624842,423.888652,nan,55.624842,nan,364,2912,494802,52382512,2744616,364
9,-100.0,5.0,712,356,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53600944,477.489596,nan,53.600944,nan,350,2800,493416,50367800,2736928,350
10,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57028974,534.51857,nan,57.028974,nan,373,2984,511434,53677684,2836872,373
11,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58289190,592.80776,nan,58.28919,nan,381,3048,528066,54828948,2929128,381
