step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,65.9756851196289,64.77826690673828,4,8,1,2,8,0,3,-105.0,70.5,-47.5,192878,0,0,32,4,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,2,562500.0,40.32439029629396,20.393200309161994,9,18,2,6,18,0,8,-105.0,70.5,-47.5,192878,2,0,32,9,2,2,5.0,1736088,2.314672,nan,1.736088,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,336,2,6
4,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,2,562500.0,46.948315792493496,29.502829233245905,16,32,2,4,32,0,6,-105.0,70.5,-47.5,192878,8,0,32,16,8,12,5.0,1158512,3.473184,nan,1.158512,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,1344,8,4
5,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.342213116992404,20.1694163853021,25,50,3,9,50,0,12,-105.0,70.5,-47.5,192878,14,0,32,25,10,19,5.0,2605980,6.079164,nan,2.60598,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,2352,14,9
6,-47.5,57.5,68,34,0,0.0,0.0,0,0.0,57.5,4,562500.0,36.38933987212856,21.87097248218692,34,68,4,9,68,0,13,-105.0,70.5,-47.5,192878,19,0,32,34,11,27,5.0,2606820,8.685984,nan,2.60682,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,3192,19,9
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,3,562500.0,37.97487222137984,23.085503299036823,38,76,3,8,76,0,11,-105.0,70.5,-47.5,192878,30,0,32,38,13,33,5.0,2319376,11.00536,nan,2.319376,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,5040,30,8
8,-47.5,57.5,94,47,0,0.0,0.0,0,0.0,57.5,3,562500.0,39.67390994439578,19.836961099411695,47,94,3,5,94,0,8,-105.0,70.5,-47.5,192878,36,0,32,47,14,41,5.0,1452508,12.457868,nan,1.452508,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,6048,36,5
9,-47.5,57.5,112,56,0,0.0,0.0,0,0.0,57.5,3,562500.0,42.086425314432276,23.152082395636036,56,112,3,7,112,0,10,-105.0,70.5,-47.5,192878,47,0,32,56,14,46,5.0,2032940,14.490808,nan,2.03294,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,7896,47,7
10,-47.5,57.5,114,57,0,0.0,0.0,0,0.0,57.5,3,562500.0,38.69974317999042,28.271873760279725,57,114,3,6,114,0,9,-105.0,70.5,-47.5,192878,65,0,32,57,14,48,5.0,1746672,16.23748,nan,1.746672,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,10920,65,6
11,-47.5,57.5,116,58,0,0.0,0.0,0,0.0,57.5,2,562500.0,53.68273208539721,47.65528306768707,58,116,2,4,116,0,6,-105.0,70.5,-47.5,192878,52,0,32,58,14,49,5.0,1165904,17.403384,nan,1.165904,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,8736,52,4
12,-47.5,57.5,128,64,0,0.0,0.0,0,0.0,57.5,6,562500.0,32.592416186172244,18.07672561893178,64,128,6,9,128,0,15,-105.0,70.5,-47.5,192878,64,0,32,64,11,51,5.0,2614380,20.017764,nan,2.61438,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,10752,64,9
13,-47.5,57.5,132,66,0,0.0,0.0,0,0.0,57.5,4,525185.7268367809,27.970498921182593,8.439747099645485,66,132,4,10,132,0,14,-105.0,70.5,-47.5,192878,72,0,32,66,14,57,5.0,2905016,22.92278,nan,2.905016,nan,10,0,2891600,20,0,0,10,1320,640,160,680,170,330,10,12096,72,10
14,-47.5,57.5,142,71,0,0.0,0.0,0,0.0,57.5,2,562500.0,50.49673269982636,36.168011443231315,71,142,2,5,142,0,7,-105.0,70.5,-47.5,192878,117,0,32,71,15,62,5.0,1466116,24.388896,nan,1.466116,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,19656,117,5
15,-47.5,57.5,136,68,0,0.0,0.0,0,0.0,57.5,0,562500.0,35.238453803824925,18.306649763237665,68,136,0,8,136,0,8,-105.0,70.5,-47.5,192878,86,0,32,68,13,52,5.0,2328784,26.71768,nan,2.328784,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,14448,86,8
16,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,2,498707.1659248224,21.50898379826342,8.356211453242635,69,138,2,9,138,0,11,-105.0,70.5,-47.5,192878,101,0,32,69,15,61,5.0,2620596,29.338276,nan,2.620596,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,16968,101,9
17,-47.5,57.5,142,71,0,0.0,0.0,0,0.0,57.5,2,508482.29718599556,25.110851311870967,5.918915695530018,71,142,2,8,142,0,10,-105.0,70.5,-47.5,192878,151,0,32,71,15,62,5.0,2340496,31.678772,nan,2.340496,nan,8,792,2313280,16,0,0,8,1056,512,128,544,136,264,8,25368,151,8
18,-47.5,57.5,134,67,0,0.0,0.0,0,0.0,57.5,0,505332.19983382005,34.249065739226765,8.086360573766921,67,134,0,6,134,0,6,-105.0,70.5,-47.5,192878,143,0,32,67,13,55,5.0,1761576,33.440348,nan,1.761576,nan,6,1800,1734960,12,0,0,6,792,384,96,408,102,198,6,24024,143,6
19,-47.5,57.5,132,66,0,0.0,0.0,0,0.0,57.5,1,562500.0,33.31555336446603,18.877464345968814,66,132,1,6,132,0,7,-105.0,70.5,-47.5,192878,84,0,32,66,11,53,5.0,1752240,35.192588,nan,1.75224,nan,6,2376,1734960,12,0,0,6,792,384,96,408,102,198,6,14112,84,6
20,-47.5,57.5,146,73,0,0.0,0.0,0,0.0,57.5,2,562500.0,35.3834966762047,18.700503987201053,73,146,2,4,146,0,6,-105.0,70.5,-47.5,192878,152,0,32,73,14,63,5.0,1187024,36.379612,nan,1.187024,nan,4,4320,1156640,8,0,0,4,528,256,64,272,68,132,4,25536,152,4
21,-47.5,57.5,162,81,0,0.0,0.0,0,0.0,57.5,4,516134.3837666697,29.54301976176656,7.985916249120461,81,162,5,8,162,1,13,-105.0,70.5,-47.5,192878,244,0,32,81,13,70,5.0,2363176,38.742788,nan,2.363176,nan,8,7848,2313280,16,0,0,8,1056,512,128,544,136,264,8,40992,244,8
22,-47.5,57.5,168,84,0,0.0,0.0,0,0.0,57.5,4,548166.0831862272,32.71934274182466,14.04414980559851,84,168,4,8,168,0,12,-105.0,70.5,-47.5,192878,150,0,32,84,14,75,5.0,2348104,41.090892,nan,2.348104,nan,8,8568,2313280,16,0,0,8,1056,512,128,544,136,264,8,25200,150,8
23,-47.5,57.5,188,94,0,0.0,0.0,0,0.0,57.5,4,562500.0,48.01642042854084,34.58701491468861,94,188,4,6,188,0,10,-105.0,70.5,-47.5,192878,194,0,32,94,14,83,5.0,1776984,42.867876,nan,1.776984,nan,6,8640,1734960,12,0,0,6,792,384,96,408,102,198,6,32592,194,6
24,-47.5,57.5,194,97,0,0.0,0.0,0,0.0,57.5,2,562500.0,48.434043200552615,40.16533256387981,97,194,2,6,194,0,8,-105.0,70.5,-47.5,192878,171,0,32,97,13,84,5.0,1773264,44.64114,nan,1.773264,nan,6,8784,1734960,12,0,0,6,792,384,96,408,102,198,6,28728,171,6
