step,mode,receiver_idx,provider_idx,target_gain,online_prediction,base_loss,weighted_loss,propensity,importance_weight,receiver_policy_version,provider_policy_version
2,t2_b0,1,6,0.0,0.08308124542236328,0.0034512467682361603,0.0034512467682361603,1.0,1.0,0,0
2,t2_b0,4,15,0.0,0.08620990067720413,0.003716073464602232,0.003716073464602232,1.0,1.0,0,0
3,t2_b0,20,5,0.19391366338598395,0.08741272985935211,0.005671225022524595,0.005671225022524595,1.0,1.0,0,0
3,t2_b0,9,18,0.0,0.08275364339351654,0.003424082649871707,0.003424082649871707,1.0,1.0,0,0
3,t2_b0,12,11,0.27791396316344813,0.08418744057416916,0.018764980137348175,0.018764980137348175,1.0,1.0,0,0
3,t2_b0,10,23,0.0,0.08085666596889496,0.003268900327384472,0.003268900327384472,1.0,1.0,0,0
3,t2_b0,3,21,0.0,0.08439565449953079,0.0035613132640719414,0.0035613132640719414,1.0,1.0,0,0
3,t2_b0,2,19,0.0,0.08549223840236664,0.0036544613540172577,0.0036544613540172577,1.0,1.0,0,0
4,t2_b0,23,30,0.0,-0.049958691000938416,0.001247935346327722,0.001247935346327722,0.5,1.0,0,0
4,t2_b0,26,4,0.29566317302670353,-0.057731740176677704,0.06244398653507233,0.06244398653507233,0.5,1.0,0,0
4,t2_b0,18,9,0.17914381701932186,-0.05042571574449539,0.02635108307003975,0.02635108307003975,1.0,1.0,0,0
4,t2_b0,0,14,0.0,-0.04872428625822067,0.001187028014101088,0.001187028014101088,0.5,1.0,0,0
5,t2_b0,13,12,0.7978379240477572,0.28702619671821594,0.13046428561210632,0.13046428561210632,1.0,1.0,0,0
5,t2_b0,30,23,0.12440914644224003,-0.050800472497940063,0.01534920372068882,0.01534920372068882,0.5,1.0,0,0
5,t2_b0,21,3,0.49853825039198796,0.02070280909538269,0.1141633540391922,0.1141633540391922,0.5,1.0,0,0
5,t2_b0,24,20,0.7937644606710795,0.2540861964225769,0.14562632143497467,0.14562632143497467,1.0,1.0,0,0
5,t2_b0,19,2,0.48515456843182203,0.017948001623153687,0.10914098471403122,0.10914098471403122,1.0,1.0,0,0
5,t2_b0,35,18,0.7333344045929242,0.07445739209651947,0.21705946326255798,0.21705946326255798,1.0,1.0,0,0
5,t2_b0,34,9,0.5055348852061073,-0.05114512890577316,0.15494632720947266,0.15494632720947266,1.0,1.0,0,0
5,t2_b0,14,0,0.3490626433385484,-0.05240023881196976,0.08058622479438782,0.08058622479438782,0.5,1.0,0,0
5,t2_b0,1,6,0.0,-0.00487140566110611,1.1865296983160079e-05,1.1865296983160079e-05,0.3333333333333333,1.0,0,0
6,t2_b0,23,30,0.015372150844448203,0.005797572433948517,4.583627378451638e-05,4.583627378451638e-05,0.3333333333333333,1.0,0,0
6,t2_b0,2,21,0.0,0.13357168436050415,0.008920697495341301,0.008920697495341301,0.3333333333333333,1.0,0,0
6,t2_b0,15,4,0.501266660465678,-0.021546244621276855,0.1366666704416275,0.1366666704416275,1.0,1.0,0,0
6,t2_b0,24,20,-0.00021304944307245832,0.4949818253517151,0.122608982026577,0.122608982026577,1.0,1.0,0,0
6,t2_b0,8,33,0.0,0.08905908465385437,0.003965760115534067,0.003965760115534067,1.0,1.0,0,0
6,t2_b0,37,35,0.9465705276229417,0.29116493463516235,0.21477824449539185,0.21477824449539185,0.5,1.0,0,0
6,t2_b0,12,13,0.003859149830549375,0.3886524438858032,0.07403293251991272,0.07403293251991272,0.5,1.0,0,0
6,t2_b0,5,32,0.0,0.08332039415836334,0.0034711440093815327,0.0034711440093815327,0.5,1.0,0,0
6,t2_b0,38,19,0.838778750491438,0.09107619524002075,0.27952954173088074,0.27952954173088074,1.0,1.0,0,0
7,t2_b0,25,24,0.9880237160812055,0.2998371124267578,0.2368003875017166,0.2368003875017166,1.0,1.0,0,0
