step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.770347451512,20.4303348585119,4,8,3,4,8,0,7,-105.0,70.5,-47.5,192878,0,0,32,4,0,0,5.0,1157168,1.157168,nan,1.157168,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,0,0,4
3,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,1,562500.0,27.27026303085853,18.041722513399264,9,18,1,7,18,0,8,-105.0,70.5,-47.5,192878,4,0,32,9,4,4,5.0,2025716,3.182884,nan,2.025716,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,672,4,7
4,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,0,562500.0,40.356636622761236,29.154158938661165,16,32,0,3,32,0,3,-105.0,70.5,-47.5,192878,8,0,32,16,8,12,5.0,869220,4.052104,nan,0.86922,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1344,8,3
5,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,0,562500.0,40.731535469843436,36.66540339786659,25,50,0,2,50,0,2,-105.0,70.5,-47.5,192878,14,0,32,25,9,17,5.0,580936,4.63304,nan,0.580936,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,2352,14,2
6,-47.5,57.5,68,34,0,0.0,0.0,0,0.0,57.5,1,562500.0,61.27562992849179,57.542518615722656,34,68,1,4,68,0,5,-105.0,70.5,-47.5,192878,17,0,32,34,8,19,5.0,1160024,5.793064,nan,1.160024,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,2856,17,4
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,1,562500.0,35.81777751344694,30.814898909529834,38,76,1,4,76,0,5,-105.0,70.5,-47.5,192878,30,0,32,38,15,26,5.0,1162208,6.955272,nan,1.162208,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,5040,30,4
8,-47.5,57.5,94,47,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,47,94,0,0,94,0,0,-105.0,70.5,-47.5,192878,26,0,32,47,13,35,5.0,4368,6.95964,nan,0.004368,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4368,26,0
9,-47.5,57.5,112,56,0,0.0,0.0,0,0.0,57.5,0,562500.0,57.82476234436035,57.80686569213867,56,112,0,2,112,0,2,-105.0,70.5,-47.5,192878,27,0,32,56,11,33,5.0,583120,7.54276,nan,0.58312,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,4536,27,2
10,-47.5,57.5,114,57,0,0.0,0.0,0,0.0,57.5,0,562500.0,47.82012182567494,47.3661164207184,57,114,0,2,114,0,2,-105.0,70.5,-47.5,192878,33,0,32,57,11,36,5.0,584128,8.126888,nan,0.584128,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,5544,33,2
