step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,19.51061865854021,19.381058728309746,2,4,0,2,4,0,2,-105.0,70.5,-47.5,192878,0,0,32,2,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,5,562500.0,34.329056267269564,18.40791304947404,7,14,5,5,14,0,10,-105.0,70.5,-47.5,192878,2,0,32,7,2,2,5.0,1446796,2.02538,nan,1.446796,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,336,2,5
4,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,3,562500.0,38.61862379430331,20.63678357089227,20,40,3,7,40,0,10,-105.0,70.5,-47.5,192878,7,0,32,20,7,13,5.0,2026220,4.0516,nan,2.02622,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,1176,7,7
5,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,3,562500.0,37.789958161933924,18.0746350510857,26,52,3,8,52,0,11,-105.0,70.5,-47.5,192878,9,0,32,26,9,17,5.0,2315848,6.367448,nan,2.315848,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,1512,9,8
6,-47.5,57.5,70,35,0,0.0,0.0,0,0.0,57.5,0,562500.0,42.20432051474805,18.47274258235555,35,70,0,6,70,0,6,-105.0,70.5,-47.5,192878,17,0,32,35,12,28,5.0,1738608,8.106056,nan,1.738608,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,2856,17,6
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,1,562500.0,40.82566412417748,23.173359283709818,38,76,1,8,76,0,9,-105.0,70.5,-47.5,192878,26,0,32,38,11,29,5.0,2318704,10.42476,nan,2.318704,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,4368,26,8
8,-47.5,57.5,86,43,0,0.0,0.0,0,0.0,57.5,1,537656.6364521313,29.580827810334767,10.198140065515142,43,86,1,9,86,0,10,-105.0,70.5,-47.5,192878,30,0,32,43,12,36,5.0,2608668,13.033428,nan,2.608668,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,5040,30,9
9,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,0,507438.1731574713,26.84921934325888,8.561314796323884,49,98,0,8,98,0,8,-105.0,70.5,-47.5,192878,39,0,32,49,15,41,5.0,2320888,15.354316,nan,2.320888,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,6552,39,8
10,-47.5,57.5,100,50,0,0.0,0.0,0,0.0,57.5,4,562500.0,34.44394929693446,23.086872308505946,50,100,4,7,100,0,11,-105.0,70.5,-47.5,192878,42,0,32,50,12,42,5.0,2032100,17.386416,nan,2.0321,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,7056,42,7
