step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,616,616,591,29.02252,29.02252,0,28942144,0,0
2,2445,4890,623,623,623,29.35576,58.37828,0,29271032,0,0
3,2469,4938,619,619,615,29.166736,87.545016,0,29083096,0,0
4,2401,4802,618,618,616,29.119888,116.664904,0,29036112,0,0
5,2489,4978,632,632,631,29.779704,146.444608,0,29693888,0,0
6,2714,5428,658,658,658,31.00496,177.449568,0,30915472,0,0
7,2852,5704,675,675,673,31.805728,209.255296,0,31714200,0,0
8,2837,5674,672,672,670,31.664368,240.919664,0,31573248,0,0
9,2809,5618,697,697,697,32.84264,273.762304,0,32747848,0,0
10,2728,5456,681,681,681,32.08872,305.851024,0,31996104,0,0
11,2658,5316,678,678,678,31.94736,337.798384,0,31855152,0,0
12,2645,5290,653,653,653,30.76936,368.567744,0,30680552,0,0
13,2570,5140,638,638,638,30.06256,398.630304,0,29975792,0,0
14,2448,4896,618,618,618,29.12016,427.750464,0,29036112,0,0
15,2515,5030,651,651,650,30.674984,458.425448,0,30586584,0,0
16,2476,4952,673,673,673,31.71176,490.137208,0,31620232,0,0
17,2669,5338,690,690,690,32.5128,522.650008,0,32418960,0,0
18,2887,5774,716,716,716,33.73792,556.387928,0,33640544,0,0
19,2923,5846,692,692,692,32.60704,588.994968,0,32512928,0,0
20,2937,5874,697,697,697,32.84264,621.837608,0,32747848,0,0
21,2834,5668,689,689,688,32.465544,654.303152,0,32371976,0,0
22,2758,5516,667,667,666,31.428904,685.732056,0,31338328,0,0
23,2819,5638,678,678,678,31.94736,717.679416,0,31855152,0,0
24,3034,6068,683,683,683,32.18296,749.862376,0,32090072,0,0
25,3114,6228,696,696,694,32.795248,782.657624,0,32700864,0,0
26,3155,6310,696,696,696,32.79552,815.453144,0,32700864,0,0
27,3435,6870,707,707,707,33.31384,848.766984,0,33217688,0,0
28,3277,6554,710,710,710,33.4552,882.222184,0,33358640,0,0
29,3469,6938,699,699,699,32.93688,915.159064,0,32841816,0,0
30,3363,6726,687,687,687,32.37144,947.530504,0,32278008,0,0
31,3345,6690,701,701,701,33.03112,980.561624,0,32935784,0,0
32,3188,6376,748,748,748,35.24576,1015.807384,0,35144032,0,0
33,3061,6122,755,755,753,35.575328,1051.382712,0,35472920,0,0
34,3182,6364,740,740,738,34.868528,1086.25124,0,34768160,0,0
35,3241,6482,753,753,753,35.48136,1121.7326,0,35378952,0,0
36,3437,6874,774,774,772,36.470608,1158.203208,0,36365616,0,0
37,3581,7162,813,813,813,38.30856,1196.511768,0,38197992,0,0
38,3496,6992,808,808,808,38.07296,1234.584728,0,37963072,0,0
39,3434,6868,806,806,806,37.97872,1272.563448,0,37869104,0,0
40,3331,6662,783,783,783,36.89496,1309.458408,0,36788472,0,0
41,3788,7576,814,814,814,38.35568,1347.814088,0,38244976,0,0
42,3805,7610,804,804,804,37.88448,1385.698568,0,37775136,0,0
43,3852,7704,812,812,809,38.261032,1423.9596,0,38151008,0,0
44,4061,8122,811,811,811,38.21432,1462.17392,0,38104024,0,0
45,4226,8452,833,833,833,39.25096,1501.42488,0,39137672,0,0
46,4392,8784,858,858,858,40.42896,1541.85384,0,40312272,0,0
