step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,2,562500.0,19.51061865854021,19.381058728309746,2,4,2,2,4,0,4,-105.0,70.5,-47.5,192878,0,0,32,2,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,3,562500.0,29.13028702406578,18.407905596941493,7,14,3,6,14,0,9,-105.0,70.5,-47.5,192878,2,0,32,7,2,2,5.0,1736088,2.314672,nan,1.736088,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,336,2,6
4,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,5,562500.0,46.59240717589529,21.71809888911991,20,40,5,9,40,0,14,-105.0,70.5,-47.5,192878,6,0,32,20,6,14,5.0,2604636,4.919308,nan,2.604636,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,1008,6,9
5,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,10,562500.0,46.381203105543214,24.933633436530943,26,52,10,10,52,0,20,-105.0,70.5,-47.5,192878,16,0,32,26,10,18,5.0,2895608,7.814916,nan,2.895608,nan,10,0,2891600,20,0,0,10,1320,640,160,680,170,330,10,2688,16,10
6,-47.5,57.5,70,35,0,0.0,0.0,0,0.0,57.5,7,562500.0,41.2332891105961,23.050615937076987,35,70,7,11,70,0,18,-105.0,70.5,-47.5,192878,21,0,32,35,13,30,5.0,3185740,11.000656,nan,3.18574,nan,11,0,3180760,22,0,0,11,1452,704,176,748,187,363,11,3528,21,11
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,11,562500.0,36.21254786655277,22.14028600781276,38,76,11,12,76,0,23,-105.0,70.5,-47.5,192878,30,0,32,38,13,34,5.0,3476544,14.4772,nan,3.476544,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,5040,30,12
8,-47.5,57.5,86,43,0,0.0,0.0,0,0.0,57.5,10,510681.35632183944,24.182513270838342,5.9838508030791235,43,86,10,11,86,0,21,-105.0,70.5,-47.5,192878,22,0,32,43,14,39,5.0,3185908,17.663108,nan,3.185908,nan,11,0,3180760,22,0,0,11,1452,704,176,748,187,363,11,3696,22,11
9,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,11,525849.6221819369,29.909569018243634,9.394659897479405,49,98,11,12,98,0,23,-105.0,70.5,-47.5,192878,37,0,32,49,14,42,5.0,3477720,21.140828,nan,3.47772,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,6216,37,12
10,-47.5,57.5,100,50,0,0.0,0.0,0,0.0,57.5,11,515473.7535735621,22.67546242990732,8.802293002777306,50,100,15,14,100,4,29,-105.0,70.5,-47.5,192878,72,0,32,50,15,45,5.0,4062184,25.203012,nan,4.062184,nan,14,0,4048240,28,0,0,14,1848,896,224,952,238,462,14,12096,72,14
11,-47.5,57.5,138,69,0,0.0,0.0,0,0.0,57.5,11,504081.6115900314,21.99881168714922,5.692490306510476,69,138,11,13,138,0,24,-105.0,70.5,-47.5,192878,60,0,32,69,15,67,5.0,3770876,28.973888,nan,3.770876,nan,13,0,3759080,26,0,0,13,1716,832,208,884,221,429,13,10080,60,13
12,-47.5,57.5,152,76,0,0.0,0.0,0,0.0,57.5,9,483385.48313942953,21.454009122664708,6.252212225948911,76,152,10,13,152,1,23,-105.0,70.5,-47.5,192878,86,0,32,76,15,70,5.0,3775244,32.749132,nan,3.775244,nan,13,0,3759080,26,0,0,13,1716,832,208,884,221,429,13,14448,86,13
