step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.51023864746094,67.51023864746094,1,2,0,1,2,0,1,-105.0,70.5,-47.5,192878,0,32,1,0,0,5.0,289292,0.289292,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,562500.0,34.89976426460422,20.286785965660034,6,12,0,6,12,0,6,-105.0,70.5,-47.5,192878,0,32,6,0,0,5.0,1735752,2.025044,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
4,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.47104303302934,25.313061555267417,8,16,3,6,16,0,9,-105.0,70.5,-47.5,192878,5,32,8,5,7,5.0,1736592,3.761636,nan,1.736592,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,840,5,6
5,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,5,562500.0,36.87947052169808,23.643335912280197,10,20,5,5,20,0,10,-105.0,70.5,-47.5,192878,6,32,10,6,10,5.0,1447468,5.209104,nan,1.447468,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,1008,6,5
6,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,3,562500.0,40.51039822715069,30.968184133207348,11,22,3,4,22,0,7,-105.0,70.5,-47.5,192878,6,32,11,5,10,5.0,1158176,6.36728,nan,1.158176,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,1008,6,4
7,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,5,562500.0,30.607873284740236,18.640405525989287,12,24,5,7,24,0,12,-105.0,70.5,-47.5,192878,9,32,12,4,9,5.0,2026556,8.393836,nan,2.026556,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,1512,9,7
8,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,2,562500.0,39.34825400248069,19.24507117413434,13,26,2,7,26,0,9,-105.0,70.5,-47.5,192878,14,32,13,7,13,5.0,2027396,10.421232,nan,2.027396,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,2352,14,7
9,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,4,562500.0,44.04826322145637,23.43798656147722,16,32,4,5,32,0,9,-105.0,70.5,-47.5,192878,12,32,16,7,15,5.0,1448476,11.869708,nan,1.448476,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,2016,12,5
10,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,2,562500.0,42.10934476048713,27.94872692034598,17,34,2,7,34,0,9,-105.0,70.5,-47.5,192878,11,32,17,5,15,5.0,2026892,13.8966,nan,2.026892,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,1848,11,7
