step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,10,10,40.33995556022926,22.73638676536452,33.24448240221093,33.24448240221093,0.6933333333333334,0.6933333333333334,46.28458104737111,34.26595452895757,34.26595452895757,39.84068220672607,30.543498853730306,30.543498853730306,nan,26.167924323629485,15.135453171711776,52.81798262197774,55.98086916757545,0.0,0.0,57.73985773449496,55.98086906191913,4700,24.387772545231634,33.35208518926333,21.714914532961558,nan,nan,nan,nan,34.26595452895757,31.510769776976232,31.510769776976232,300,34.26595452895757
200,1,500,10,10,34.22812469559631,34.86443746797358,22.047824890923017,22.047824890923017,0.9,0.9,43.22989472807931,23.97312198032368,23.97312198032368,52.566466366577146,21.016092728460528,21.016092728460528,nan,16.419350935088318,15.281741621059622,31.30553918682527,56.9122623588966,0.0,0.0,59.078826793531746,56.91226243507207,4640,37.30027674643816,21.778550047093592,32.9391404547484,nan,nan,nan,nan,23.97312198032368,25.262873017152565,25.262873017152565,360,23.97312198032368
300,1,500,10,10,32.896404143378064,41.577850363965474,14.590820772598656,14.590820772598656,0.996969696969697,0.996969696969697,44.5210554799415,17.349811495462735,17.349811495462735,54.17277490692139,17.0030283343468,17.0030283343468,nan,17.423643270406103,12.430442662589606,21.08270556053498,56.16867113656413,0.0,0.0,58.11934514900756,56.16867128598649,4670,44.62036629574263,13.498978853264932,38.81885979052376,nan,nan,nan,nan,17.349811495462735,25.434497341677524,25.434497341677524,330,17.349811495462735
400,1,500,10,10,31.889285554268493,45.46623608507781,11.97849690852992,11.97849690852992,1.0,1.0,43.68702805474369,13.894621896375131,13.894621896375131,58.48721131134033,13.748241192536335,13.748241192536335,nan,12.954503880329543,11.967976168824084,16.814879572373243,57.44473299360773,0.0,0.0,58.568308288908405,57.44473309071321,4810,47.374709847504846,11.193598441403555,43.55011119433807,nan,nan,nan,nan,13.894621896375131,24.574813044516354,24.574813044516354,190,13.894621896375131
500,1,500,10,10,28.84887413707865,44.32830493077189,11.74443662479137,11.74443662479137,0.9928571428571429,0.9928571428571429,39.17213981008952,13.01467189498203,13.01467189498203,55.55234322509766,12.777498814888352,12.777498814888352,nan,11.566470126241104,11.128757831294587,17.027103574151788,56.07274155556326,0.0,0.0,56.87463961514552,56.07274152094585,4860,45.4703184756471,11.404321139498423,43.05806962596382,nan,nan,nan,nan,13.01467189498203,20.279203082183514,20.279203082183514,140,13.01467189498203
600,1,500,10,10,35.62033794516621,41.523814244680125,15.202610132116993,15.202610132116993,1.0,1.0,48.443891011925594,17.893200567748124,17.893200567748124,56.242067184448246,17.42439795404028,17.42439795404028,nan,19.553450595502543,11.640350375082086,21.035749205137623,56.72642437679712,0.0,0.0,58.50883921848957,56.72642427205649,4700,44.695571166345964,13.813268052143606,38.83322370430837,nan,nan,nan,nan,17.893200567748124,29.371574456656685,29.371574456656685,300,17.893200567748124
700,1,500,10,10,26.612057622444684,46.434601429974514,10.604866024721765,10.604866024721765,0.9972972972972973,0.9972972972972973,36.29567095439836,13.75446332319455,13.75446332319455,55.76128265686035,13.720500386567366,13.720500386567366,nan,13.472645715116409,12.511106621318104,15.228512272245684,57.03946745469628,0.0,0.0,59.27478237381544,57.03946737460744,4630,49.32352658518877,9.951255788626664,43.28500405141289,nan,nan,nan,nan,13.75446332319455,16.750847502701156,16.750847502701156,370,13.75446332319455
800,1,500,10,10,30.26400457303391,40.71695769030094,14.023234598962752,14.023234598962752,0.990909090909091,0.990909090909091,40.790701764379776,17.30842446300329,17.30842446300329,56.556935276794434,16.63050989084725,16.63050989084725,nan,14.798581425679846,14.07922698384686,19.843991851382345,54.74019228926369,0.0,0.0,57.32035883316187,54.74019241405115,4560,44.361246395858956,12.959112437302913,37.43176795104786,nan,nan,nan,nan,17.30842446300329,22.230995455743496,22.230995455743496,440,17.30842446300329
900,1,500,10,10,28.950962596004636,42.87857731290956,12.660901929261444,12.660901929261444,0.9972972972972973,0.9972972972972973,39.202583492338086,15.58458202593911,15.58458202593911,55.96359378967285,15.345116052249514,15.345116052249514,nan,14.242304759374441,13.63012300487923,17.611008099770547,55.539479242171005,0.0,0.0,57.71601117693616,55.53947909513718,4630,45.90610355677331,11.809907620162853,39.95489706919807,nan,nan,nan,nan,15.58458202593911,20.515514755654408,20.515514755654408,370,15.58458202593911
1000,1,500,10,10,32.47894204514823,37.289239080713344,20.33180418315072,20.33180418315072,0.9,0.9,41.23972898617585,21.22219244381051,21.22219244381051,51.14246436004639,16.443676123695333,16.443676123695333,nan,11.459617568814508,10.366695485750972,20.060710287968085,57.62104326386406,0.0,0.0,58.56571369109275,57.62104346419235,4840,38.340775968297095,20.224937722795655,36.39885102038184,nan,nan,nan,nan,21.22219244381051,23.334321059182678,23.334321059182678,160,21.22219244381051
