step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
237,851,812,70,32868,156
238,866,810,74,33020,152
239,818,822,138,33200,180
240,831,818,78,33368,168
241,811,812,119,33520,152
242,812,788,88,33656,136
243,823,772,71,33808,152
244,812,744,99,33952,144
245,787,744,102,34108,156
246,773,742,93,34272,164
247,776,758,72,34424,152
248,738,754,119,34568,144
249,754,752,66,34712,144
250,732,758,107,34852,140
251,740,770,82,35020,168
252,719,780,110,35184,164
253,740,766,72,35312,128
254,758,756,67,35456,144
255,774,756,75,35592,136
256,777,768,89,35716,124
257,813,770,52,35832,116
258,819,778,79,35984,152
259,827,776,66,36128,144
260,804,794,99,36288,160
261,777,792,121,36444,156
262,800,778,74,36600,156
263,784,818,103,36764,164
264,785,806,81,36920,156
265,780,806,91,37076,156
266,786,806,78,37240,164
267,776,826,102,37400,160
268,770,792,94,37540,140
269,806,776,51,37652,112
270,788,794,105,37788,136
271,780,806,102,37952,164
272,788,812,74,38108,156
273,755,820,115,38260,152
274,734,806,91,38396,136
275,742,810,74,38540,144
276,711,794,107,38676,136
277,708,764,88,38816,140
278,731,774,59,38944,128
279,735,756,91,39080,136
280,744,754,69,39220,140
281,716,746,108,39376,156
282,717,752,74,39504,128
283,721,756,64,39640,136
284,714,740,79,39772,132
285,706,752,87,39900,128
286,695,738,87,40036,136
287,705,724,63,40176,140
288,724,746,62,40304,128
289,703,754,92,40460,156
290,682,766,92,40600,140
291,681,764,78,40744,144
292,669,780,85,40876,132
293,639,750,93,40992,116
294,661,740,57,41108,116
295,656,738,79,41236,128
296,661,756,67,41364,128
297,674,752,64,41484,120
298,665,726,78,41612,128
299,622,734,102,41732,120
300,635,742,58,41852,120
301,613,730,97,41976,124
302,621,736,72,42092,116
303,604,744,92,42208,116
304,610,762,67,42324,116
305,602,774,75,42428,104
306,621,780,50,42520,92
307,619,760,70,42628,108
308,626,752,63,42724,96
309,630,762,74,42820,96
310,644,768,49,42924,104
311,638,766,73,43040,116
312,639,784,58,43156,116
313,604,778,99,43296,140
314,592,772,78,43420,124
315,570,786,102,43536,116
316,596,794,50,43640,104
317,611,796,64,43748,108
318,636,784,55,43864,116
319,643,768,60,43992,128
320,646,758,60,44100,108
321,649,758,58,44204,104
322,657,758,52,44308,104
323,651,750,64,44432,124
324,605,734,93,44564,132
325,592,746,69,44708,144
326,577,760,65,44836,128
327,537,786,95,44976,140
328,530,776,71,45112,136
329,526,752,63,45232,120
330,525,770,74,45360,128
331,521,766,69,45472,112
332,533,764,49,45568,96
333,554,756,47,45672,104
334,591,756,44,45768,96
335,612,768,51,45868,100
336,601,786,85,45956,88
337,619,776,54,46052,96
338,577,778,108,46168,116
339,601,786,49,46248,80
340,605,778,59,46344,96
341,576,820,78,46444,100
342,569,826,56,46528,84
343,549,814,63,46636,108
344,535,812,64,46740,104
345,514,828,73,46848,108
346,501,832,71,46964,116
347,513,830,46,47064,100
348,503,808,64,47180,116
349,499,818,58,47300,120
350,471,808,76,47424,124
351,478,844,55,47520,96
352,484,860,53,47624,104
353,510,884,41,47704,80
354,529,880,39,47792,88
355,539,922,51,47888,96
356,567,948,46,47988,100
357,569,958,63,48084,96
358,573,952,47,48184,100
359,570,972,62,48288,104
360,582,964,44,48380,92
361,575,950,59,48492,112
362,560,952,58,48616,124
363,547,952,61,48748,132
364,536,1034,66,48872,124
365,530,966,67,49000,128
366,523,966,76,49144,144
367,532,964,53,49260,116
368,538,962,62,49368,108
369,543,952,70,49488,120
370,535,916,79,49600,112
371,525,906,75,49696,96
372,529,894,57,49780,84
373,542,880,47,49844,64
374,538,868,52,49936,92
375,528,826,63,50036,100
376,493,828,77,50140,104
377,480,794,47,50224,84
378,453,788,55,50312,88
379,438,788,55,50424,112
380,420,772,59,50532,108
381,410,762,47,50636,104
382,405,752,47,50744,108
383,399,750,50,50852,108
384,402,760,44,50956,104
385,394,758,49,51064,108
386,373,746,52,51152,88
387,380,754,33,51220,68
388,384,766,39,51296,76
389,366,750,53,51384,88
390,385,754,37,51464,80
391,400,744,33,51540,76
392,382,730,62,51624,84
393,376,740,48,51716,92
394,394,730,37,51800,84
395,402,730,31,51872,72
396,405,752,38,51924,52
397,415,754,34,51992,68
398,434,738,33,52064,72
399,442,740,45,52140,76
400,452,738,48,52232,92
401,474,746,40,52312,80
402,457,738,57,52404,92
403,443,746,54,52504,100
404,429,734,72,52604,100
405,446,738,30,52680,76
406,442,740,45,52760,80
407,446,758,47,52832,72
408,447,738,54,52924,92
409,453,740,48,53008,84
410,433,750,78,53112,104
411,437,736,56,53216,104
412,451,746,33,53288,72
413,455,746,35,53360,72
414,434,752,53,53436,76
415,417,756,43,53520,84
416,410,746,41,53592,72
417,411,740,38,53672,80
418,369,744,74,53776,104
419,361,738,38,53864,88
420,333,736,64,53980,116
421,327,750,52,54088,108
422,336,740,42,54180,92
423,342,730,36,54264,84
424,354,732,30,54328,64
425,351,762,44,54384,56
426,376,752,24,54440,56
427,366,778,62,54512,72
428,368,806,52,54572,60
429,384,786,24,54620,48
430,393,790,28,54676,56
431,394,802,35,54744,68
432,396,796,34,54816,72
433,402,800,36,54880,64
434,402,790,37,54944,64
435,406,788,38,55024,80
436,399,778,44,55100,76
437,389,782,55,55188,88
438,391,786,48,55292,104
439,419,780,36,55376,84
440,413,784,48,55456,80
441,410,778,38,55520,64
442,402,774,42,55584,64
443,403,812,49,55660,76
444,416,812,35,55720,60
445,421,822,42,55804,84
446,416,826,51,55876,72
447,430,846,39,55960,84
448,439,840,45,56048,88
449,427,810,61,56152,104
450,445,824,34,56228,76
451,463,822,33,56296,68
452,459,830,47,56364,68
453,451,820,60,56456,92
454,446,792,56,56544,88
455,459,782,41,56628,84
456,456,780,53,56712,84
457,472,780,47,56800,88
458,495,772,48,56900,100
459,466,772,85,56992,92
460,472,782,58,57084,92
461,477,792,49,57160,76
462,475,796,47,57236,76
463,490,800,35,57308,72
464,505,792,37,57380,72
465,511,788,39,57464,84
466,492,806,51,57548,84
467,457,824,63,57656,108
468,433,840,65,57780,124
469,422,824,51,57896,116
470,387,814,61,58024,128
471,365,790,48,58136,112
472,354,786,40,58232,96
473,329,788,55,58336,104
474,307,794,56,58432,96
475,302,750,43,58520,88
476,301,742,43,58600,80
477,316,730,24,58656,56
478,315,724,33,58724,68
479,315,728,30,58792,68
480,309,754,35,58852,60
481,316,762,32,58908,56
482,320,780,45,58964,56
483,347,808,28,59016,52
484,345,818,43,59072,56
485,341,802,39,59128,56
486,326,800,47,59200,72
487,338,780,28,59260,60
488,353,762,25,59312,52
489,365,754,26,59360,48
490,352,754,47,59424,64
491,341,760,36,59488,64
