step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
34,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20808780,702.244674,nan,20.80878,nan,120,960,540540,17268960,2998320,120
35,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,17057890,719.302564,nan,17.05789,nan,94,752,539154,13527352,2990632,94
36,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,11931358,731.233922,nan,11.931358,nan,58,464,547470,8346664,3036760,58
37,-100.0,5.0,796,398,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13685572,744.919494,nan,13.685572,nan,70,560,551628,10073560,3059824,70
38,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,13612980,758.532474,nan,13.61298,nan,70,560,540540,10073560,2998320,70
39,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,19603008,778.135482,nan,19.603008,nan,112,896,532224,16117696,2952192,112
40,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20781558,798.91704,nan,20.781558,nan,120,960,536382,17268960,2975256,120
41,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20772484,819.689524,nan,20.772484,nan,120,960,534996,17268960,2967568,120
42,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20663596,840.35312,nan,20.663596,nan,120,960,518364,17268960,2875312,120
43,-100.0,5.0,752,376,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20681744,861.034864,nan,20.681744,nan,120,960,521136,17268960,2890688,120
44,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20727114,881.761978,nan,20.727114,nan,120,960,528066,17268960,2929128,120
45,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20799706,902.561684,nan,20.799706,nan,120,960,539154,17268960,2990632,120
46,-100.0,5.0,788,394,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20845076,923.40676,nan,20.845076,nan,120,960,546084,17268960,3029072,120
47,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20808780,944.21554,nan,20.80878,nan,120,960,540540,17268960,2998320,120
48,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20836002,965.051542,nan,20.836002,nan,120,960,544698,17268960,3021384,120
49,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20863224,985.914766,nan,20.863224,nan,120,960,548856,17268960,3044448,120
50,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20872298,1006.787064,nan,20.872298,nan,120,960,550242,17268960,3052136,120
51,-100.0,5.0,814,407,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20963038,1027.750102,nan,20.963038,nan,120,960,564102,17268960,3129016,120
52,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21026556,1048.776658,nan,21.026556,nan,120,960,573804,17268960,3182832,120
53,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,21026556,1069.803214,nan,21.026556,nan,120,960,573804,17268960,3182832,120
54,-100.0,5.0,808,404,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20935816,1090.73903,nan,20.935816,nan,120,960,559944,17268960,3105952,120
55,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20972112,1111.711142,nan,20.972112,nan,120,960,565488,17268960,3136704,120
56,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20944890,1132.656032,nan,20.94489,nan,120,960,561330,17268960,3113640,120
57,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20944890,1153.600922,nan,20.94489,nan,120,960,561330,17268960,3113640,120
58,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20944890,1174.545812,nan,20.94489,nan,120,960,561330,17268960,3113640,120
59,-100.0,5.0,810,405,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20944890,1195.490702,nan,20.94489,nan,120,960,561330,17268960,3113640,120
60,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20899520,1216.390222,nan,20.89952,nan,120,960,554400,17268960,3075200,120
61,-100.0,5.0,798,399,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20890446,1237.280668,nan,20.890446,nan,120,960,553014,17268960,3067512,120
62,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20781558,1258.062226,nan,20.781558,nan,120,960,536382,17268960,2975256,120
63,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20754336,1278.816562,nan,20.754336,nan,120,960,532224,17268960,2952192,120
64,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20854150,1299.670712,nan,20.85415,nan,120,960,547470,17268960,3036760,120
65,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20872298,1320.54301,nan,20.872298,nan,120,960,550242,17268960,3052136,120
66,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20836002,1341.379012,nan,20.836002,nan,120,960,544698,17268960,3021384,120
67,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20981186,1362.360198,nan,20.981186,nan,120,960,566874,17268960,3144392,120
68,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20972112,1383.33231,nan,20.972112,nan,120,960,565488,17268960,3136704,120
69,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20981186,1404.313496,nan,20.981186,nan,120,960,566874,17268960,3144392,120
70,-100.0,5.0,816,408,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20972112,1425.285608,nan,20.972112,nan,120,960,565488,17268960,3136704,120
71,-100.0,5.0,818,409,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,20981186,1446.266794,nan,20.981186,nan,120,960,566874,17268960,3144392,120
