step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,2,562500.0,59.35386483346665,45.681154542495044,3,6,2,3,6,0,5,-105.0,70.5,-47.5,192878,0,32,3,0,0,5.0,867876,0.867876,nan,0.867876,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,0,0,3
3,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,36.94793316213685,19.986100599330086,5,10,0,4,10,0,4,-105.0,70.5,-47.5,192878,3,32,5,3,3,5.0,1157672,2.025548,nan,1.157672,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,504,3,4
4,-47.5,57.5,28,14,0,0.0,0.0,0,0.0,57.5,3,562500.0,31.06131635127382,19.486728671898355,14,28,3,5,28,0,8,-105.0,70.5,-47.5,192878,4,32,14,3,11,5.0,1447132,3.47268,nan,1.447132,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,672,4,5
5,-47.5,57.5,30,15,0,0.0,0.0,0,0.0,57.5,5,562500.0,37.77371535769655,24.96401305517805,15,30,5,6,30,0,11,-105.0,70.5,-47.5,192878,10,32,15,6,13,5.0,1737432,5.210112,nan,1.737432,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1680,10,6
6,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,2,562500.0,43.66141998688006,21.851478149330283,20,40,2,5,40,0,7,-105.0,70.5,-47.5,192878,14,32,20,7,18,5.0,1448812,6.658924,nan,1.448812,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,2352,14,5
7,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,4,562500.0,40.241048543024895,21.728837736066726,19,38,4,6,38,0,10,-105.0,70.5,-47.5,192878,10,32,19,6,16,5.0,1737432,8.396356,nan,1.737432,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1680,10,6
8,-47.5,57.5,42,21,0,0.0,0.0,0,0.0,57.5,4,515718.702042932,34.62521897588125,11.847098972788757,21,42,4,7,42,0,11,-105.0,70.5,-47.5,192878,16,32,21,5,19,5.0,2027732,10.424088,nan,2.027732,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,2688,16,7
9,-47.5,57.5,46,23,0,0.0,0.0,0,0.0,57.5,6,562500.0,46.00188436598493,28.804344023338512,23,46,6,6,46,0,12,-105.0,70.5,-47.5,192878,14,32,23,6,21,5.0,1738104,12.162192,nan,1.738104,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,2352,14,6
10,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,11,562500.0,46.996828520535736,34.82256563301831,25,50,11,6,50,0,17,-105.0,70.5,-47.5,192878,29,32,25,7,22,5.0,1740624,13.902816,nan,1.740624,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,4872,29,6
