step,mode,receiver_idx,provider_idx,target_gain,online_prediction,base_loss,weighted_loss,propensity,importance_weight,receiver_policy_version,provider_policy_version
2,t2_b0,3,11,0.0,-0.11996548622846603,0.007195858750492334,0.007195858750492334,0.1,1.0,1,1
3,t2_b0,8,2,0.23552693257436208,-0.11745880544185638,0.062299467623233795,0.062299467623233795,0.1,1.0,1,1
3,t2_b0,5,24,0.0,-0.11770487576723099,0.0069272187538445,0.0069272187538445,0.1,1.0,1,1
4,t2_b0,24,5,0.29046713751420156,-0.04952786862850189,0.05779830738902092,0.05779830738902092,0.1,1.0,2,2
4,t2_b0,12,20,0.0,-0.12103678286075592,0.007324951235204935,0.007324951235204935,0.1,1.0,2,2
4,t2_b0,6,17,0.0,-0.12036571651697159,0.007243952713906765,0.007243952713906765,0.03333333333333333,1.0,3,3
4,t2_b0,10,4,0.2588426412418653,-0.11895617842674255,0.07136597484350204,0.07136597484350204,1.0,1.0,2,2
5,t2_b0,1,0,0.002340027605193724,-0.049238987267017365,0.0013301973231136799,0.0013301973231136799,0.9500000000000001,1.0,4,4
5,t2_b0,9,14,0.0,-0.11997814476490021,0.007197377737611532,0.007197377737611532,0.1,1.0,3,3
6,t2_b0,32,25,0.2918175632823272,-0.11920754611492157,0.08447081595659256,0.08447081595659256,1.0,1.0,2,2
6,t2_b0,7,9,0.0,-0.04750949144363403,0.001128575881011784,0.001128575881011784,0.05,1.0,4,4
7,t2_b0,31,26,0.21101898510178455,-0.12085247039794922,0.05506933107972145,0.05506933107972145,0.1,1.0,4,4
7,t2_b0,34,0,0.8943884542205898,-0.013998299837112427,0.41258320212364197,0.41258320212364197,0.05,1.0,6,6
7,t2_b0,11,2,0.6397445967927038,-0.04983307048678398,0.23775866627693176,0.23775866627693176,0.025,1.0,6,6
7,t2_b0,25,32,0.014757061315141368,-0.04951084405183792,0.0020651817321777344,0.0020651817321777344,0.1,1.0,3,3
8,t2_b0,10,39,0.3674950442415138,-0.04649549722671509,0.0856940820813179,0.0856940820813179,0.05,1.0,7,7
8,t2_b0,2,15,0.34615663191591933,-0.014683477580547333,0.06510279327630997,0.06510279327630997,0.03333333333333333,1.0,7,7
8,t2_b0,0,17,0.24043836614885197,0.02166907489299774,0.023930002003908157,0.023930002003908157,0.9333333333333333,1.0,7,7
8,t2_b0,14,9,0.7517068837956095,-0.014173634350299835,0.2932865023612976,0.2932865023612976,0.92,1.0,6,6
9,t2_b0,19,23,0.0,0.05865655094385147,0.0017202955204993486,0.0017202955204993486,0.9333333333333333,1.0,7,7
9,t2_b0,39,10,0.9315621685590227,0.020357318222522736,0.41514715552330017,0.41514715552330017,0.9500000000000001,1.0,8,8
9,t2_b0,22,7,0.1619776370472765,0.02214406430721283,0.009776713326573372,0.009776713326573372,0.925,1.0,7,7
9,t2_b0,26,31,0.03753089775636637,-0.04947205260396004,0.0037847564090043306,0.0037847564090043306,0.05,1.0,6,6
9,t2_b0,15,2,0.7658905981021282,-0.0058812424540519714,0.29781588912010193,0.29781588912010193,0.025,1.0,8,8
9,t2_b0,34,0,0.5124317023396417,0.056598223745822906,0.10389207303524017,0.10389207303524017,0.9500000000000001,1.0,8,8
9,t2_b0,14,9,0.0,0.009376607835292816,4.396038639242761e-05,4.396038639242761e-05,0.92,1.0,7,7
10,t2_b0,18,35,0.6289106226576158,0.021581009030342102,0.18442462384700775,0.18442462384700775,0.9500000000000001,1.0,7,7
10,t2_b0,25,33,0.17037128606912705,0.0056832581758499146,0.013561071828007698,0.013561071828007698,0.9333333333333333,1.0,9,9
10,t2_b0,16,22,0.754541338168899,0.048173725605010986,0.2494775950908661,0.2494775950908661,0.925,1.0,8,8
10,t2_b0,5,2,0.505335157305462,0.01310325413942337,0.12114612758159637,0.12114612758159637,0.9333333333333333,1.0,9,9
10,t2_b0,32,37,0.30178689704228306,0.0072284117341041565,0.04338235408067703,0.04338235408067703,0.925,1.0,9,6
10,t2_b0,29,30,0.0,0.008724309504032135,3.8056787161622196e-05,3.8056787161622196e-05,0.925,1.0,8,8
10,t2_b0,4,10,0.6279056093040166,0.02046472579240799,0.18449221551418304,0.18449221551418304,0.9500000000000001,1.0,9,9
