map_id,method_id,method_label,method_family,status,tail_rmse_db,model_transfers,final_step,source_run_directory
factor_b2_v3,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,13.376493,541619,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v3/cell_grid_intensity_top5_eval50_tail10x25
factor_b3_v1,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,24.649879,130463,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v1/cell_grid_intensity_top5_eval50_tail10x25
factor_b3_v2,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,12.634705,323274,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v2/cell_grid_intensity_top5_eval50_tail10x25
factor_b3_v3,intensity_top5,"Grid intensity, Top-5",deterministic_grid_intensity,complete,11.140324,495951,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v3/cell_grid_intensity_top5_eval50_tail10x25
factor_b1_v1,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,17.195170,391923,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v1/cell_grid_intensity_greedy_eval50_tail10x25
factor_b1_v2,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,14.476025,2211225,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v2/cell_grid_intensity_greedy_eval50_tail10x25
factor_b1_v3,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,7.475737,5921902,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v3/cell_grid_intensity_greedy_eval50_tail10x25
factor_b2_v1,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,14.766301,407127,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v1/cell_grid_intensity_greedy_eval50_tail10x25
factor_b2_v2,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,18.259157,2208858,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v2/cell_grid_intensity_greedy_eval50_tail10x25
factor_b2_v3,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,13.252760,5782204,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v3/cell_grid_intensity_greedy_eval50_tail10x25
factor_b3_v1,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,24.677736,480376,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v1/cell_grid_intensity_greedy_eval50_tail10x25
factor_b3_v2,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,12.833050,1705071,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v2/cell_grid_intensity_greedy_eval50_tail10x25
factor_b3_v3,intensity_all,"Grid intensity, all available",deterministic_grid_intensity,complete,10.655937,4291561,1799,paper_experiments/results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b3_v3/cell_grid_intensity_greedy_eval50_tail10x25
factor_b1_v1,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,17.240614,28829,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_pull1_eval50_tail10x25
factor_b1_v2,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,14.230004,66330,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_pull1_eval50_tail10x25
factor_b1_v3,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,7.640826,105778,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_pull1_eval50_tail10x25
factor_b2_v1,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,15.716351,29070,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_pull1_eval50_tail10x25
factor_b2_v2,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,15.474994,70598,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_weighted_pull1_eval50_tail10x25
factor_b2_v3,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,14.437025,108357,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_weighted_pull1_eval50_tail10x25
factor_b3_v1,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,25.028372,27081,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_weighted_pull1_eval50_tail10x25
factor_b3_v2,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,12.632300,66004,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_weighted_pull1_eval50_tail10x25
factor_b3_v3,sample_count_top1,"Sample count, Top-1",deterministic_sample_count,complete,11.585533,99368,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_weighted_pull1_eval50_tail10x25
factor_b1_v1,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,17.245217,57507,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_pull2_eval50_tail10x25
factor_b1_v2,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,14.214922,132329,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_pull2_eval50_tail10x25
factor_b1_v3,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,7.523680,211556,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_pull2_eval50_tail10x25
factor_b2_v1,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,16.178329,57886,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v1/cell_grid_weighted_pull2_eval50_tail10x25
factor_b2_v2,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,16.222747,140792,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_weighted_pull2_eval50_tail10x25
factor_b2_v3,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,14.349460,216702,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_weighted_pull2_eval50_tail10x25
factor_b3_v1,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,24.633404,53751,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_weighted_pull2_eval50_tail10x25
factor_b3_v2,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,12.750262,131528,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_weighted_pull2_eval50_tail10x25
factor_b3_v3,sample_count_top2,"Sample count, Top-2",deterministic_sample_count,complete,11.358800,198627,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_weighted_pull2_eval50_tail10x25
factor_b1_v1,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,17.127973,113716,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_weighted_pull4_eval50_tail10x25
factor_b1_v2,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,14.077650,263822,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_weighted_pull4_eval50_tail10x25
factor_b1_v3,sample_count_top4,"Sample count, Top-4",deterministic_sample_count,complete,7.357064,423112,1799,paper_experiments/results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_weighted_pull4_eval50_tail10x25
