step,training_loss,examples,groups,gain_log_mae_capped,gain_log_rmse_capped,gain_log_rmse_uncapped,gain_prediction_bias_log_capped,top1_accuracy_tie_aware,mean_selection_regret_log,positive_target_fraction,threshold_2_precision,threshold_2_recall,threshold_2_predicted_pass_fraction,threshold_2_true_pass_fraction,threshold_5_precision,threshold_5_recall,threshold_5_predicted_pass_fraction,threshold_5_true_pass_fraction,threshold_10_precision,threshold_10_recall,threshold_10_predicted_pass_fraction,threshold_10_true_pass_fraction,threshold_50_precision,threshold_50_recall,threshold_50_predicted_pass_fraction,threshold_50_true_pass_fraction,threshold_100_precision,threshold_100_recall,threshold_100_predicted_pass_fraction,threshold_100_true_pass_fraction
1,0.006196716334670782,2048,128,0.003574881237000227,0.007907576858997345,0.021671226248145103,0.0007665702141821384,0.78125,0.00028723352138371183,0.29638671875,1.0,0.8615384615384616,0.0546875,0.0634765625,1.0,0.8181818181818182,0.03076171875,0.03759765625,1.0,0.7916666666666666,0.0185546875,0.0234375,1.0,1.0,0.005859375,0.005859375,1.0,1.0,0.001953125,0.001953125
25,0.007228394038975239,2048,128,0.007005000486969948,0.009211511351168156,0.02218026854097843,0.004803644027560949,0.765625,0.00029004547881172904,0.29638671875,0.959349593495935,0.9076923076923077,0.06005859375,0.0634765625,0.971830985915493,0.8961038961038961,0.03466796875,0.03759765625,1.0,0.7916666666666666,0.0185546875,0.0234375,1.0,1.0,0.005859375,0.005859375,0.8,1.0,0.00244140625,0.001953125
50,0.0016346131451427937,2048,128,0.005161419045180082,0.008272103033959866,0.021806878969073296,0.002706265076994896,0.75,0.0003527778071967802,0.29638671875,0.9914529914529915,0.8923076923076924,0.05712890625,0.0634765625,0.9701492537313433,0.8441558441558441,0.03271484375,0.03759765625,1.0,0.7916666666666666,0.0185546875,0.0234375,1.0,1.0,0.005859375,0.005859375,1.0,1.0,0.001953125,0.001953125
75,0.0030352144967764616,2048,128,0.007131756283342838,0.009186893701553345,0.02217005379498005,0.005088954232633114,0.7265625,0.00039339433782981104,0.29638671875,0.9296875,0.9153846153846154,0.0625,0.0634765625,0.971830985915493,0.8961038961038961,0.03466796875,0.03759765625,1.0,0.8125,0.01904296875,0.0234375,1.0,1.0,0.005859375,0.005859375,0.8,1.0,0.00244140625,0.001953125
100,0.0035006245598196983,2048,128,0.005143049173057079,0.00796409323811531,0.021691910922527313,0.0031493077985942364,0.6875,0.0007048967935316952,0.29638671875,0.9291338582677166,0.9076923076923077,0.06201171875,0.0634765625,0.971830985915493,0.8961038961038961,0.03466796875,0.03759765625,1.0,0.8125,0.01904296875,0.0234375,1.0,1.0,0.005859375,0.005859375,0.8,1.0,0.00244140625,0.001953125
125,0.00933522917330265,2048,128,0.006132172886282206,0.0085073197260499,0.02189718559384346,0.004817422013729811,0.703125,0.0007732792959442847,0.29638671875,0.852112676056338,0.9307692307692308,0.0693359375,0.0634765625,0.9,0.935064935064935,0.0390625,0.03759765625,0.9565217391304348,0.9166666666666666,0.0224609375,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
150,0.004818935878574848,2048,128,0.006531385239213705,0.008814573287963867,0.022018378600478172,0.005332961678504944,0.6796875,0.0008247299110410999,0.29638671875,0.8243243243243243,0.9384615384615385,0.072265625,0.0634765625,0.8372093023255814,0.935064935064935,0.0419921875,0.03759765625,0.9361702127659575,0.9166666666666666,0.02294921875,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
175,0.0020944501738995314,2048,128,0.0027138427831232548,0.006644720211625099,0.021242989227175713,0.000905115099158138,0.6875,0.0008129447053617511,0.29638671875,0.9212598425196851,0.9,0.06201171875,0.0634765625,0.9333333333333333,0.9090909090909091,0.03662109375,0.03759765625,0.9565217391304348,0.9166666666666666,0.0224609375,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
200,0.0015833020443096757,2048,128,0.0038127992302179337,0.007117230910807848,0.021395497024059296,0.0023619739804416895,0.6875,0.0007116766287564857,0.29638671875,0.8666666666666667,0.9,0.06591796875,0.0634765625,0.9102564102564102,0.922077922077922,0.0380859375,0.03759765625,0.9565217391304348,0.9166666666666666,0.0224609375,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
225,0.0020303381606936455,2048,128,0.0027019937988370657,0.006639417260885239,0.021241331472992897,0.0008662308682687581,0.703125,0.0006326710631259225,0.29638671875,0.9212598425196851,0.9,0.06201171875,0.0634765625,0.9452054794520548,0.8961038961038961,0.03564453125,0.03759765625,0.9777777777777777,0.9166666666666666,0.02197265625,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
250,0.0020053000189363956,2048,128,0.0026315180584788322,0.006693541072309017,0.021258311346173286,0.0007065333193168044,0.6953125,0.0006460627414770492,0.29638671875,0.9186991869918699,0.8692307692307693,0.06005859375,0.0634765625,0.9452054794520548,0.8961038961038961,0.03564453125,0.03759765625,1.0,0.8958333333333334,0.02099609375,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
275,0.0014078198000788689,2048,128,0.0026907052379101515,0.006736484356224537,0.021271871402859688,0.0007609095191583037,0.6875,0.0006978122478034088,0.29638671875,0.9262295081967213,0.8692307692307693,0.0595703125,0.0634765625,0.9452054794520548,0.8961038961038961,0.03564453125,0.03759765625,1.0,0.8958333333333334,0.02099609375,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
300,0.0010625096037983894,2048,128,0.00278741167858243,0.006601483561098576,0.02122950367629528,0.0010837543522939086,0.6953125,0.0006471110067098884,0.29638671875,0.9140625,0.9,0.0625,0.0634765625,0.9210526315789473,0.9090909090909091,0.037109375,0.03759765625,0.9777777777777777,0.9166666666666666,0.02197265625,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
325,0.0022547522094100714,2048,128,0.002865489572286606,0.006621619686484337,0.02123577520251274,0.0012920890003442764,0.671875,0.0007534606272332489,0.29638671875,0.9,0.9,0.0634765625,0.0634765625,0.9102564102564102,0.922077922077922,0.0380859375,0.03759765625,0.9565217391304348,0.9166666666666666,0.0224609375,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
350,0.0026021033991128206,2048,128,0.002028813585639,0.00630398141220212,0.021138887852430344,0.00017957018280867487,0.671875,0.000752573446535898,0.29638671875,0.9112903225806451,0.8692307692307693,0.060546875,0.0634765625,0.9210526315789473,0.9090909090909091,0.037109375,0.03759765625,0.9777777777777777,0.9166666666666666,0.02197265625,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
375,0.0014978664694353938,2048,128,0.0022827701177448034,0.0064537120051681995,0.02118401974439621,0.0003891203086823225,0.6796875,0.000919466924616863,0.29638671875,0.9112903225806451,0.8692307692307693,0.060546875,0.0634765625,0.9333333333333333,0.9090909090909091,0.03662109375,0.03759765625,0.9777777777777777,0.9166666666666666,0.02197265625,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
400,0.0019182419637218118,2048,128,0.002886999398469925,0.006597017403692007,0.021228116005659103,0.00130673055537045,0.6875,0.000655834402389921,0.29638671875,0.9,0.9,0.0634765625,0.0634765625,0.9090909090909091,0.9090909090909091,0.03759765625,0.03759765625,0.9777777777777777,0.9166666666666666,0.02197265625,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
425,0.0010402523912489414,2048,128,0.0024080793373286724,0.006342699751257896,0.021150466054677963,0.0007740476867184043,0.6875,0.0007779366707465485,0.29638671875,0.905511811023622,0.8846153846153846,0.06201171875,0.0634765625,0.9090909090909091,0.9090909090909091,0.03759765625,0.03759765625,0.9777777777777777,0.9166666666666666,0.02197265625,0.0234375,0.9230769230769231,1.0,0.00634765625,0.005859375,0.8,1.0,0.00244140625,0.001953125
