step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
14,t2_b0,7,1,4,0,
14,t2_b0,8,4,11,0,
14,t2_b0,10,3,17,0,
14,t2_b0,11,6,29,0,
14,t2_b0,12,6,25,0,
14,t2_b0,14,8,27,0,
14,t2_b0,15,9,36,0,
14,t2_b0,16,8,32,0,
14,t2_b0,18,4,16,0,
14,t2_b0,19,1,10,0,
14,t2_b0,20,9,31,0,
14,t2_b0,21,5,26,0,
14,t2_b0,22,6,26,0,
14,t2_b0,23,5,19,0,
14,t2_b0,24,4,18,0,
14,t2_b0,27,6,21,0,
14,t2_b0,28,12,37,0,
14,t2_b0,31,10,34,0,
14,t2_b0,32,6,24,0,
14,t2_b0,34,6,21,0,
14,t2_b0,35,7,28,0,
14,t2_b0,36,6,20,0,
14,t2_b0,37,7,32,0,
14,t2_b0,38,6,25,0,
14,t2_b0,40,7,26,0,
14,t2_b0,41,9,38,0,
14,t2_b0,42,5,25,0,
14,t2_b0,43,9,28,0,
14,t2_b0,44,3,26,0,
14,t2_b0,45,8,32,0,
14,t2_b0,46,5,23,0,
14,t2_b0,47,5,23,0,
14,t2_b0,48,11,35,0,
14,t2_b0,49,8,21,0,
14,t2_b0,51,5,26,0,
14,t2_b0,52,51,67,4,0.40857475996017456
14,t2_b0,55,5,16,0,
14,t2_b0,56,7,22,0,
14,t2_b0,57,8,21,0,
14,t2_b0,58,4,19,0,
14,t2_b0,59,5,15,0,
15,t2_b0,0,7,36,0,
15,t2_b0,2,4,26,0,
15,t2_b0,3,2,8,0,
15,t2_b0,4,1,14,0,
15,t2_b0,5,1,10,0,
15,t2_b0,6,4,20,0,
15,t2_b0,7,3,7,0,
15,t2_b0,8,2,13,0,
15,t2_b0,10,4,21,0,
15,t2_b0,11,7,36,0,
15,t2_b0,12,4,29,0,
15,t2_b0,14,8,35,0,
15,t2_b0,15,4,40,0,
15,t2_b0,16,6,38,0,
15,t2_b0,18,5,21,0,
15,t2_b0,19,2,12,0,
15,t2_b0,20,7,38,0,
15,t2_b0,21,7,33,0,
15,t2_b0,22,48,74,4,1.1124149560928345
15,t2_b0,23,5,24,0,
15,t2_b0,24,6,24,0,
15,t2_b0,27,4,25,0,
15,t2_b0,28,7,44,0,
15,t2_b0,31,6,40,0,
15,t2_b0,32,4,28,0,
15,t2_b0,33,9,26,0,
15,t2_b0,34,5,26,0,
15,t2_b0,35,9,37,0,
15,t2_b0,36,4,24,0,
15,t2_b0,37,9,41,0,
15,t2_b0,38,5,30,0,
15,t2_b0,40,5,31,0,
15,t2_b0,41,6,44,0,
15,t2_b0,42,8,33,0,
15,t2_b0,43,9,37,0,
15,t2_b0,44,7,33,0,
15,t2_b0,45,3,35,0,
15,t2_b0,46,5,28,0,
15,t2_b0,47,6,29,0,
15,t2_b0,48,8,43,0,
15,t2_b0,49,7,28,0,
15,t2_b0,50,6,19,0,
15,t2_b0,51,11,37,0,
15,t2_b0,55,5,21,0,
15,t2_b0,56,4,26,0,
15,t2_b0,57,7,28,0,
15,t2_b0,58,3,22,0,
15,t2_b0,59,53,68,4,0.48092764616012573
16,t2_b0,0,8,44,0,
16,t2_b0,2,3,29,0,
16,t2_b0,3,3,11,0,
16,t2_b0,4,1,15,0,
16,t2_b0,5,2,12,0,
16,t2_b0,6,5,25,0,
16,t2_b0,7,3,10,0,
16,t2_b0,8,6,19,0,
16,t2_b0,10,6,27,0,
16,t2_b0,11,2,38,0,
16,t2_b0,12,5,34,0,
16,t2_b0,13,10,36,0,
16,t2_b0,14,7,42,0,
16,t2_b0,15,7,47,0,
16,t2_b0,16,9,47,0,
16,t2_b0,18,3,24,0,
16,t2_b0,19,2,14,0,
16,t2_b0,20,7,45,0,
16,t2_b0,21,4,37,0,
16,t2_b0,23,4,28,0,
16,t2_b0,24,4,28,0,
16,t2_b0,27,8,33,0,
16,t2_b0,28,9,53,0,
16,t2_b0,31,10,50,0,
16,t2_b0,32,4,32,0,
16,t2_b0,33,6,32,0,
16,t2_b0,34,6,32,0,
16,t2_b0,35,10,47,0,
16,t2_b0,36,8,32,0,
16,t2_b0,37,6,47,0,
16,t2_b0,38,5,35,0,
16,t2_b0,40,5,36,0,
16,t2_b0,41,7,51,0,
