building_score,vehicle_score,xmin,ymin,xmax,ymax,mean_active,median_active,p95_active,max_active,active_cv,building_count,building_coverage,median_building_height_m,directed_road_length_km,unique_vehicles,proposal_name
1,1,2000.0,7200.0,2300.0,7500.0,16.07111111111111,15.0,28.0,36.0,0.40261051446014695,6,0.052005067137259296,0.0,1.7219389666197962,642,"score (1,1)"
1,2,8800.0,2600.0,9100.0,2900.0,37.090555555555554,37.0,52.049999999999955,60.0,0.24039903971607807,14,0.053384617265909824,0.0,1.4195617026796912,1383,"score (1,2)"
1,3,6200.0,3200.0,6500.0,3500.0,58.83166666666666,59.0,67.0,73.0,0.08446346856172973,1,0.05267454620929241,17.440473556518555,1.7670247761854248,2834,"score (1,3)"
2,1,4400.0,5900.0,4700.0,6200.0,16.27888888888889,15.0,31.0,55.0,0.48863615052690895,66,0.18204108528902171,14.235023498535156,1.8194751581809743,816,"score (2,1)"
2,2,7100.0,8700.0,7400.0,9000.0,39.401666666666664,40.0,51.0,59.0,0.1971719913203866,71,0.18566628016973052,12.959239959716797,1.7236122402184504,1360,"score (2,2)"
2,3,6800.0,6600.0,7100.0,6900.0,60.248333333333335,57.0,95.0,106.0,0.31036427635210695,65,0.1702517744855809,22.000579833984375,1.7298645516817108,1531,"score (2,3)"
3,1,7500.0,5500.0,7800.0,5800.0,15.283333333333333,14.0,35.0,44.0,0.6475652257077175,84,0.3704643005110878,15.824446678161621,1.5514122141919706,792,"score (3,1)"
3,2,7600.0,4900.0,7900.0,5200.0,36.909444444444446,35.0,60.0,70.0,0.3413606534415061,63,0.35348217976906426,14.295963287353516,1.8550036896666697,1346,"score (3,2)"
3,3,7800.0,4400.0,8100.0,4700.0,55.29,54.0,80.0,96.0,0.25535819617504696,44,0.38670956203424317,13.765125274658203,1.7277017981426592,1312,"score (3,3)"
