step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
233,986,804,128,32920,160
234,1012,806,92,33072,152
235,1014,818,114,33236,164
236,1036,812,96,33396,160
237,1074,812,82,33560,164
238,1106,810,88,33736,176
239,1060,822,158,33924,188
240,1072,818,106,34104,180
241,1026,812,158,34292,188
242,1022,788,120,34468,176
243,1052,772,90,34648,180
244,1008,744,156,34832,184
245,1004,744,120,35008,176
246,1020,742,102,35180,172
247,1050,758,88,35352,172
248,996,754,164,35520,168
249,1034,752,82,35684,164
250,1016,758,132,35852,168
251,1032,770,102,36024,172
252,992,780,152,36200,176
253,996,766,112,36360,160
254,1016,756,98,36524,164
255,1034,756,100,36692,168
256,1016,768,132,36860,168
257,1056,770,80,37020,160
258,1068,778,106,37200,180
259,1100,776,88,37376,176
260,1090,794,126,37564,188
261,1046,792,156,37748,184
262,1074,778,92,37932,184
263,1062,818,128,38124,192
264,1070,806,110,38312,188
265,1078,806,110,38500,188
266,1100,806,98,38696,196
267,1086,826,130,38892,196
268,1074,792,128,39084,192
269,1080,776,110,39272,188
270,1016,794,174,39460,188
271,1008,806,124,39644,184
272,1040,812,88,39820,176
273,1014,820,140,40004,184
274,1010,806,120,40180,176
275,1026,810,102,40352,172
276,1002,794,136,40524,172
277,1016,764,102,40688,164
278,1036,774,98,40852,164
279,1000,756,148,41020,168
280,1016,754,102,41192,172
281,976,746,152,41368,176
282,998,752,96,41528,160
283,1038,756,80,41688,160
284,1040,740,114,41860,172
285,1040,752,116,42028,168
286,1020,738,134,42204,176
287,1038,724,100,42372,168
288,1056,746,100,42540,168
289,1068,754,106,42720,180
290,1062,766,122,42900,180
291,1052,764,126,43088,188
292,1044,780,124,43272,184
293,1022,750,136,43448,176
294,1050,740,90,43624,176
295,1044,738,122,43804,180
296,1054,756,108,43988,184
297,1046,752,124,44172,184
298,1040,726,122,44352,180
299,1000,734,152,44528,176
300,1018,742,100,44696,168
301,982,730,148,44864,168
302,986,736,112,45024,160
303,952,744,146,45188,164
304,960,762,108,45344,156
305,964,774,110,45500,156
306,974,780,106,45648,148
307,962,760,124,45800,152
308,974,752,104,45944,144
309,964,762,124,46096,152
310,1012,768,72,46240,144
311,1034,766,96,46400,160
312,1072,784,82,46564,164
313,1034,778,150,46744,180
314,1014,772,134,46916,172
315,962,786,162,47080,164
316,988,794,92,47232,152
317,990,796,114,47396,164
318,988,784,116,47564,168
319,1022,768,84,47732,168
320,1036,758,102,47904,172
321,1054,758,100,48072,168
322,1056,758,114,48236,164
323,1072,750,102,48408,172
324,1048,734,138,48588,180
325,1074,746,94,48776,188
326,1082,760,110,48964,188
327,1016,786,176,49156,192
328,1030,776,104,49332,176
329,1026,752,120,49508,176
330,1022,770,120,49684,176
331,984,766,150,49856,172
332,1004,764,98,50020,164
333,988,756,130,50184,164
334,1026,756,82,50348,164
335,1028,768,114,50512,164
336,996,786,144,50672,160
337,1016,776,98,50836,164
