step,examples,mean_target_gain,mean_online_prediction,mean_absolute_error,root_mean_squared_error,target_prediction_pearson,cumulative_examples
1,108,0.002773156,0.067323436,0.064550281,0.065007282,-0.149923106,108
2,81,0.118000890,0.040059865,0.114934363,0.243147109,0.165863415,189
3,79,0.124034257,-0.007824427,0.143452575,0.202224484,0.242365151,268
4,89,0.160740205,0.003839813,0.175266969,0.330649570,0.310632067,357
5,63,0.194810027,0.018555159,0.209944108,0.376135590,0.169131046,420
6,92,0.521962322,0.042470533,0.521738064,1.048198072,0.025613854,512
7,103,0.425326665,0.068433181,0.400522517,0.816906629,-0.081267079,615
8,76,0.561985321,0.088770545,0.502710144,0.874082710,-0.155856081,691
9,93,1.020072236,0.108746381,0.948074665,2.274422200,-0.209087800,784
10,87,0.822901158,0.135638596,0.710036563,1.693315399,-0.321441385,871
11,47,0.780023416,0.168908263,0.661377530,1.171766369,0.126508681,918
12,91,0.856745841,0.179601891,0.713276264,1.116891446,0.115290056,1009
13,86,0.777204221,0.216191764,0.630772535,1.109865473,0.184029446,1095
14,85,0.977340458,0.225411388,0.826416920,1.320079860,0.080272464,1180
15,77,1.191319005,0.243592598,1.059857779,1.562939075,-0.186360336,1257
16,95,0.871710646,0.271553409,0.691927283,1.052652348,-0.062259364,1352
17,75,0.838028709,0.292034993,0.692815815,1.211202495,-0.124741717,1427
18,112,1.217889387,0.304114881,1.029253258,1.609687635,-0.091282694,1539
19,77,0.931641544,0.335691815,0.733710598,1.177846573,-0.174145490,1616
20,101,0.875304819,0.347111233,0.677346781,1.005015588,-0.151981054,1717
21,79,0.785316052,0.369769027,0.624258080,1.048371542,-0.160058634,1796
22,96,0.706203039,0.401235471,0.511055857,0.748613238,0.113980393,1892
23,84,0.668826930,0.404195790,0.522868210,0.746523464,-0.218484934,1976
24,91,0.682752422,0.432561009,0.498325506,0.790832503,-0.115700918,2067
25,87,0.726889421,0.421293264,0.570271886,0.865487319,-0.214356147,2154
26,93,0.825082019,0.453272312,0.689898263,1.275840062,-0.394220074,2247
27,98,0.634753887,0.455186457,0.510469988,0.921100076,-0.191784678,2345
28,89,0.865136413,0.464050158,0.744128333,1.320229554,-0.377170512,2434
29,95,0.626740286,0.446459654,0.603207389,1.016246324,-0.394358426,2529
30,92,0.701581870,0.461714313,0.510700841,1.032315699,-0.065261290,2621
31,89,0.743237201,0.422503738,0.575273260,0.972442304,-0.150317780,2710
32,94,0.816201367,0.455172313,0.686819638,1.013384810,-0.086141528,2804
33,108,0.716669941,0.412595165,0.532736061,0.849977606,-0.010994196,2912
34,90,0.812623101,0.463773458,0.641426928,1.086546565,-0.166094023,3002
35,94,0.728452576,0.449265597,0.637644862,1.068570800,-0.188112143,3096
36,99,0.761170443,0.458631876,0.649455635,1.109730733,-0.169241825,3195
37,106,0.806028749,0.447423766,0.670843298,1.299488550,-0.089920551,3301
38,105,0.876380794,0.490932106,0.695399051,1.451800957,-0.409593934,3406
39,112,0.875898847,0.452990418,0.678964988,1.159051282,-0.186019720,3518
40,93,0.678909279,0.499317634,0.489704167,0.756390778,-0.033824462,3611
41,110,1.013167418,0.444329541,0.804307244,1.327543083,-0.116285557,3721
42,97,0.649215294,0.480745149,0.463575325,0.657617382,-0.032978387,3818
43,113,1.008762916,0.457503375,0.794772273,1.364556109,-0.330619736,3931
44,91,0.836855886,0.493761063,0.694006284,1.198759404,-0.169421573,4022
45,121,0.900775843,0.478580277,0.676444376,1.147295151,-0.108172812,4143
46,102,0.951632912,0.504661357,0.746456612,1.979566598,-0.173141104,4245
