step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
263,0,16,4,711,4
264,0,16,4,715,4
265,0,16,4,719,4
266,0,16,4,723,4
267,0,16,4,727,4
268,0,16,4,731,4
269,0,16,3,734,3
270,0,16,3,737,3
271,0,22,3,740,3
272,0,22,3,743,3
273,0,24,3,746,3
274,0,26,3,749,3
275,0,24,3,752,3
276,0,20,3,755,3
277,0,14,4,759,4
278,0,10,4,763,4
279,0,8,3,766,3
280,0,6,2,768,2
281,0,8,3,771,3
282,0,8,2,773,2
283,0,10,3,776,3
284,0,10,3,779,3
285,0,4,2,781,2
286,0,2,1,782,1
287,0,2,1,783,1
288,0,2,1,784,1
289,0,4,2,786,2
290,0,4,2,788,2
291,0,2,1,789,1
292,0,2,1,790,1
293,0,6,3,793,3
294,0,8,2,795,2
295,0,8,2,797,2
296,0,10,3,800,3
297,0,14,2,802,2
298,0,14,2,804,2
299,0,12,3,807,3
300,0,10,2,809,2
301,0,10,2,811,2
302,0,12,2,813,2
303,0,16,3,816,3
304,0,14,2,818,2
305,0,12,2,820,2
306,0,14,3,823,3
307,0,14,2,825,2
308,0,16,3,828,3
309,0,18,2,830,2
310,0,18,2,832,2
311,0,18,2,834,2
312,0,18,2,836,2
313,0,18,2,838,2
314,0,18,2,840,2
315,0,18,2,842,2
316,0,20,2,844,2
317,0,20,2,846,2
318,0,22,2,848,2
319,0,22,3,851,3
320,0,26,2,853,2
321,0,20,3,856,3
322,0,16,3,859,3
323,0,12,3,862,3
324,0,12,2,864,2
325,0,10,2,866,2
326,0,8,2,868,2
327,0,8,3,871,3
328,0,4,2,873,2
329,0,2,1,874,1
330,0,6,3,877,3
331,0,4,2,879,2
332,0,6,3,882,3
333,0,6,3,885,3
334,0,10,2,887,2
335,0,12,3,890,3
336,0,16,2,892,2
337,0,16,3,895,3
338,0,16,2,897,2
339,0,16,3,900,3
340,0,16,2,902,2
341,0,16,4,906,4
342,0,14,5,911,5
343,0,12,4,915,4
344,0,14,3,918,3
345,0,20,3,921,3
346,0,20,3,924,3
347,0,20,3,927,3
348,0,20,4,931,4
349,0,18,4,935,4
350,0,16,4,939,4
351,0,16,4,943,4
352,0,16,4,947,4
353,0,12,4,951,4
354,0,12,3,954,3
355,0,12,4,958,4
356,0,14,3,961,3
357,0,14,4,965,4
358,0,14,3,968,3
359,0,14,4,972,4
360,0,14,3,975,3
361,0,22,3,978,3
362,0,22,4,982,4
363,0,22,3,985,3
364,0,24,3,988,3
365,0,22,3,991,3
366,0,14,3,994,3
367,0,12,3,997,3
368,0,14,4,1001,4
369,0,12,4,1005,4
370,0,10,3,1008,3
371,0,10,3,1011,3
372,0,10,3,1014,3
373,0,10,4,1018,4
374,0,12,4,1022,4
375,0,10,3,1025,3
376,0,10,3,1028,3
377,0,10,3,1031,3
378,0,14,3,1034,3
379,0,14,4,1038,4
380,0,16,3,1041,3
381,0,16,4,1045,4
382,0,16,4,1049,4
383,0,16,3,1052,3
384,0,18,3,1055,3
385,0,20,3,1058,3
386,0,18,4,1062,4
387,0,16,3,1065,3
388,0,20,4,1069,4
389,0,20,3,1072,3
390,0,20,4,1076,4
391,0,20,3,1079,3
392,0,20,4,1083,4
393,0,20,3,1086,3
394,0,20,4,1090,4
395,0,18,3,1093,3
396,0,18,3,1096,3
397,0,16,3,1099,3
398,0,16,4,1103,4
399,0,16,3,1106,3
400,0,16,4,1110,4
401,0,16,3,1113,3
402,0,16,4,1117,4
403,0,16,3,1120,3
404,0,16,4,1124,4
405,0,16,3,1127,3
406,0,20,3,1130,3
407,0,20,3,1133,3
408,0,18,3,1136,3
409,0,20,3,1139,3
410,0,20,4,1143,4
411,0,16,3,1146,3
412,0,10,3,1149,3
413,0,6,3,1152,3
414,0,8,3,1155,3
415,0,4,1,1156,1
416,0,2,1,1157,1
417,0,2,1,1158,1
418,0,4,1,1159,1
419,0,6,2,1161,2
420,0,8,2,1163,2
421,0,12,3,1166,3
422,0,14,3,1169,3
423,0,14,3,1172,3
424,0,14,3,1175,3
425,0,12,3,1178,3
426,0,12,4,1182,4
427,0,8,3,1185,3
428,0,10,2,1187,2
429,0,12,2,1189,2
430,0,20,3,1192,3
431,0,22,3,1195,3
432,0,22,3,1198,3
433,0,20,2,1200,2
434,0,18,2,1202,2
435,0,14,2,1204,2
436,0,12,3,1207,3
437,0,10,3,1210,3
438,0,10,3,1213,3
439,0,10,3,1216,3
440,0,10,3,1219,3
441,0,10,3,1222,3
442,0,10,3,1225,3
443,0,12,4,1229,4
444,0,12,4,1233,4
445,0,12,4,1237,4
446,0,12,4,1241,4
447,0,12,4,1245,4
448,0,10,3,1248,3
449,0,10,3,1251,3
450,0,10,3,1254,3
451,0,16,3,1257,3
452,0,18,4,1261,4
453,0,18,3,1264,3
454,0,18,3,1267,3
455,0,20,3,1270,3
456,0,16,3,1273,3
457,0,18,3,1276,3
458,0,22,2,1278,2
459,0,20,2,1280,2
460,0,14,1,1281,1
461,0,8,1,1282,1
462,0,10,1,1283,1
463,0,10,2,1285,2
464,0,8,2,1287,2
465,0,8,2,1289,2
466,0,8,2,1291,2
467,0,10,3,1294,3
468,0,10,3,1297,3
469,0,10,3,1300,3
470,0,10,3,1303,3
471,0,8,2,1305,2
472,0,6,2,1307,2
473,0,4,2,1309,2
474,0,4,2,1311,2
475,0,4,2,1313,2
476,0,8,4,1317,4
477,0,8,3,1320,3
478,0,10,3,1323,3
479,0,10,3,1326,3
480,0,8,2,1328,2
481,0,8,2,1330,2
482,0,4,2,1332,2
483,0,6,2,1334,2
484,0,8,3,1337,3
485,0,10,4,1341,4
486,0,12,4,1345,4
487,0,14,3,1348,3
488,0,16,3,1351,3
489,0,14,4,1355,4
490,0,12,2,1357,2
491,0,12,2,1359,2
492,0,14,3,1362,3
493,0,14,3,1365,3
494,0,14,3,1368,3
495,0,14,3,1371,3
496,0,18,3,1374,3
497,0,18,3,1377,3
498,0,18,3,1380,3
499,0,16,4,1384,4
500,0,18,4,1388,4
501,0,18,3,1391,3
502,0,10,2,1393,2
503,0,12,2,1395,2
504,0,12,3,1398,3
505,0,8,2,1400,2
506,0,6,3,1403,3
507,0,8,3,1406,3
508,0,10,3,1409,3
509,0,10,3,1412,3
510,0,6,3,1415,3
511,0,6,3,1418,3
512,0,6,2,1420,2
513,0,8,3,1423,3
514,0,8,3,1426,3
515,0,14,4,1430,4
516,0,16,4,1434,4
517,0,16,3,1437,3
518,0,18,4,1441,4
519,0,16,3,1444,3
520,0,14,4,1448,4
521,0,14,4,1452,4
522,0,12,3,1455,3
523,0,12,4,1459,4
524,0,12,3,1462,3
525,0,12,4,1466,4
526,0,12,3,1469,3
527,0,12,4,1473,4
528,0,12,3,1476,3
529,0,14,3,1479,3
530,0,14,3,1482,3
531,0,16,3,1485,3
532,0,16,3,1488,3
533,0,16,3,1491,3
534,0,16,3,1494,3
535,0,16,3,1497,3
536,0,16,3,1500,3
537,0,16,3,1503,3
538,0,16,3,1506,3
539,0,16,4,1510,4
540,0,16,3,1513,3
541,0,16,4,1517,4
542,0,16,3,1520,3
543,0,16,4,1524,4
544,0,12,3,1527,3
545,0,14,4,1531,4
546,0,6,2,1533,2
547,0,6,2,1535,2
548,0,8,2,1537,2
549,0,6,1,1538,1
550,0,6,2,1540,2
551,0,6,2,1542,2
552,0,4,2,1544,2
553,0,4,2,1546,2
554,0,4,2,1548,2
555,0,6,2,1550,2
556,0,2,1,1551,1
557,0,4,2,1553,2
558,0,6,2,1555,2
559,0,8,2,1557,2
560,0,8,2,1559,2
561,0,8,2,1561,2
562,0,8,2,1563,2
563,0,12,2,1565,2
564,0,12,3,1568,3
565,0,8,3,1571,3
566,0,6,3,1574,3
567,0,6,3,1577,3
568,0,6,3,1580,3
569,0,10,3,1583,3
570,0,10,3,1586,3
571,0,10,3,1589,3
572,0,12,4,1593,4
573,0,12,4,1597,4
574,0,12,4,1601,4
575,0,10,4,1605,4
576,0,8,4,1609,4
577,0,10,4,1613,4
578,0,10,4,1617,4
579,0,10,4,1621,4
580,0,10,4,1625,4
581,0,10,4,1629,4
582,0,12,4,1633,4
583,0,14,4,1637,4
584,0,14,4,1641,4
585,0,14,4,1645,4
586,0,16,4,1649,4
587,0,16,4,1653,4
588,0,16,4,1657,4
