step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.1_comm_bytes,t2_b0.1_comm_cumulative_mb,t2_b0.1_comm_cumulative_vs_greedy_ratio,t2_b0.1_comm_mb,t2_b0.1_comm_vs_greedy_ratio,t2_b0.1_events,t2_b0.1_merge_metadata_bytes,t2_b0.1_metadata_bytes,t2_b0.1_model_bytes,t2_b0.1_policy_model_bytes,t2_b0.1_selected_providers
1,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50631884,50.631884,nan,50.631884,nan,330,2640,479556,47489640,2660048,330
2,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52340728,102.972612,nan,52.340728,nan,342,2736,476784,49216536,2644672,342
3,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55705240,158.677852,nan,55.70524,nan,365,2920,485100,52526420,2690800,365
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53537426,212.215278,nan,53.537426,nan,350,2800,483714,50367800,2683112,350
5,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52701152,264.91643,nan,52.701152,nan,344,2752,487872,49504352,2706176,344
6,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52063238,316.979668,nan,52.063238,nan,339,2712,500346,48784812,2775368,339
7,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54249200,371.228868,nan,54.2492,nan,354,2832,504504,50943432,2798432,354
8,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53763008,424.991876,nan,53.763008,nan,351,2808,496188,50511708,2752304,351
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55597620,480.589496,nan,55.59762,nan,364,2912,490644,52382512,2721552,364
10,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52916392,533.505888,nan,52.916392,nan,346,2768,476784,49792168,2644672,346
11,-100.0,5.0,692,346,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54085868,587.591756,nan,54.085868,nan,354,2832,479556,50943432,2660048,354
12,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52034748,639.626504,nan,52.034748,nan,340,2720,474012,48928720,2629296,340
13,-100.0,5.0,682,341,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52745254,692.371758,nan,52.745254,nan,345,2760,472626,49648260,2621608,345
14,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54355552,746.72731,nan,54.355552,nan,356,2848,476784,51231248,2644672,356
15,-100.0,5.0,704,352,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52845068,799.572378,nan,52.845068,nan,345,2760,487872,49648260,2706176,345
16,-100.0,5.0,742,371,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57478870,857.051248,nan,57.47887,nan,376,3008,514206,54109408,2852248,376
17,-100.0,5.0,736,368,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54429412,911.48066,nan,54.429412,nan,355,2840,510048,51087340,2829184,355
18,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56021562,967.502222,nan,56.021562,nan,366,2928,511434,52670328,2836872,366
19,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56112302,1023.614524,nan,56.112302,nan,366,2928,525294,52670328,2913752,366
20,-100.0,5.0,766,383,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63632230,1087.246754,nan,63.63223,nan,418,3344,530838,60153544,2944504,418
21,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58622392,1145.869146,nan,58.622392,nan,383,3064,534996,55116764,2967568,383
22,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65486258,1211.355404,nan,65.486258,nan,430,3440,550242,61880440,3052136,430
23,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58937446,1270.29285,nan,58.937446,nan,385,3080,539154,55404580,2990632,385
24,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56949844,1327.242694,nan,56.949844,nan,371,2968,543312,53389868,3013696,371
25,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60737030,1387.979724,nan,60.73703,nan,397,3176,550242,57131476,3052136,397
26,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58749428,1446.729152,nan,58.749428,nan,383,3064,554400,55116764,3075200,383
27,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63085056,1509.814208,nan,63.085056,nan,413,3304,557172,59434004,3090576,413
28,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60782400,1570.596608,nan,60.7824,nan,397,3176,557172,57131476,3090576,397
