step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.1_train_updates,train_updates_this_step
1,330,692,0,0,0
2,672,688,0,0,0
3,1027,700,6,0,0
4,1369,698,6,0,0
5,1713,704,0,0,0
6,2038,722,13,0,0
7,2369,728,19,0,0
8,2629,716,79,0,0
9,2925,708,58,0,0
10,3116,688,139,0,0
11,3096,692,364,4,4
12,3105,684,325,8,4
13,3101,682,345,12,4
14,3103,688,348,16,4
15,3183,704,265,16,0
16,3214,742,332,16,0
17,3220,736,340,20,4
18,3259,738,319,32,12
19,3124,758,479,100,68
20,3273,766,269,188,88
21,3367,772,289,292,104
22,3398,794,390,416,124
23,3424,778,349,548,132
24,3504,784,291,696,148
25,3628,794,273,856,160
26,3691,800,320,1032,176
27,3697,804,394,1224,192
28,3780,804,310,1424,200
29,3822,808,350,1644,220
30,3846,804,374,1860,216
31,3813,816,389,2076,216
32,3665,802,518,2296,220
33,3532,788,510,2512,216
34,3454,780,446,2716,204
35,3406,778,423,2912,196
36,3470,790,332,3100,188
37,3423,796,416,3292,192
38,3383,780,402,3476,184
39,3450,768,317,3660,184
40,3498,774,342,3840,180
41,3479,772,398,4020,180
42,3433,748,408,4200,180
43,3445,752,368,4384,184
44,3346,762,466,4572,188
45,3368,778,359,4756,184
46,3247,788,490,4936,180
47,3189,780,410,5104,168
48,3256,786,309,5268,164
49,3367,792,288,5432,164
50,3500,794,271,5600,168
51,3601,814,289,5776,176
52,3686,828,326,5960,184
53,3692,828,360,6144,184
54,3689,808,358,6336,192
55,3737,816,300,6528,192
56,3778,810,333,6740,212
57,3754,810,367,6956,216
58,3607,810,477,7168,212
59,3644,810,312,7364,196
60,3520,800,421,7556,192
61,3437,798,412,7736,180
62,3317,774,456,7920,184
63,3312,768,356,8100,180
64,3197,790,450,8276,176
65,3236,794,325,8436,160
66,3199,786,394,8596,160
67,3236,818,351,8752,156
68,3380,816,263,8912,160
69,3236,818,485,9072,160
70,3315,816,297,9228,156
71,3282,818,405,9396,168
72,3222,806,413,9564,168
73,3292,796,317,9724,160
74,3265,780,373,9896,172
75,3290,748,308,10060,164
76,3226,758,425,10228,168
77,3179,770,375,10396,168
78,3227,762,300,10556,160
79,3184,828,391,10728,172
80,3229,810,325,10892,164
81,3226,776,346,11064,172
82,3307,770,278,11244,180
83,3258,768,405,11428,184
84,3166,774,430,11612,184
85,3162,760,328,11788,176
86,2967,712,491,11972,184
87,3036,718,278,12152,180
88,2888,696,458,12332,180
89,2949,700,263,12516,184
