step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,87,87,85,58.541088,58.541088,0,4087608,54441920,0
2,2445,4890,11,11,11,56.42622,114.967308,0,516824,55648200,259700
3,2469,4938,9,9,7,56.984048,171.951356,0,422856,56194440,365800
4,2401,4802,9,9,9,55.43184,227.383196,0,422856,54646760,361000
5,2489,4978,6,6,6,57.26326,284.646456,0,281904,56649640,330900
6,2714,5428,7,7,7,62.30878,346.955236,0,328888,61770640,208300
7,2852,5704,8,8,8,65.49448,412.449716,0,375872,64911520,206000
8,2837,5674,10,10,10,65.19202,477.641736,0,469840,64570120,150700
9,2809,5618,15,15,15,64.87644,542.518176,0,704760,63932840,236800
10,2728,5456,7,7,7,62.56542,605.083596,0,328888,62089280,146300
11,2658,5316,8,8,8,61.01964,666.103236,0,375872,60496080,146600
12,2645,5290,9,9,9,60.74088,726.844116,0,422856,60200200,116600
13,2570,5140,12,12,12,59.24154,786.085656,0,563808,58493200,182900
14,2448,4896,9,9,9,56.32146,842.407116,0,422856,55716480,180900
15,2515,5030,9,9,9,57.94698,900.354096,0,422856,57241400,281500
16,2476,4952,7,7,7,56.9096,957.263696,0,328888,56353760,226000
17,2669,5338,9,9,9,61.36032,1018.624016,0,422856,60746440,189800
18,2887,5774,13,13,13,66.55768,1085.181696,0,610792,65708120,237000
19,2923,5846,10,10,10,67.18948,1152.371176,0,469840,66527480,190800
20,2937,5874,6,6,6,67.42874,1219.799916,0,281904,66846120,299900
21,2834,5668,11,11,10,65.209324,1285.00924,0,516824,64501840,189300
22,2758,5516,10,10,10,63.41448,1348.42372,0,469840,62772080,171200
23,2819,5638,8,8,8,64.8116,1413.23532,0,375872,64160440,274200
24,3034,6068,12,12,12,69.88388,1483.1192,0,563808,69053840,264600
25,3114,6228,7,7,7,71.44678,1554.56598,0,328888,70874640,242300
26,3155,6310,6,6,6,72.33952,1626.9055,0,281904,71807800,249000
27,3435,6870,7,7,7,78.74384,1705.64934,0,328888,78180600,233400
28,3277,6554,12,12,12,75.51026,1781.1596,0,563808,74584520,360300
29,3469,6938,15,15,15,79.90994,1861.06954,0,704760,78954440,248700
30,3363,6726,12,12,12,77.43592,1938.50546,0,563808,76541880,328600
31,3345,6690,10,10,10,76.9634,2015.46886,0,469840,76132200,360000
32,3188,6376,15,15,15,73.66628,2089.13514,0,704760,72558880,400600
33,3061,6122,16,16,16,70.84858,2159.98372,0,751744,69668360,426300
34,3182,6364,5,5,5,72.94972,2232.93344,0,234920,72422320,291800
35,3241,6482,11,11,11,74.59028,2307.52372,0,516824,73765160,306800
36,3437,6874,5,5,5,78.78602,2386.30974,0,234920,78226120,324300
37,3581,7162,14,14,14,82.67424,2468.98398,0,657776,81503560,511000
38,3496,6992,6,6,6,80.13248,2549.11646,0,281904,79568960,280800
39,3434,6868,10,10,10,78.95794,2628.0744,0,469840,78157840,328900
40,3331,6662,6,6,6,76.36598,2704.44038,0,281904,75813560,269700
41,3788,7576,14,14,14,87.51376,2791.95414,0,657776,86214880,639200
42,3805,7610,9,9,9,87.37448,2879.32862,0,422856,86601800,348600
43,3852,7704,12,12,11,88.531624,2967.860244,0,563808,87671520,294800
44,4061,8122,8,8,8,93.15062,3061.010864,0,375872,92428360,345300
45,4226,8452,6,6,6,96.86718,3157.878044,0,281904,96183760,400700
46,4392,8784,8,8,8,100.68638,3258.564424,0,375872,99961920,347500
47,4462,8924,19,19,19,102.9834,3361.547824,0,892696,101555120,533000
48,4511,9022,16,16,16,104.07608,3465.623904,0,751744,102670360,651800
49,4231,8462,14,14,14,97.33644,3562.960344,0,657776,96297560,379200
50,4357,8714,17,17,17,100.50446,3663.464804,0,798728,99165320,538100
51,4481,8962,6,6,6,102.55688,3766.021684,0,281904,101987560,286600
52,4400,8800,8,8,8,100.79346,3866.815144,0,375872,100144000,272500
53,4341,8682,8,8,8,99.44162,3966.256764,0,375872,98801160,263500
54,4185,8370,6,6,6,95.83122,4062.087984,0,281904,95250600,297900
55,4303,8606,5,5,5,98.69668,4160.784664,0,234920,97936280,524800
56,4436,8872,13,13,13,101.90762,4262.692284,0,610792,100963360,331700
57,4746,9492,19,19,19,109.50824,4372.200524,0,892696,108018960,594000
58,5132,10264,19,19,19,118.3471,4490.547624,0,892696,116804320,647500
59,5384,10768,10,10,10,123.52224,4614.069864,0,469840,122539840,511200
60,5477,10954,7,7,7,125.47936,4739.549224,0,328888,124656520,493000
61,5747,11494,6,6,6,131.48524,4871.034464,0,281904,130801720,400800
62,5591,11182,8,8,8,127.87982,4998.914284,0,375872,127251160,251700
63,5443,10886,9,9,9,124.62386,5123.538144,0,422856,123882680,317100
64,5218,10436,10,10,10,119.75288,5243.291024,0,469840,118761680,520000
65,4486,8972,18,18,18,103.38792,5346.678944,0,845712,102101360,438400
66,3998,7996,20,20,20,92.55938,5439.238324,0,939680,90994480,622500
67,3965,7930,16,16,16,91.52402,5530.762344,0,751744,90243400,526700
68,3623,7246,13,13,13,83.48054,5614.242884,0,610792,82459480,408500
69,3533,7066,3,3,3,80.85684,5695.099724,0,140952,80411080,304400
70,3644,7288,8,8,8,83.6009,5778.700624,0,375872,82937440,286500
71,3756,7512,7,7,7,86.0456,5864.746224,0,328888,85486560,229200
72,3767,7534,3,3,3,86.20828,5950.954504,0,140952,85736920,330000
73,3793,7586,5,5,5,86.79068,6037.745184,0,234920,86328680,226400
74,3984,7968,12,12,11,91.545144,6129.290328,0,563808,90675840,304000
75,4216,8432,7,7,7,96.7245,6226.014828,0,328888,95956160,438500
76,4420,8840,11,11,11,101.55422,6327.569048,0,516824,100599200,436700
77,4540,9080,13,13,13,104.45856,6432.027608,0,610792,103330400,515600
78,4516,9032,12,12,12,103.9242,6535.951808,0,563808,102784160,574600
79,4599,9198,16,16,16,106.02576,6641.977568,0,751744,104673240,598600
