step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
228,3090,780,427,35852,172
229,3011,782,412,36024,172
230,3021,784,350,36192,168
231,3042,798,358,36352,160
232,3068,786,319,36512,160
233,3058,804,353,36672,160
234,3107,806,308,36824,152
235,3115,818,353,36988,164
236,3211,812,282,37148,160
237,3330,812,248,37312,164
238,3417,810,275,37488,176
239,3279,822,485,37676,188
240,3340,818,318,37856,180
241,3191,812,518,38044,188
242,3198,788,353,38220,176
243,3277,772,275,38400,180
244,3164,744,450,38580,180
245,3116,744,371,38752,172
246,3080,742,341,38920,168
247,3146,758,262,39092,172
248,2944,754,508,39260,168
249,3032,752,244,39424,164
250,2990,758,387,39592,168
251,3035,770,327,39764,172
252,2917,780,474,39940,176
253,2954,766,310,40100,160
254,2997,756,281,40264,164
255,3014,756,293,40432,168
256,2958,768,382,40600,168
257,3079,770,219,40756,156
258,3125,778,298,40936,180
259,3225,776,245,41112,176
260,3218,794,358,41300,188
261,3048,792,498,41484,184
262,3113,778,292,41668,184
263,3124,818,358,41860,192
264,3180,806,308,42048,188
265,3270,806,294,42236,188
266,3350,806,291,42432,196
267,3309,826,387,42628,196
268,3305,792,379,42820,192
269,3339,776,308,43004,184
270,3158,794,517,43192,188
271,3168,806,360,43376,184
272,3272,812,271,43552,176
273,3176,820,440,43736,184
274,3154,806,369,43912,176
275,3199,810,326,44084,172
276,3108,794,447,44256,172
277,3094,764,340,44420,164
278,3135,774,327,44584,164
279,2993,756,451,44752,168
280,3059,754,278,44920,168
281,2916,746,451,45096,176
282,2945,752,295,45256,160
283,3090,756,234,45416,160
284,3099,740,323,45588,172
285,3069,752,346,45752,164
286,2970,738,428,45928,176
287,3020,724,285,46096,168
288,3064,746,311,46264,168
289,3110,754,306,46444,180
290,3052,766,358,46624,180
291,3033,764,359,46812,188
292,3061,780,320,46996,184
293,2962,750,426,47172,176
294,3014,740,263,47348,176
295,3022,738,304,47528,180
296,3071,756,301,47708,180
297,3040,752,369,47892,184
298,3001,726,347,48072,180
299,2853,734,470,48248,176
300,2945,742,259,48412,164
301,2835,730,419,48580,168
302,2839,736,350,48740,160
303,2726,744,427,48904,164
304,2756,762,291,49060,156
305,2828,774,279,49216,156
306,2892,780,306,49364,148
307,2882,760,358,49516,152
308,2895,752,300,49660,144
309,2898,762,338,49812,152
310,3050,768,225,49956,144
311,3137,766,266,50116,160
312,3227,784,263,50280,164
313,3090,778,464,50460,180
314,3018,772,387,50632,172
315,2846,786,508,50796,164
316,2920,794,274,50948,152
317,2913,796,359,51112,164
318,2930,784,331,51276,164
319,3016,768,245,51444,168
320,3002,758,321,51616,172
321,3020,758,305,51784,168
322,3039,758,320,51948,164
323,3088,750,278,52116,168
324,3030,734,384,52296,180
325,3063,746,287,52484,188
326,3083,760,312,52672,188
327,2921,786,496,52864,192
328,2975,776,308,53040,176
329,2953,752,358,53216,176
330,2957,770,328,53392,176
331,2875,766,411,53560,168
332,2917,764,293,53724,164
333,2940,756,338,53888,164
334,3031,756,251,54052,164
335,3066,768,299,54216,164
336,2989,786,434,54376,160
337,3022,776,305,54540,164
338,2845,778,485,54708,168
339,2908,786,267,54860,152
340,3012,778,257,55016,156
341,2989,820,384,55184,168
342,3104,826,270,55344,160
343,3128,814,334,55512,168
344,3171,812,323,55676,164
345,3179,828,325,55840,164
346,3082,832,462,56012,172
347,3272,830,225,56172,160
348,3268,808,353,56352,180
349,3357,818,257,56524,172
350,3301,808,400,56700,176
351,3332,844,348,56872,172
352,3338,860,334,57044,172
353,3335,884,371,57212,168
354,3475,880,215,57356,144
355,3458,922,380,57516,160
356,3541,948,280,57668,152
357,3600,958,284,57816,148
358,3709,952,226,57944,128
359,3780,972,219,58056,112
360,3868,964,165,58164,108
361,3835,950,263,58276,112
362,3880,952,173,58380,104
363,3971,952,134,58484,104
364,3948,1034,226,58584,100
365,3799,966,326,58692,108
366,3832,966,161,58800,108
367,3896,964,142,58904,104
368,3816,962,257,59016,112
369,3652,952,342,59128,112
370,3577,916,276,59232,104
371,3448,906,331,59328,96
372,3381,894,253,59428,100
373,3398,880,202,59532,104
374,3413,868,190,59640,108
375,3412,826,233,59752,112
376,3310,828,353,59868,116
377,3336,794,231,59972,104
378,3335,788,270,60092,120
379,3368,788,210,60232,140
380,3277,772,365,60388,156
381,3328,762,248,60556,168
382,3335,752,314,60740,184
383,3283,750,358,60924,184
384,3362,760,298,61104,180
385,3363,758,345,61292,188
386,3282,746,405,61488,196
387,3198,754,415,61680,192
388,3141,766,418,61876,196
389,3013,750,453,62064,188
390,3089,754,292,62248,184
391,3163,744,268,62432,184
392,3037,730,452,62620,188
393,2971,740,405,62796,176
394,3054,730,269,62964,168
395,3155,730,245,63136,172
396,3161,752,339,63316,180
397,3155,754,349,63496,180
398,2995,738,466,63676,180
399,3032,740,303,63852,176
400,2994,738,367,64028,176
401,2943,746,369,64196,168
402,2922,738,338,64364,168
403,2949,746,305,64540,176
404,2892,734,373,64712,172
405,2875,738,366,64872,160
406,2926,740,277,65032,160
407,2896,758,349,65196,164
408,2808,738,416,65372,176
409,2848,740,303,65532,160
410,2767,750,410,65696,164
411,2769,736,334,65856,160
412,2853,746,269,66012,156
413,2935,746,247,66156,144
414,2963,752,300,66312,156
415,2975,756,340,66472,160
416,2922,746,345,66628,156
417,3023,740,221,66784,156
418,2925,744,430,66956,172
419,3014,738,244,67116,160
420,2832,736,469,67296,180
421,2866,750,307,67464,168
422,2907,740,262,67636,172
423,2918,730,337,67808,172
424,2963,732,310,67980,172
425,2832,762,474,68152,172
426,2947,752,235,68312,160
427,2938,778,339,68472,160
428,2959,806,371,68636,164
429,3023,786,289,68788,152
430,3176,790,222,68952,164
431,3236,802,300,69124,172
432,3375,796,233,69296,172
433,3288,800,428,69476,180
434,3265,790,396,69648,172
435,3237,788,367,69832,184
436,3215,778,379,70012,180
437,3209,782,359,70196,184
438,3197,786,358,70380,184
439,3195,780,353,70560,180
440,3162,784,393,70740,180
441,3205,778,327,70916,176
442,3190,774,367,71088,172
443,3129,812,438,71268,180
444,3197,812,305,71440,172
445,3245,822,343,71612,172
446,3225,826,382,71784,172
447,3339,846,278,71956,172
448,3406,840,299,72128,172
449,3387,810,366,72308,180
450,3461,824,278,72480,172
451,3554,822,280,72652,172
452,3591,830,339,72828,176
453,3517,820,410,73012,184
454,3522,792,350,73188,176
455,3455,782,408,73368,180
456,3327,780,435,73548,180
457,3234,780,419,73724,176
458,3177,772,390,73900,176
459,3054,772,451,74076,176
460,2915,782,433,74244,168
461,2934,792,306,74400,156
462,2901,796,380,74556,156
463,2831,800,396,74716,160
464,2811,792,345,74868,152
465,2909,788,234,75020,152
466,2892,806,363,75184,164
467,2956,824,287,75344,160
468,2983,840,347,75512,168
469,3029,824,288,75680,168
470,3137,814,233,75860,180
471,3118,790,342,76044,184
472,3131,786,335,76224,180
473,3129,788,317,76412,188
474,3070,794,394,76608,196
475,3063,750,316,76792,184
476,3015,742,362,76988,196
477,3050,730,280,77176,188
478,3044,724,309,77372,196
479,2989,728,371,77568,196
480,2943,754,361,77760,192
481,2968,762,310,77944,184
482,2868,780,442,78132,188
483,2905,808,301,78312,180
484,2931,818,337,78492,180
485,2859,802,409,78668,176
486,2895,800,322,78836,168
487,2892,780,348,78996,160
488,2948,762,285,79144,148
489,3002,754,306,79292,148
490,2980,754,338,79452,160
491,3070,760,250,79600,148
492,3089,748,299,79756,156
493,3008,744,376,79916,160
494,2844,730,470,80076,160
495,2809,732,343,80232,156
496,2822,732,300,80388,156
497,2795,732,348,80552,164
498,2690,744,432,80716,164
499,2747,748,272,80868,152
500,2823,742,255,81024,156
501,2810,742,353,81184,160
502,2912,738,224,81336,152
503,2929,750,285,81500,164
504,3003,754,242,81672,172
505,3032,764,310,81848,176
506,2958,762,395,82024,176
507,3015,774,308,82196,172
508,2986,760,375,82380,184
509,3025,780,326,82556,176
510,2937,760,416,82732,176
511,3014,780,297,82908,176
512,3059,766,326,83076,168
513,3172,790,261,83248,172
514,3318,794,223,83416,168
515,3336,804,353,83592,176
516,3261,798,388,83768,176
517,3347,798,248,83940,172
518,3340,802,345,84124,184
519,3403,792,277,84300,176
520,3395,774,315,84488,188
521,3191,772,525,84672,184
522,3248,786,304,84844,172
523,3270,750,295,85024,180
524,3284,758,326,85200,176
525,3215,756,401,85380,180
526,3089,772,458,85564,184
527,3045,752,369,85736,172
528,3117,752,275,85908,172
529,2950,742,499,86084,176
530,2963,744,299,86248,164
531,2997,728,291,86428,180
532,2874,738,450,86608,180
533,2833,776,393,86776,168
534,2866,768,316,86928,152
535,2900,776,290,87076,148
536,2971,802,284,87232,156
537,3003,814,335,87396,164
538,2951,814,381,87556,160
539,2948,798,352,87720,164
540,3098,812,232,87880,160
541,3234,820,233,88036,156
542,3235,826,341,88204,168
543,3227,826,363,88380,176
544,3279,838,286,88556,176
545,3367,846,300,88736,180
546,3380,870,378,88916,180
547,3409,864,341,89088,172
548,3447,892,361,89272,184
549,3548,870,276,89452,180
550,3488,878,430,89636,184
551,3350,830,496,89820,184
552,3294,792,406,89996,176
553,3228,784,385,90172,176
554,3152,804,392,90344,172
555,2926,768,521,90508,164
556,2925,758,301,90660,152
557,2988,756,291,90812,152
558,2955,758,379,90976,164
559,2820,782,491,91136,160
560,2888,784,284,91280,144
561,2887,772,336,91432,152
562,2824,778,383,91584,152
563,2791,788,366,91732,148
564,2935,814,210,91876,144
565,3020,840,294,92028,152
566,3220,844,201,92184,156
567,3343,834,252,92348,164
568,3389,828,342,92516,168
569,3341,812,428,92700,184
570,3340,792,373,92880,180
571,3259,766,426,93060,180
572,3220,786,390,93236,176
573,3225,794,355,93416,180
574,3180,792,417,93588,172
575,3251,814,283,93756,168
576,3299,796,298,93920,164
577,3216,802,423,94088,168
578,3284,806,301,94248,160
579,3162,784,469,94412,164
580,3206,776,306,94572,160
581,3335,780,238,94736,164
582,3261,782,414,94912,176
583,3369,782,275,95076,164
584,3233,772,498,95260,184
585,3244,770,342,95432,172
586,3278,764,310,95596,164
587,3253,772,385,95776,180
588,3292,772,325,95948,172
589,3352,778,318,96132,184
590,3390,768,303,96320,188
591,3445,758,290,96504,184
592,3381,740,401,96700,196
593,3135,718,545,96888,188
594,3079,720,397,97076,188
595,3002,726,419,97264,188
