step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_merge_metadata_bytes,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_model_bytes,t2_b0_selected_providers
33,-100.0,5.0,788,394,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60421976,1879.824426,nan,60.421976,nan,395,3160,546084,56843660,3029072,395
34,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63695748,1943.520174,nan,63.695748,nan,418,3344,540540,60153544,2998320,418
35,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60376606,2003.89678,nan,60.376606,nan,395,3160,539154,56843660,2990632,395
36,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63885034,2067.781814,nan,63.885034,nan,419,3352,547470,60297452,3036760,419
37,-100.0,5.0,796,398,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58875196,2126.65701,nan,58.875196,nan,384,3072,551628,55260672,3059824,384
38,-100.0,5.0,780,390,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60385680,2187.04269,nan,60.38568,nan,395,3160,540540,56843660,2998320,395
39,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62489976,2249.532666,nan,62.489976,nan,410,3280,532224,59002280,2952192,410
40,-100.0,5.0,774,387,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56472726,2306.005392,nan,56.472726,nan,368,2944,536382,52958144,2975256,368
41,-100.0,5.0,772,386,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61068964,2367.074356,nan,61.068964,nan,400,3200,534996,57563200,2967568,400
42,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59520916,2426.595272,nan,59.520916,nan,390,3120,518364,56124120,2875312,390
43,-100.0,5.0,752,376,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61409972,2488.005244,nan,61.409972,nan,403,3224,521136,57994924,2890688,403
44,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60735762,2548.741006,nan,60.735762,nan,398,3184,528066,57275384,2929128,398
