step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.51023864746094,67.51023864746094,1,2,0,1,2,0,1,-105.0,70.5,-47.5,5.0,289292,0.289292,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,562500.0,34.89976426460422,20.286785965660034,6,12,0,6,12,0,6,-105.0,70.5,-47.5,5.0,1735752,2.025044,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
4,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,3,562500.0,33.47104303302934,25.313061555267417,8,16,3,6,16,0,9,-105.0,70.5,-47.5,5.0,1735752,3.760796,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
5,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,5,562500.0,36.87947052169808,23.643335912280197,10,20,5,5,20,0,10,-105.0,70.5,-47.5,5.0,1446460,5.207256,nan,1.44646,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,0,0,5
6,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,3,562500.0,40.51039822715069,30.968184133207348,11,22,3,4,22,0,7,-105.0,70.5,-47.5,5.0,1157168,6.364424,nan,1.157168,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,0,0,4
7,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,5,562500.0,30.607873284740236,18.640405525989287,12,24,5,7,24,0,12,-105.0,70.5,-47.5,5.0,2025044,8.389468,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
8,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,2,562500.0,39.34825400248069,19.24507117413434,13,26,2,7,26,0,9,-105.0,70.5,-47.5,5.0,2025044,10.414512,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
9,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,4,562500.0,44.04826322145637,23.43798656147722,16,32,4,5,32,0,9,-105.0,70.5,-47.5,5.0,1446460,11.860972,nan,1.44646,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,0,0,5
10,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,2,562500.0,42.10934476048713,27.94872692034598,17,34,2,7,34,0,9,-105.0,70.5,-47.5,5.0,2025044,13.886016,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
11,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,4,562500.0,44.593821292857925,28.396490190193724,20,40,4,5,40,0,9,-105.0,70.5,-47.5,5.0,1446460,15.332476,nan,1.44646,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,0,0,5
12,-47.5,57.5,54,27,0,0.0,0.0,0,0.0,57.5,4,497108.03906838637,30.87605639867611,9.089705440206885,27,54,5,7,54,1,12,-105.0,70.5,-47.5,5.0,2025044,17.35752,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
13,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,4,537936.5248894356,32.30614137583099,11.430698543781723,28,56,5,8,56,1,13,-105.0,70.5,-47.5,5.0,2314336,19.671856,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
14,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,9,562500.0,41.80039309455453,19.01276677356998,28,56,9,7,56,0,16,-105.0,70.5,-47.5,5.0,2025044,21.6969,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
15,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,5,562500.0,32.77402108006598,18.671850848483277,25,50,5,6,50,0,11,-105.0,70.5,-47.5,5.0,1735752,23.432652,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
16,-47.5,57.5,48,24,0,0.0,0.0,0,0.0,57.5,4,488114.2262531585,29.205708420408012,6.666287869564854,24,48,4,7,48,0,11,-105.0,70.5,-47.5,5.0,2025044,25.457696,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
17,-47.5,57.5,42,21,0,0.0,0.0,0,0.0,57.5,2,522843.01416875154,31.09178330214105,9.951339032219398,21,42,2,7,42,0,9,-105.0,70.5,-47.5,5.0,2025044,27.48274,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
18,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,8,548921.549641106,36.718166003478146,12.59477216795674,19,38,8,7,38,0,15,-105.0,70.5,-47.5,5.0,2025044,29.507784,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
19,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,7,562500.0,47.02548892866617,27.35596160704679,19,38,7,6,38,0,13,-105.0,70.5,-47.5,5.0,1735752,31.243536,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
20,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,5,562500.0,36.53624578086602,19.01708564501001,22,44,5,8,44,0,13,-105.0,70.5,-47.5,5.0,2314336,33.557872,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
21,-47.5,57.5,48,24,0,0.0,0.0,0,0.0,57.5,6,562500.0,49.735014468664325,31.659830397617775,24,48,6,6,48,0,12,-105.0,70.5,-47.5,5.0,1735752,35.293624,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
22,-47.5,57.5,48,24,0,0.0,0.0,0,0.0,57.5,8,562500.0,38.965808895370024,28.61397521604711,24,48,8,6,48,0,14,-105.0,70.5,-47.5,5.0,1735752,37.029376,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
23,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,5,562500.0,42.166127328771594,23.78351357526741,22,44,5,7,44,0,12,-105.0,70.5,-47.5,5.0,2025044,39.05442,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
24,-47.5,57.5,42,21,0,0.0,0.0,0,0.0,57.5,4,562500.0,40.240759208406594,18.050513637016586,21,42,4,5,42,0,9,-105.0,70.5,-47.5,5.0,1446460,40.50088,nan,1.44646,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,0,0,5
