step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,19.41601525222425,18.95590985405659,2,4,0,2,4,0,2,-105.0,70.5,-47.5,192878,0,0,32,2,0,0,5.0,578584,0.578584,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,2,562500.0,40.589424094023265,17.996184674756222,7,14,2,5,14,0,7,-105.0,70.5,-47.5,192878,1,0,32,7,1,1,5.0,1446628,2.025212,nan,1.446628,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,168,1,5
4,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,0,562500.0,38.69841419424937,21.98723777488718,20,40,0,6,40,0,6,-105.0,70.5,-47.5,192878,6,0,32,20,6,8,5.0,1736760,3.761972,nan,1.73676,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1008,6,6
5,-47.5,57.5,52,26,0,0.0,0.0,0,0.0,57.5,2,562500.0,35.0550570664169,18.324358298709583,26,52,2,7,52,0,9,-105.0,70.5,-47.5,192878,10,0,32,26,8,16,5.0,2026724,5.788696,nan,2.026724,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,1680,10,7
6,-47.5,57.5,70,35,0,0.0,0.0,0,0.0,57.5,0,562500.0,44.265664896342386,26.322754971868342,35,70,0,5,70,0,5,-105.0,70.5,-47.5,192878,18,0,32,35,13,28,5.0,1449484,7.23818,nan,1.449484,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,3024,18,5
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,0,562500.0,50.018184832077644,28.863374404569168,38,76,0,3,76,0,3,-105.0,70.5,-47.5,192878,25,0,32,38,13,27,5.0,872076,8.110256,nan,0.872076,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,4200,25,3
8,-47.5,57.5,86,43,0,0.0,0.0,0,0.0,57.5,0,562500.0,42.26890214642019,35.601017354279975,43,86,0,2,86,0,2,-105.0,70.5,-47.5,192878,21,0,32,43,11,28,5.0,582112,8.692368,nan,0.582112,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,3528,21,2
9,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,0,562500.0,41.41462905776395,33.729931599798405,49,98,0,5,98,0,5,-105.0,70.5,-47.5,192878,29,0,32,49,12,34,5.0,1451332,10.1437,nan,1.451332,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,4872,29,5
10,-47.5,57.5,100,50,0,0.0,0.0,0,0.0,57.5,0,562500.0,40.04484419015894,20.578912099304205,50,100,0,5,100,0,5,-105.0,70.5,-47.5,192878,35,0,32,50,13,37,5.0,1452340,11.59604,nan,1.45234,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,5880,35,5
