step,selection_mode,window_steps,validation_capacity,regular_vehicle_count,visitor_vehicle_count,regular_validation_retained_mean,visitor_validation_retained_mean,regular_validation_seen_mean,visitor_validation_seen_mean,policy_examples_per_vehicle_mean,policy_examples_per_vehicle_min,policy_examples_per_vehicle_max,latest_fidelity_step,latest_tail_rmse,window_opportunities,window_attempts,window_labeled_pulls,window_attempt_rate,window_mean_realized_gain,window_beneficial_pull_fraction,window_adopted_pull_fraction,window_gain_prediction_pearson,window_selected_predicted_top_fraction,window_mean_candidate_score_std,window_available_regular_provider_fraction,window_selected_regular_provider_fraction,window_regular_provider_selection_enrichment,window_available_more_experienced_provider_fraction,window_selected_more_experienced_provider_fraction,window_more_experienced_selection_enrichment,window_selected_provider_sample_advantage_mean,cumulative_opportunities,cumulative_attempts,cumulative_labeled_pulls,cumulative_attempt_rate,cumulative_mean_realized_gain,cumulative_beneficial_pull_fraction,cumulative_adopted_pull_fraction,cumulative_gain_prediction_pearson,cumulative_selected_predicted_top_fraction,cumulative_mean_candidate_score_std,cumulative_available_regular_provider_fraction,cumulative_selected_regular_provider_fraction,cumulative_regular_provider_selection_enrichment,cumulative_available_more_experienced_provider_fraction,cumulative_selected_more_experienced_provider_fraction,cumulative_more_experienced_selection_enrichment,cumulative_selected_provider_sample_advantage_mean
275,policy,100,400,4,36,400.0,252.11111111111111,1626.25,311.44444444444446,18.275,0,87,200,21.168248446417422,3478,981,981,0.28205865439907996,0.24322168585840054,0.8807339449541285,0.8807339449541285,0.11194077101788091,0.8521916411824668,0.004771583435644971,nan,0.0,nan,0.526323721004572,0.7390417940876657,1.4041582482299821,946.632008154944,9546,2846,2846,0.29813534464697256,0.20696292311996073,0.8306394940267041,0.8306394940267041,0.1451556633089749,0.876669009135629,0.004994132084362429,nan,0.0,nan,0.5286531553973414,0.6921995783555868,1.309364318151704,636.537947997189
300,policy,100,400,4,36,400.0,239.97222222222223,1762.75,305.75,17.275,0,68,300,16.899651332343375,3513,1008,1008,0.28693424423569597,0.24384093898761164,0.8799603174603174,0.8799603174603174,0.12997554623562949,0.8720238095238095,0.004132383615196161,nan,0.0,nan,0.52143589481335,0.6825396825396826,1.308961828920505,797.0605158730159,10437,3125,3125,0.299415540864233,0.2109942551446345,0.8352,0.8352,0.15616853873506184,0.88,0.004889822264067166,nan,0.0,nan,0.5272375376212685,0.68672,1.3024869266673742,624.54016
325,policy,100,400,4,36,400.0,277.52777777777777,1919.25,386.77777777777777,20.675,0,81,300,16.899651332343375,3555,1057,1057,0.2973277074542897,0.2390029409493193,0.8845789971617786,0.8845789971617786,0.11400219813213647,0.8864711447492905,0.0037542777644498167,nan,0.0,nan,0.5248731694934227,0.6546830652790918,1.2473166915941887,744.6225165562914,11369,3395,3395,0.29861905180754683,0.21229670420353494,0.8397643593519882,0.8397643593519882,0.1493635363684769,0.882179675994109,0.004774422282718552,nan,0.0,nan,0.5274656652658235,0.6824742268041237,1.2938742211024894,629.3243004418263
350,policy,100,400,4,36,400.0,286.05555555555554,2099.25,422.55555555555554,23.05,0,90,300,16.899651332343375,3620,1089,1089,0.30082872928176796,0.2263283183200276,0.8797061524334252,0.8797061524334252,0.10356128698068261,0.9035812672176309,0.0039037214297360833,nan,0.0,nan,0.5261999134996372,0.667584940312213,1.26869070705895,831.9586776859504,12303,3677,3677,0.2988701942615622,0.21060049632000877,0.8417187924938809,0.8417187924938809,0.13959791732801888,0.8849605656785423,0.004700186260737788,nan,0.0,nan,0.5280489113151878,0.686429154201795,1.2999347967447494,676.0943704106609
375,policy,100,400,4,36,400.0,306.19444444444446,2255.25,525.6666666666666,27.875,0,98,300,16.899651332343375,3651,1095,1095,0.2999178307313065,0.22029500330604995,0.8812785388127854,0.8812785388127854,0.08583813422934053,0.9004566210045662,0.0041589096117295955,nan,0.0,nan,0.5254850615162858,0.6639269406392694,1.2634554038958021,942.9835616438356,13197,3941,3941,0.29862847616882626,0.21066721842667668,0.8447094646028926,0.8447094646028926,0.13385706768488634,0.8832783557472723,0.004763064626032319,nan,0.0,nan,0.5277766902340668,0.6843440751078407,1.2966546036816005,721.6833291042883
400,policy,100,400,4,36,400.0,222.94444444444446,2361.75,383.4166666666667,24.35,0,104,400,24.98910547447198,3552,1053,1053,0.2964527027027027,0.21624222259859818,0.8727445394112061,0.8727445394112061,0.06806463418122982,0.8907882241215574,0.005079470455652111,nan,0.0,nan,0.5318047552422552,0.6647673314339981,1.2500214127103355,1146.8005698005697,13989,4178,4178,0.2986632353992423,0.212316923820801,0.8446625179511729,0.8446625179511729,0.13687824024712733,0.8827190043082814,0.004937976555046486,nan,0.0,nan,0.5283972171544549,0.6811871708951651,1.2891573777839342,756.1677836285304
425,policy,100,400,4,36,400.0,237.0,2499.75,371.94444444444446,23.45,0,115,400,24.98910547447198,3502,1040,1040,0.29697315819531694,0.2203409841492688,0.8673076923076923,0.8673076923076923,0.10186304760560629,0.8865384615384615,0.006259305804235061,nan,0.0,nan,0.5337299114997573,0.675,1.264684600687415,1336.8778846153846,14871,4435,4435,0.2982314571985744,0.21418307424717942,0.8462232243517475,0.8462232243517475,0.13842266033936923,0.8832018038331454,0.005124100319995857,nan,0.0,nan,0.5289408444946068,0.6807215332581736,1.2869521050290427,795.2444193912063
450,policy,100,400,4,36,400.0,287.27777777777777,2683.5,428.97222222222223,24.875,0,120,400,24.98910547447198,3532,1042,1042,0.29501698754246886,0.23030210410842886,0.8790786948176583,0.8790786948176583,0.09164041652342826,0.8733205374280231,0.007150948127951239,nan,0.0,nan,0.5346595505287465,0.6669865642994242,1.2474977088500787,1479.320537428023,15835,4719,4719,0.2980107357120303,0.2149507983576298,0.8499682136045772,0.8499682136045772,0.13393883594487116,0.8823903369357915,0.005246829198217922,nan,0.0,nan,0.5295234157485499,0.6821360457724094,1.2882075192239077,853.4543335452427
475,policy,100,400,4,36,400.0,297.4166666666667,2826.5,403.47222222222223,24.25,0,121,400,24.98910547447198,3569,1050,1050,0.2942000560381059,0.23932849132327258,0.8790476190476191,0.8790476190476191,0.07217522246816824,0.8819047619047619,0.007253264088984805,nan,0.0,nan,0.5286207853663724,0.6923809523809524,1.3097876049294628,1463.6066666666666,16766,4991,4991,0.2976857926756531,0.21669693923241212,0.851933480264476,0.851933480264476,0.12907618612381674,0.8829893808855941,0.005293156590918243,nan,0.0,nan,0.5279563738513398,0.6860348627529553,1.299415816781344,877.768182728912
500,policy,100,400,4,36,400.0,334.94444444444446,2996.5,533.0833333333334,28.925,0,137,500,14.226976968896187,3744,1085,1085,0.28979700854700857,0.2325248503617688,0.8857142857142857,0.8857142857142857,0.06630732421726905,0.8857142857142857,0.006741264507275422,nan,0.0,nan,0.5222107367940702,0.7142857142857143,1.3678112377980223,1474.3990783410138,17733,5263,5263,0.2967912930694186,0.21648291285689258,0.853125593767813,0.853125593767813,0.1283665693074561,0.8833365000950029,0.005318707965024784,nan,0.0,nan,0.5270910544933552,0.6880106403192096,1.3052975087587697,904.2356070682121
525,policy,100,400,4,36,400.0,284.3888888888889,3178.5,473.8333333333333,28.8,0,150,500,14.226976968896187,3771,1083,1083,0.2871917263325378,0.23314984526608246,0.8919667590027701,0.8919667590027701,0.03977408692979587,0.8873499538319483,0.0059515256162396965,nan,0.0,nan,0.5219092179513818,0.752539242843952,1.4418968222056856,1693.0064635272392,18642,5518,5518,0.29599828344598217,0.21790562100569189,0.8552011598405219,0.8552011598405219,0.12554639489378444,0.8840159478071765,0.005291476180533113,nan,0.0,nan,0.5275184507764166,0.6948169626676332,1.3171424841064459,971.4452700253715
550,policy,100,400,4,36,400.0,320.47222222222223,3357.0,615.9444444444445,34.35,0,170,500,14.226976968896187,3717,1039,1039,0.2795264998654829,0.23398095585675846,0.9008662175168431,0.9008662175168431,0.03226528906159716,0.8787295476419634,0.005000338529274163,nan,0.0,nan,0.5220600738155218,0.7911453320500481,1.5154296827717415,1820.3147256977863,19552,5758,5758,0.29449672667757776,0.2183846874930231,0.8591524835012156,0.8591524835012156,0.1228099871688355,0.8817297672803056,0.005199969244429872,nan,0.0,nan,0.5281045715400257,0.7018061827023272,1.3289151818090945,1027.9190691212227
