step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,1,562500.0,56.4253761839158,45.681154542495044,3,6,1,2,6,0,3,-105.0,70.5,-47.5,5.0,1198960,1.19896,nan,1.19896,nan,2,432,578320,4,619944,6,2,264,128,32,136,34,66,2,0,0,2
3,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,62.15031551093827,59.87401853160516,5,10,1,3,10,0,4,-105.0,70.5,-47.5,5.0,1901692,3.100652,nan,1.901692,nan,3,576,867480,6,1033240,10,3,396,192,48,204,51,99,3,0,0,3
4,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,3,562500.0,43.90055563357048,22.324633834674653,18,36,3,8,36,0,11,-105.0,70.5,-47.5,5.0,6036520,9.137172,nan,6.03652,nan,8,2520,2313280,16,3719664,36,8,1056,512,128,544,136,264,8,0,0,8
5,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,6,562500.0,38.30077461085041,18.347806690419816,20,40,6,8,40,0,14,-105.0,70.5,-47.5,5.0,6449960,15.587132,nan,6.44996,nan,8,2664,2313280,16,4132960,40,8,1056,512,128,544,136,264,8,0,0,8
6,-47.5,57.5,60,30,0,0.0,0.0,0,0.0,57.5,13,562500.0,31.124289252309726,20.223864895657364,30,60,13,11,60,0,24,-105.0,70.5,-47.5,5.0,9385684,24.972816,nan,9.385684,nan,11,4032,3180760,22,6199440,60,11,1452,704,176,748,187,363,11,0,0,11
7,-47.5,57.5,66,33,0,0.0,0.0,0,0.0,57.5,14,562500.0,34.89766360904877,19.26881032223636,33,66,14,10,66,0,24,-105.0,70.5,-47.5,5.0,9716480,34.689296,nan,9.71648,nan,10,4176,2891600,20,6819384,66,10,1320,640,160,680,170,330,10,0,0,10
8,-47.5,57.5,72,36,0,0.0,0.0,0,0.0,57.5,14,562500.0,31.742320484616798,20.276911498396668,36,72,14,11,72,0,25,-105.0,70.5,-47.5,5.0,10625644,45.31494,nan,10.625644,nan,11,4104,3180760,22,7439328,72,11,1452,704,176,748,187,363,11,0,0,11
9,-47.5,57.5,82,41,0,0.0,0.0,0,0.0,57.5,19,548623.7103344823,26.58877480493592,13.124304479374619,41,82,19,11,82,0,30,-105.0,70.5,-47.5,5.0,11659676,56.974616,nan,11.659676,nan,11,4896,3180760,22,8472568,82,11,1452,704,176,748,187,363,11,0,0,11
10,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,13,493034.73738786124,21.786033198604564,8.16378471615401,49,98,14,14,98,1,28,-105.0,70.5,-47.5,5.0,14181240,71.155856,nan,14.18124,nan,14,5400,4048240,28,10125752,98,14,1848,896,224,952,238,462,14,0,0,14
