step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.1_comm_bytes,t2_b0.1_comm_cumulative_mb,t2_b0.1_comm_cumulative_vs_greedy_ratio,t2_b0.1_comm_mb,t2_b0.1_comm_vs_greedy_ratio,t2_b0.1_events,t2_b0.1_merge_metadata_bytes,t2_b0.1_metadata_bytes,t2_b0.1_model_bytes,t2_b0.1_policy_model_bytes,t2_b0.1_selected_providers
1,-100.0,5.0,686,343,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50028998,50.028998,nan,50.028998,nan,326,2608,475398,46914008,2636984,326
2,-100.0,5.0,690,345,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51054558,101.083556,nan,51.054558,nan,333,2664,478170,47921364,2652360,333
3,-100.0,5.0,690,345,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54076794,155.16035,nan,54.076794,nan,354,2832,478170,50943432,2652360,354
4,-100.0,5.0,698,349,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53105678,208.266028,nan,53.105678,nan,347,2776,483714,49936076,2683112,347
5,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51019530,259.285558,nan,51.01953,nan,332,2656,494802,47777456,2744616,332
6,-100.0,5.0,716,358,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56353496,315.639054,nan,56.353496,nan,369,2952,496188,53102052,2752304,369
7,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57397204,373.036258,nan,57.397204,nan,376,3008,501732,54109408,2783056,376
8,-100.0,5.0,718,359,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50749846,423.786104,nan,50.749846,nan,330,2640,497574,47489640,2759992,330
9,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54734124,478.520228,nan,54.734124,nan,358,2864,490644,51519064,2721552,358
10,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54356820,532.877048,nan,54.35682,nan,355,2840,498960,51087340,2767680,355
11,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55517222,588.39427,nan,55.517222,nan,363,2904,500346,52238604,2775368,363
12,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50928790,639.32306,nan,50.92879,nan,332,2656,480942,47777456,2667736,332
13,-100.0,5.0,700,350,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52395172,691.718232,nan,52.395172,nan,342,2736,485100,49216536,2690800,342
14,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57064002,748.782234,nan,57.064002,nan,374,2992,494802,53821592,2744616,374
15,-100.0,5.0,722,361,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56956382,805.738616,nan,56.956382,nan,373,2984,500346,53677684,2775368,373
16,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57362176,863.100792,nan,57.362176,nan,375,3000,518364,53965500,2875312,375
17,-100.0,5.0,782,391,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56796854,919.897646,nan,56.796854,nan,370,2960,541926,53245960,3006008,370
18,-100.0,5.0,798,399,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58740354,978.638,nan,58.740354,nan,383,3064,553014,55116764,3067512,383
19,-100.0,5.0,848,424,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62565104,1041.203104,nan,62.565104,nan,408,3264,587664,58714464,3259712,408
20,-100.0,5.0,842,421,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61386554,1102.589658,nan,61.386554,nan,400,3200,583506,57563200,3236648,400
21,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62771270,1165.360928,nan,62.77127,nan,410,3280,575190,59002280,3190520,410
22,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56490874,1221.851802,nan,56.490874,nan,368,2944,539154,52958144,2990632,368
23,-100.0,5.0,776,388,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57345296,1279.197098,nan,57.345296,nan,374,2992,537768,53821592,2982944,374
24,-100.0,5.0,778,389,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57786118,1336.983216,nan,57.786118,nan,377,3016,539154,54253316,2990632,377
25,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65208768,1402.191984,nan,65.208768,nan,427,3416,573804,61448716,3182832,427
26,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,69032250,1471.224234,nan,69.03225,nan,453,3624,586278,65190324,3252024,453
27,-100.0,5.0,856,428,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63896644,1535.120878,nan,63.896644,nan,417,3336,593208,60009636,3290464,417
28,-100.0,5.0,850,425,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61566766,1596.687644,nan,61.566766,nan,401,3208,589050,57707108,3267400,401
29,-100.0,5.0,854,427,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60577502,1657.265146,nan,60.577502,nan,394,3152,591822,56699752,3282776,394
30,-100.0,5.0,874,437,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63978310,1721.243456,nan,63.97831,nan,417,3336,605682,60009636,3359656,417
31,-100.0,5.0,872,436,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,67854968,1789.098424,nan,67.854968,nan,444,3552,604296,63895152,3351968,444
32,-100.0,5.0,880,440,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66739936,1855.83836,nan,66.739936,nan,436,3488,609840,62743888,3382720,436
33,-100.0,5.0,938,469,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,71032730,1926.87109,nan,71.03273,nan,464,3712,650034,66773312,3605672,464
34,-100.0,5.0,896,448,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62207216,1989.078306,nan,62.207216,nan,404,3232,620928,58138832,3444224,404
35,-100.0,5.0,884,442,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61001444,2050.07975,nan,61.001444,nan,396,3168,612612,56987568,3398096,396
36,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58203522,2108.283272,nan,58.203522,nan,377,3016,602910,54253316,3344280,377
37,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63995190,2172.278462,nan,63.99519,nan,418,3344,586278,60153544,3252024,418
38,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64391910,2236.670372,nan,64.39191,nan,420,3360,602910,60441360,3344280,420
39,-100.0,5.0,870,435,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66118902,2302.789274,nan,66.118902,nan,432,3456,602910,62168256,3344280,432
40,-100.0,5.0,872,436,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64113152,2366.902426,nan,64.113152,nan,418,3344,604296,60153544,3351968,418
41,-100.0,5.0,860,430,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58733816,2425.636242,nan,58.733816,nan,381,3048,595980,54828948,3305840,381
42,-100.0,5.0,880,440,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64005532,2489.641774,nan,64.005532,nan,417,3336,609840,60009636,3382720,417
43,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62449678,2552.091452,nan,62.449678,nan,406,3248,613998,58426648,3405784,406
44,-100.0,5.0,906,453,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,67577478,2619.66893,nan,67.577478,nan,441,3528,627858,63463428,3482664,441
45,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,68719732,2688.388662,nan,68.719732,nan,449,3592,626472,64614692,3474976,449
46,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65409664,2753.798326,nan,65.409664,nan,426,3408,626472,61304808,3474976,426
47,-100.0,5.0,886,443,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62449678,2816.248004,nan,62.449678,nan,406,3248,613998,58426648,3405784,406
48,-100.0,5.0,924,462,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,68954388,2885.202392,nan,68.954388,nan,450,3600,640332,64758600,3551856,450
49,-100.0,5.0,904,452,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66992740,2952.195132,nan,66.99274,nan,437,3496,626472,62887796,3474976,437
50,-100.0,5.0,954,477,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,69234414,3021.429546,nan,69.234414,nan,451,3608,661122,64902508,3667176,451
51,-100.0,5.0,964,482,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,71294608,3092.724154,nan,71.294608,nan,465,3720,668052,66917220,3705616,465
52,-100.0,5.0,916,458,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,66471520,3159.195674,nan,66.47152,nan,433,3464,634788,62312164,3521104,433
53,-100.0,5.0,976,488,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,71780800,3230.976474,nan,71.7808,nan,468,3744,676368,67348944,3751744,468
54,-100.0,5.0,906,453,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65850486,3296.82696,nan,65.850486,nan,429,3432,627858,61736532,3482664,429
55,-100.0,5.0,894,447,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62342058,3359.169018,nan,62.342058,nan,405,3240,619542,58282740,3436536,405
56,-100.0,5.0,898,449,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65094610,3424.263628,nan,65.09461,nan,424,3392,622314,61016992,3451912,424
57,-100.0,5.0,888,444,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65480988,3489.744616,nan,65.480988,nan,427,3416,615384,61448716,3413472,427
58,-100.0,5.0,836,418,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60208004,3549.95262,nan,60.208004,nan,392,3136,579348,56411936,3213584,392
59,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59469008,3609.421628,nan,59.469008,nan,388,3104,554400,55836304,3075200,388
60,-100.0,5.0,758,379,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55104890,3664.526518,nan,55.10489,nan,359,2872,525294,51662972,2913752,359
61,-100.0,5.0,760,380,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57848368,3722.374886,nan,57.848368,nan,378,3024,526680,54397224,2921440,378
62,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53827794,3776.20268,nan,53.827794,nan,350,2800,528066,50367800,2929128,350
63,-100.0,5.0,768,384,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57309000,3833.51168,nan,57.309,nan,374,2992,532224,53821592,2952192,374
64,-100.0,5.0,786,393,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58398078,3891.909758,nan,58.398078,nan,381,3048,544698,54828948,3021384,381
65,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57849636,3949.759394,nan,57.849636,nan,377,3016,548856,54253316,3044448,377
66,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57193574,4006.952968,nan,57.193574,nan,372,2976,558558,53533776,3098264,372
67,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54162264,4061.115232,nan,54.162264,nan,351,2808,557172,50511708,3090576,351
68,-100.0,5.0,770,385,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56022830,4117.138062,nan,56.02283,nan,365,2920,533610,52526420,2959880,365
69,-100.0,5.0,754,377,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57101566,4174.239628,nan,57.101566,nan,373,2984,522522,53677684,2898376,373
70,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54186950,4228.426578,nan,54.18695,nan,353,2824,516978,50799524,2867624,353
71,-100.0,5.0,748,374,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59664832,4288.09141,nan,59.664832,nan,391,3128,518364,56268028,2875312,391
72,-100.0,5.0,740,370,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54159728,4342.251138,nan,54.159728,nan,353,2824,512820,50799524,2844560,353
73,-100.0,5.0,746,373,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,55626110,4397.877248,nan,55.62611,nan,363,2904,516978,52238604,2867624,363
74,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56426088,4454.303336,nan,56.426088,nan,369,2952,507276,53102052,2813808,369
75,-100.0,5.0,726,363,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53664462,4507.967798,nan,53.664462,nan,350,2800,503118,50367800,2790744,350
76,-100.0,5.0,720,360,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51478500,4559.446298,nan,51.4785,nan,335,2680,498960,48209180,2767680,335
77,-100.0,5.0,728,364,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,51370880,4610.817178,nan,51.37088,nan,334,2672,504504,48065272,2798432,334
78,-100.0,5.0,732,366,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53547768,4664.364946,nan,53.547768,nan,349,2792,507276,50223892,2813808,349
79,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53862822,4718.227768,nan,53.862822,nan,351,2808,511434,50511708,2836872,351
80,-100.0,5.0,702,351,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49238094,4767.465862,nan,49.238094,nan,320,2560,486486,46050560,2698488,320
81,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56344422,4823.810284,nan,56.344422,nan,369,2952,494802,53102052,2744616,369
82,-100.0,5.0,708,354,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53151048,4876.961332,nan,53.151048,nan,347,2776,490644,49936076,2721552,347
83,-100.0,5.0,724,362,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52935808,4929.89714,nan,52.935808,nan,345,2760,501732,49648260,2783056,345
