step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.1_train_updates,train_updates_this_step
1,326,686,0,0,0
2,659,690,0,0,0
3,1009,690,4,0,0
4,1356,698,0,0,0
5,1668,714,15,0,0
6,2015,716,17,0,0
7,2301,724,77,0,0
8,2573,718,49,0,0
9,2823,708,95,0,0
10,3098,720,73,0,0
11,3198,722,263,0,0
12,3190,694,335,4,4
13,3193,700,334,4,0
14,3237,714,321,8,4
15,3245,722,353,16,8
16,3274,748,338,20,4
17,3229,782,402,28,8
18,3198,798,402,72,44
19,3225,848,371,136,64
20,3342,842,283,204,68
21,3401,830,329,300,96
22,3218,778,488,428,128
23,3347,776,220,540,112
24,3385,778,302,676,136
25,3514,828,252,824,148
26,3612,846,280,976,152
27,3736,856,230,1124,148
28,3697,850,346,1284,160
29,3729,854,272,1456,172
30,3785,874,268,1628,172
31,3688,872,432,1800,172
32,3753,880,269,1972,172
33,3705,938,372,2136,164
34,3655,896,324,2284,148
35,3501,884,439,2436,152
36,3568,870,229,2588,152
37,3564,846,336,2752,164
38,3622,870,290,2912,160
39,3667,870,298,3072,160
40,3782,872,241,3232,160
41,3743,860,380,3408,176
42,3663,880,446,3576,168
43,3693,886,329,3748,172
44,3742,906,345,3928,180
45,3860,904,284,4104,176
46,3930,904,294,4276,172
47,3859,886,407,4452,176
48,3859,924,358,4612,160
49,3853,904,313,4776,164
50,3765,954,397,4932,156
51,3892,964,177,5060,128
52,3914,916,207,5188,128
53,3940,976,221,5304,116
54,3742,906,407,5432,128
55,3570,894,388,5544,112
56,3604,898,189,5648,104
57,3608,888,213,5756,108
58,3507,836,300,5860,104
59,3467,800,262,5964,104
60,3236,758,444,6084,120
61,3248,760,251,6204,120
62,3352,762,175,6328,124
63,3326,768,319,6468,140
64,3349,786,298,6628,160
65,3389,792,286,6800,172
66,3295,806,430,6976,176
67,3182,804,444,7148,172
68,3156,770,367,7324,176
69,3133,754,378,7488,164
70,3115,746,358,7664,176
71,3181,748,321,7836,172
72,3193,740,331,8004,168
73,3287,746,269,8172,168
74,3222,732,416,8348,176
75,3170,726,382,8520,172
76,3226,720,279,8692,172
77,3011,728,521,8876,184
78,3096,732,264,9052,176
79,2976,738,453,9236,184
80,2834,702,442,9412,176
81,2905,714,294,9576,164
82,2895,708,346,9744,168
83,2983,724,255,9904,160
84,3021,730,301,10068,164
85,3022,738,330,10236,168
86,2980,740,386,10400,164
87,3010,740,335,10568,168
88,3128,750,251,10728,160
89,3023,746,446,10904,176
90,3079,736,283,11076,172
91,3001,742,405,11252,176
92,2970,738,362,11424,172
93,3030,730,280,11584,160
94,2967,716,387,11744,160
95,2962,718,320,11900,156
96,3035,712,255,12064,164
97,2962,732,400,12236,172
98,2948,738,339,12396,160
99,2908,768,383,12564,168
100,3024,760,239,12720,156
101,3083,760,290,12892,172
102,3135,772,295,13072,180
103,3168,784,320,13252,180
104,3025,764,488,13444,192
105,3124,762,237,13620,176
106,3140,768,343,13796,176
107,3019,760,458,13976,180
108,2968,774,381,14148,172
109,2932,764,385,14320,172
110,2825,738,420,14480,160
111,2846,716,280,14628,148
112,2893,718,285,14776,148
113,2944,734,301,14924,148
114,2987,764,308,15084,160
115,3015,776,309,15236,152
116,3141,782,242,15388,152
117,3121,772,359,15552,164
118,3182,782,301,15724,172
119,3014,748,484,15908,184
120,3028,738,324,16092,184
121,3115,730,233,16268,176
122,3153,724,306,16448,180
123,2914,714,526,16632,184
124,2984,702,255,16796,164
125,3082,814,291,16976,180
126,3142,828,314,17144,168
127,3207,832,312,17320,176
128,3227,852,359,17496,176
129,3333,910,325,17680,184
130,3376,902,352,17864,184
131,3365,886,379,18040,176
132,3465,890,288,18212,172
133,3374,892,447,18380,168
134,3348,842,334,18524,144
135,3258,832,374,18664,140
136,3273,806,292,18804,140
137,3382,810,197,18940,136
138,3432,830,261,19092,152
139,3511,826,234,19248,156
140,3544,832,283,19412,164
141,3487,834,366,19592,180
142,3345,806,487,19772,180
143,3327,808,367,19960,188
144,3335,804,372,20148,188
145,3128,768,507,20336,188
146,3186,790,287,20516,180
147,3098,794,410,20692,176
148,3173,798,283,20860,168
149,3095,790,401,21028,168
150,3105,794,346,21192,164
151,3044,788,422,21356,164
152,2983,754,406,21520,164
153,3055,758,257,21680,160
154,2860,746,505,21852,172
155,2821,742,363,22020,168
156,2866,760,299,22180,160
157,2841,742,338,22344,164
158,2894,744,272,22500,156
159,2924,756,314,22660,160
160,2907,748,341,22820,160
161,2898,788,334,22988,168
162,2955,780,300,23148,160
163,2855,766,436,23312,164
164,2720,748,424,23472,160
165,2721,750,310,23628,156
166,2750,748,302,23792,164
167,2840,742,259,23952,160
168,2884,750,284,24112,160
169,2966,768,283,24276,164
170,2986,814,312,24440,164
171,2971,822,360,24608,168
172,3006,828,333,24772,164
173,3038,838,321,24940,168
174,3170,854,246,25108,168
175,3230,804,298,25288,180
176,3261,796,324,25472,184
177,3358,792,268,25648,176
178,3379,798,344,25832,184
179,3330,804,410,26020,188
180,3272,826,388,26208,188
181,3296,864,365,26400,192
182,3185,856,455,26584,184
183,3251,856,294,26756,172
184,3345,856,288,26932,176
185,3332,882,389,27112,180
186,3360,926,355,27288,176
187,3317,892,402,27448,160
188,3434,882,246,27600,152
189,3531,866,288,27764,164
190,3612,854,283,27928,164
191,3475,848,435,28092,164
192,3533,838,253,28256,164
193,3449,842,400,28424,168
194,3406,838,356,28580,156
195,3339,824,373,28736,156
196,3313,820,340,28888,152
197,3361,806,246,29052,164
198,3286,792,373,29204,152
199,3246,774,315,29356,152
200,3251,796,306,29508,152
201,3295,792,245,29676,168
202,3170,778,422,29848,172
203,3120,776,373,30016,168
204,3040,760,389,30192,176
205,3012,738,347,30368,176
206,2977,736,338,30552,184
207,2981,702,300,30732,180
208,2910,700,366,30916,184
209,2875,690,325,31096,180
210,2803,702,364,31276,180
211,2668,718,422,31448,172
212,2616,704,345,31612,164
213,2606,712,310,31772,160
214,2637,734,278,31936,164
215,2694,750,289,32088,152
216,2729,774,302,32240,152
217,2805,790,253,32388,148
218,2900,812,244,32532,144
219,2977,822,283,32684,152
220,3060,830,297,32836,152
221,3128,826,290,32996,160
222,3151,838,314,33156,160
223,3239,824,289,33316,160
224,3268,850,343,33484,168
225,3384,888,272,33648,164
226,3322,880,432,33816,168
227,3388,874,340,33992,176
228,3333,886,408,34168,176
229,3408,892,315,34344,176
230,3343,874,427,34532,188
231,3403,888,332,34712,180
232,3467,902,323,34900,188
233,3386,898,440,35088,188
234,3389,902,327,35264,176
235,3334,906,410,35440,176
236,3239,872,412,35608,168
237,3239,890,338,35764,156
238,3364,900,212,35916,152
239,3458,898,230,36072,156
240,3382,874,369,36240,168
241,3473,886,231,36404,164
242,3310,866,439,36568,164
243,3410,866,219,36732,164
244,3478,860,255,36904,172
245,3310,882,459,37080,176
246,3263,858,366,37260,180
247,3258,832,326,37444,184
248,3218,838,386,37612,168
249,3317,844,247,37780,168
250,3431,836,237,37960,180
251,3273,844,487,38148,188
252,3217,830,389,38332,184
253,3230,826,335,38512,180
254,3165,812,391,38684,172
255,3027,802,448,38864,180
256,3074,806,296,39040,176
257,3189,804,269,39212,172
258,3224,800,292,39392,180
259,3076,782,453,39576,184
260,3031,778,362,39748,172
261,2983,776,386,39928,180
262,3007,774,315,40108,180
263,2996,792,352,40292,184
264,2944,772,357,40480,188
265,3006,776,261,40668,188
266,2922,770,390,40856,188
267,2814,808,448,41032,176
268,2826,790,315,41192,160
269,2905,804,272,41360,168
270,2838,818,377,41532,172
271,2891,808,302,41700,168
272,2935,802,290,41864,164
273,2977,788,289,42028,164
274,3022,792,285,42204,176
275,3091,794,256,42372,168
276,3094,788,306,42544,172
277,2940,760,472,42728,184
278,2908,764,343,42908,180
279,2781,756,455,43084,176
280,2806,774,320,43256,172
281,2714,776,412,43424,168
282,2725,806,344,43580,156
283,2829,806,234,43732,152
284,2962,806,221,43888,156
285,2991,840,313,44052,164
286,3069,844,301,44208,156
287,3090,810,341,44376,168
288,3091,804,336,44540,164
289,3159,800,296,44708,168
290,3092,820,410,44880,172
291,3140,810,327,45056,176
292,3174,768,322,45228,172
293,3227,764,288,45404,176
294,3266,790,317,45576,172
295,3220,808,381,45752,176
296,3147,776,412,45920,168
297,3145,760,345,46088,168
298,3133,738,343,46260,172
299,3045,742,411,46428,168
300,3106,764,280,46600,172
301,3080,762,342,46772,172
302,3076,798,351,46940,168
303,3179,800,245,47104,164
304,3244,814,310,47276,172
305,3254,808,348,47460,184
306,3242,816,354,47644,184
307,3290,840,311,47828,184
308,3333,822,320,48016,188
309,3339,820,329,48212,196
310,3332,792,353,48400,188
311,3383,780,284,48600,200
312,3270,778,456,48804,204
313,3232,750,361,49000,196
314,3156,734,404,49196,196
315,3100,728,367,49388,192
316,2986,740,426,49580,192
317,2937,734,358,49760,180
318,2884,742,375,49940,180
319,2867,754,327,50108,168
320,2863,750,333,50280,172
321,2860,756,320,50448,168
322,2807,762,352,50620,172
323,2910,776,262,50788,168
324,2871,786,368,50960,172
325,2946,822,263,51128,168
326,3008,844,267,51304,176
327,3052,846,312,51484,180
328,3121,878,297,51664,180
329,3196,940,327,51848,184
330,3130,918,424,52032,184
331,3215,928,305,52204,172
332,3347,942,270,52376,172
333,3350,916,363,52548,172
334,3399,886,329,52728,180
335,3295,888,473,52908,180
336,3366,868,308,53076,168
337,3409,890,321,53248,172
338,3311,886,453,53424,176
339,3164,870,485,53584,160
340,3288,890,267,53748,164
341,3306,868,337,53920,172
342,3230,834,417,54092,172
343,3144,836,406,54256,164
344,3194,856,281,54408,152
345,3209,838,321,54576,168
346,3264,848,288,54748,172
347,3130,804,456,54920,172
348,3132,786,309,55084,164
349,3062,794,397,55260,176
350,3032,796,356,55428,168
351,2991,786,363,55592,164
352,2863,782,437,55760,168
353,2868,786,332,55924,164
354,2872,776,335,56084,160
355,2897,764,308,56244,160
356,2998,798,246,56400,156
357,2966,782,340,56568,168
358,2921,788,364,56732,164
359,2956,784,309,56896,164
360,2979,780,325,57064,168
361,3015,758,277,57228,164
362,2983,762,343,57408,180
363,3000,764,308,57584,176
364,3036,800,295,57764,180
365,3035,802,356,57948,184
366,3010,780,350,58128,180
367,3070,780,265,58308,180
368,2983,786,400,58496,188
369,2931,792,349,58676,180
370,2950,808,310,58856,180
371,2847,792,410,59036,180
372,2869,790,328,59208,172
373,2897,824,330,59376,168
374,3021,832,228,59536,160
375,3062,788,286,59704,168
376,2980,796,423,59880,176
377,3060,794,270,60048,168
378,3086,800,298,60224,176
379,3078,772,303,60400,176
380,3116,782,268,60580,180
381,3054,758,386,60768,188
382,2990,762,401,60956,188
383,2914,768,390,61144,188
384,2942,768,291,61324,180
385,2846,772,398,61500,176
386,2916,768,271,61672,172
387,2912,766,307,61848,176
388,2853,766,358,62024,176
389,2919,768,266,62196,172
390,2819,774,399,62372,176
391,2825,766,339,62540,168
392,2781,794,367,62712,172
393,2761,782,320,62884,172
394,2824,782,262,63048,164
395,2805,774,333,63220,172
396,2848,778,283,63388,168
397,2789,760,354,63556,168
398,2876,764,252,63720,164
399,2935,758,270,63884,164
400,2968,750,279,64060,176
401,3018,746,267,64236,176
402,3023,740,331,64424,188
403,2917,756,397,64616,192
404,2852,732,355,64804,188
405,2825,750,356,64988,184
406,2829,740,281,65164,176
407,2852,730,274,65348,184
408,2712,750,464,65532,184
409,2686,772,347,65700,168
410,2769,792,267,65860,160
411,2773,816,337,66016,156
412,2928,816,238,66164,148
413,2975,838,311,66328,164
414,3094,842,247,66492,164
415,3183,850,260,66664,172
416,3326,842,224,66840,176
417,3456,838,235,67016,176
418,3535,832,293,67216,200
419,3423,816,455,67428,212
420,3405,860,363,67624,196
421,3376,876,404,67828,204
422,3318,858,403,68024,196
423,3198,868,493,68220,196
424,3176,884,366,68404,184
425,3171,936,388,68580,176
426,3215,914,353,68748,168
427,3273,908,350,68908,160
428,3417,906,250,69056,148
429,3334,854,412,69224,168
430,3435,856,252,69392,168
431,3407,842,374,69568,176
432,3420,836,340,69748,180
433,3472,834,299,69928,180
434,3389,798,396,70116,188
435,3243,794,461,70312,196
436,3049,794,534,70500,188
437,3006,794,392,70680,180
438,2980,776,334,70860,180
439,2900,774,426,71044,184
440,3006,788,249,71216,172
441,2994,782,332,71392,176
442,2964,788,339,71568,176
443,2978,808,324,71732,164
444,3024,796,296,71896,164
445,3034,770,314,72068,172
446,2915,736,380,72252,184
447,2752,754,469,72432,180
448,2825,766,260,72596,164
449,2845,766,320,72772,176
450,2820,822,365,72944,172
451,2964,828,230,73108,164
452,2949,844,365,73284,176
453,3056,866,279,73456,172
454,3079,864,318,73628,172
455,3141,844,296,73796,168
456,3210,856,267,73964,168
457,3168,810,374,74148,184
458,3206,802,277,74324,176
459,3207,794,296,74504,180
460,3055,798,455,74684,180
461,3120,784,261,74856,172
462,3002,812,423,75044,188
463,2960,830,384,75220,176
464,3044,848,252,75384,164
465,3113,876,289,75556,172
466,3144,862,349,75732,176
467,3194,848,313,75912,180
468,3273,896,302,76092,180
469,3317,860,308,76264,172
470,3330,848,337,76452,188
471,3258,848,409,76644,192
472,3195,808,385,76836,192
473,3184,790,340,77020,184
474,3007,766,466,77212,192
475,2885,734,417,77388,176
476,2714,734,464,77556,168
477,2517,744,523,77712,156
478,2549,752,268,77856,144
479,2588,744,260,77996,140
480,2592,720,275,78140,144
481,2607,724,300,78288,148
482,2641,714,278,78440,152
483,2687,706,241,78584,144
484,2592,700,390,78732,148
485,2599,712,278,78884,152
486,2612,700,312,79044,160
487,2485,710,408,79208,164
488,2525,714,270,79368,160
489,2525,728,302,79532,164
490,2666,738,171,79684,152
491,2683,754,300,79844,160
492,2792,748,226,80004,160
493,2825,764,273,80168,164
494,2851,772,313,80340,172
495,2897,784,312,80508,168
496,3000,776,245,80672,164
497,3025,776,316,80852,180
498,3125,776,253,81032,180
499,3153,786,319,81224,192
500,3177,800,296,81412,188
501,3158,808,357,81604,192
