method,method_label,zone,replicate,valid_tail_evaluations,excluded_tail_steps,greedy_total,greedy_feasible_rmse,greedy_infeasible_rmse,communication_mb_per_s,run_directory
iso,ISO,factor_b2_v3,2,10,,28.047121694141264,33.920582342310155,4.12711018131961,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b2_v3,3,10,,27.235542549314978,32.84972902934639,5.351288569871448,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b2_v3,4,10,,26.855728722500828,32.279266626830314,6.566931967413531,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b2_v3,5,10,,29.022691322061057,35.15717664110837,3.1095779427807413,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v3/rep5/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v1,1,10,,26.81095233028097,39.35042447826868,1.6928015506163638,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v1/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b3_v1,2,10,,26.820455895079213,39.32221732676241,1.9720858161654555,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v1,3,10,,25.98308008982134,38.026306132336835,2.9443838541427167,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v1,4,10,,25.574805477600947,37.39339098566198,3.2416454643528296,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v1,5,9,1724,26.154454591092264,38.25669656435812,2.6967964469480816,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v1/rep5/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v2,1,10,,25.82424454750024,38.05950225598133,1.4652572165998783,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b3_v2,2,10,,24.90575392345145,36.719873643094246,1.133868383496423,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v2,3,10,,24.987578854472023,36.835216326655704,1.2286920475980572,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v2,4,10,,24.268376416147923,35.6991433287159,2.4264890975565385,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v2,5,10,,26.608563552524448,39.2057959815718,1.6350059641116714,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v2/rep5/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v3,1,10,,27.026667265941768,36.50271432554802,2.0729126766485826,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_local_only_eval50_tail10x25
iso,ISO,factor_b3_v3,2,10,,26.333916783310013,35.565144767552205,2.060796676603985,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep2/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v3,3,10,,25.501667343826263,34.42710326201746,2.248589780714626,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep3/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v3,4,10,,25.491678773012854,34.40346933684816,2.419967853553415,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep4/iso_paper_final_full1800_eval50_tail10x25
iso,ISO,factor_b3_v3,5,10,,27.080865800719216,36.595099251571604,1.6357681728125821,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b3_v3/rep5/iso_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v1,1,10,,14.723104241035703,7.47961849491612,25.555035403196467,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v1/cell_grid_central_eval50_tail10x25
central,Central,factor_b1_v1,2,10,,15.042482712660558,8.54430894834908,25.340011357500405,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v1,3,10,,14.98036250936984,7.3492423404234986,26.204938568103547,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v1,4,10,,15.13491937702284,7.7638761542137,26.137018296247504,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v1,5,9,1724,16.478693350288875,10.99995936382727,26.075489302295157,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v1/rep5/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v2,1,10,,12.999351350950707,7.687585021995524,20.277226738960113,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_central_eval50_tail10x25
central,Central,factor_b1_v2,2,10,,13.121562638613867,8.835521583285258,19.482810059620153,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep2/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v2,3,10,,14.288937989886264,10.49233552038656,20.28635875934772,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v2,4,10,,14.712292646697293,11.176177975145894,20.44913313602052,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v2,5,10,,12.989897700764686,7.958707758673424,20.025432278972392,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/central_paper_final_full1800_eval50_tail10x25
central,Central,factor_b1_v3,1,10,,7.112972155970125,4.887490787822674,36.95842728736837,0.0,results/paper/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_central_eval50_tail10x25
central,Central,factor_b1_v3,2,10,,7.25505474964784,4.9348363076159165,38.019939787799416,0.0,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep2/central_paper_final_full1800_eval50_tail10x25
