step,mode,receiver_idx,provider_idx,target_gain,online_prediction,base_loss,weighted_loss,propensity,importance_weight,receiver_policy_version,provider_policy_version
3,t2_b0,5,6,0.0,0.0830925852060318,0.003452188801020384,0.003452188801020384,1.0,1.0,0,0
4,t2_b0,6,5,0.2282777071328972,-0.05049850791692734,0.038858093321323395,0.038858093321323395,1.0,1.0,0,0
5,t2_b0,1,8,0.05108094396691236,0.08935477584600449,0.0007324431790038943,0.0007324431790038943,0.5,1.0,0,0
6,t2_b0,0,8,0.15756967859033172,0.048175692558288574,0.005983521696180105,0.005983521696180105,0.5,1.0,0,0
8,t2_b0,5,6,0.0008886135032149539,0.09596378356218338,0.0045196437276899815,0.0045196437276899815,1.0,1.0,0,0
10,t2_b0,8,0,0.20231497370606058,0.13361461460590363,0.002359869657084346,0.002359869657084346,1.0,1.0,0,0
10,t2_b0,3,4,0.0,0.09133239090442657,0.004170802887529135,0.004170802887529135,1.0,1.0,0,0
11,t2_b0,4,1,0.2872369937895634,-0.05695054680109024,0.059232525527477264,0.059232525527477264,0.3333333333333333,1.0,0,0
11,t2_b0,2,8,-0.07320001435781291,0.09266264736652374,0.013755211606621742,0.013755211606621742,0.5,1.0,0,0
11,t2_b0,7,6,0.0,0.2932129502296448,0.0429869182407856,0.0429869182407856,1.0,1.0,0,0
14,t2_b0,9,0,0.08527828387752412,0.07352276891469955,6.909610965522006e-05,6.909610965522006e-05,0.5,1.0,0,0
15,t2_b0,6,4,0.14305115649583097,0.15110939741134644,3.2467574783368036e-05,3.2467574783368036e-05,0.5,1.0,0,0
16,t2_b0,2,3,0.0,0.05960492044687271,0.0017763732466846704,0.0017763732466846704,1.0,1.0,0,0
16,t2_b0,0,8,0.022891669167867685,0.11140072345733643,0.0039169262163341045,0.0039169262163341045,1.0,1.0,0,0
18,t2_b0,3,0,0.0076796701191503775,0.07577022165060043,0.00231816153973341,0.00231816153973341,0.5,1.0,0,0
20,t2_b0,7,5,-0.03901561160079164,0.0692761242389679,0.005863549653440714,0.005863549653440714,1.0,1.0,0,0
22,t2_b0,1,2,0.09361017042029655,0.103059321641922,4.4643256842391565e-05,4.4643256842391565e-05,0.5,1.0,0,0
23,t2_b0,1,4,-0.10419316846076754,0.09549544751644135,0.019937770441174507,0.019937770441174507,0.5,1.0,0,0
24,t2_b0,4,1,0.0,0.12114271521568298,0.007337778806686401,0.007337778806686401,1.0,1.0,0,0
26,t2_b0,5,6,-0.762478950940127,-0.029741033911705017,0.26845240592956543,0.26845240592956543,1.0,1.0,0,0
27,t2_b0,8,0,-0.06530043918464082,0.03770408779382706,0.00530496658757329,0.00530496658757329,1.0,1.0,0,0
27,t2_b0,6,5,0.9043704076018907,-0.07944010198116302,0.48394158482551575,0.48394158482551575,1.0,1.0,0,0
28,t2_b0,2,1,-0.0171290815199607,0.04747903347015381,0.002087104134261608,0.002087104134261608,1.0,1.0,0,0
29,t2_b0,5,6,-0.01645730989887008,-0.05088334530591965,0.0005925758741796017,0.0005925758741796017,1.0,1.0,0,0
29,t2_b0,9,7,0.3219285805060646,0.09517408162355423,0.02570880576968193,0.02570880576968193,1.0,1.0,0,0
31,t2_b0,0,8,-0.07544312226371107,0.026518769562244415,0.005198113154619932,0.005198113154619932,0.5,1.0,0,0
31,t2_b0,7,9,0.0,0.41647839546203613,0.08672712743282318,0.08672712743282318,1.0,1.0,0,0
33,t2_b0,8,0,0.0013109423185379604,-0.022405631840229034,0.0002812379680108279,0.0002812379680108279,1.0,1.0,0,0
34,t2_b0,4,1,-0.02599678563361968,0.03751498460769653,0.0020168726332485676,0.0020168726332485676,1.0,1.0,0,0
34,t2_b0,3,0,-0.255167837675528,0.004012949764728546,0.033587340265512466,0.033587340265512466,1.0,1.0,0,0
35,t2_b0,6,7,-0.02907110963837397,0.06179993227124214,0.004128773231059313,0.004128773231059313,1.0,1.0,0,0
35,t2_b0,2,1,0.18979724545441037,0.010349206626415253,0.016100799664855003,0.016100799664855003,1.0,1.0,0,0
37,t2_b0,3,0,-0.0030352605972877957,-0.05613747984170914,0.0014099227264523506,0.0014099227264523506,1.0,1.0,0,0
38,t2_b0,6,7,-0.007940488207303158,0.07381763309240341,0.0033421949483454227,0.0033421949483454227,1.0,1.0,0,0
39,t2_b0,1,4,0.05860313984590707,0.028274312615394592,0.00045991892693564296,0.00045991892693564296,0.5,1.0,0,0
40,t2_b0,7,6,0.04666688061536072,0.037265390157699585,4.4193999201525e-05,4.4193999201525e-05,1.0,1.0,0,0
41,t2_b0,4,1,0.05444452946652829,0.03219366818666458,0.00024755040067248046,0.00024755040067248046,1.0,1.0,0,0
41,t2_b0,0,8,-0.3557541526584723,-0.06453489512205124,0.042404331266880035,0.042404331266880035,0.5,1.0,0,0
42,t2_b0,9,0,0.9520374585247672,0.051014211028814316,0.40592145919799805,0.40592145919799805,0.5,1.0,0,0
45,t2_b0,0,8,-0.3840725378105239,-0.036594241857528687,0.06037058308720589,0.06037058308720589,0.3333333333333333,1.0,0,0
46,t2_b0,8,0,-0.013643840641065644,-0.11339084059000015,0.0049747321754693985,0.0049747321754693985,0.3333333333333333,1.0,0,0
48,t2_b0,3,8,-0.7076616606318169,-0.10596327483654022,0.18102048337459564,0.18102048337459564,0.5,1.0,0,0
48,t2_b0,1,4,0.03672133670072284,0.027833670377731323,3.9495313103543594e-05,3.9495313103543594e-05,0.5,1.0,0,0
49,t2_b0,4,2,0.14393771468812858,0.03334472328424454,0.006115405820310116,0.006115405820310116,0.5,1.0,0,0
50,t2_b0,6,7,-0.08088895638074704,0.07607850432395935,0.012319391593337059,0.012319391593337059,1.0,1.0,0,0
51,t2_b0,8,3,0.033985713997790684,-0.2190365344285965,0.03201013058423996,0.03201013058423996,0.3333333333333333,1.0,0,0
52,t2_b0,2,4,-0.08694238031378544,0.03424709290266037,0.007343444507569075,0.007343444507569075,1.0,1.0,0,0
