step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
14,t2_b0,14,5,20,0,
14,t2_b0,15,5,20,0,
14,t2_b0,16,5,20,0,
14,t2_b0,18,5,20,0,
14,t2_b0,19,5,20,0,
14,t2_b0,20,5,20,0,
14,t2_b0,21,5,20,0,
14,t2_b0,23,5,20,0,
14,t2_b0,24,5,20,0,
14,t2_b0,25,5,20,0,
14,t2_b0,27,5,20,0,
14,t2_b0,28,5,20,0,
14,t2_b0,30,5,20,0,
14,t2_b0,31,5,20,0,
14,t2_b0,32,5,20,0,
14,t2_b0,33,5,20,0,
14,t2_b0,35,5,20,0,
14,t2_b0,36,5,20,0,
14,t2_b0,37,5,20,0,
14,t2_b0,38,5,20,0,
14,t2_b0,39,5,20,0,
14,t2_b0,40,5,20,0,
14,t2_b0,41,5,20,0,
14,t2_b0,42,5,20,0,
14,t2_b0,43,5,20,0,
14,t2_b0,45,5,20,0,
14,t2_b0,46,5,20,0,
14,t2_b0,47,5,20,0,
14,t2_b0,48,5,20,0,
14,t2_b0,50,5,20,0,
14,t2_b0,51,5,20,0,
14,t2_b0,53,5,20,0,
14,t2_b0,55,5,20,0,
14,t2_b0,57,5,15,0,
15,t2_b0,0,5,25,0,
15,t2_b0,1,5,20,0,
15,t2_b0,2,5,25,0,
15,t2_b0,3,5,25,0,
15,t2_b0,4,5,25,0,
15,t2_b0,6,5,25,0,
15,t2_b0,7,5,23,0,
15,t2_b0,8,5,24,0,
15,t2_b0,10,5,25,0,
15,t2_b0,11,5,25,0,
15,t2_b0,12,5,25,0,
15,t2_b0,14,5,25,0,
15,t2_b0,15,5,25,0,
15,t2_b0,16,45,65,4,1.2397863864898682
15,t2_b0,18,5,25,0,
15,t2_b0,19,5,25,0,
15,t2_b0,20,45,65,4,1.1677374839782715
15,t2_b0,21,5,25,0,
15,t2_b0,23,5,25,0,
15,t2_b0,24,5,25,0,
15,t2_b0,25,5,25,0,
15,t2_b0,26,5,20,0,
15,t2_b0,27,5,25,0,
15,t2_b0,28,5,25,0,
15,t2_b0,30,5,25,0,
15,t2_b0,31,5,25,0,
15,t2_b0,32,5,25,0,
15,t2_b0,33,5,25,0,
15,t2_b0,35,5,25,0,
15,t2_b0,36,5,25,0,
15,t2_b0,37,5,25,0,
15,t2_b0,38,5,25,0,
15,t2_b0,39,5,25,0,
15,t2_b0,40,5,25,0,
15,t2_b0,41,5,25,0,
15,t2_b0,42,5,25,0,
15,t2_b0,43,5,25,0,
15,t2_b0,45,5,25,0,
15,t2_b0,46,5,25,0,
15,t2_b0,47,5,25,0,
15,t2_b0,48,5,25,0,
15,t2_b0,50,5,25,0,
15,t2_b0,51,5,25,0,
15,t2_b0,53,5,25,0,
15,t2_b0,55,5,25,0,
15,t2_b0,57,5,20,0,
15,t2_b0,58,5,20,0,
16,t2_b0,0,5,30,0,
16,t2_b0,1,5,25,0,
16,t2_b0,2,5,30,0,
16,t2_b0,3,5,30,0,
16,t2_b0,4,5,30,0,
16,t2_b0,6,5,30,0,
16,t2_b0,7,5,28,0,
16,t2_b0,8,5,29,0,
16,t2_b0,10,5,30,0,
16,t2_b0,11,5,30,0,
16,t2_b0,12,5,30,0,
16,t2_b0,14,5,30,0,
16,t2_b0,15,5,30,0,
16,t2_b0,18,5,30,0,
16,t2_b0,19,5,30,0,
16,t2_b0,21,5,30,0,
16,t2_b0,23,5,30,0,
16,t2_b0,24,5,30,0,
16,t2_b0,25,5,30,0,
16,t2_b0,26,45,65,4,20.645618438720703
16,t2_b0,27,5,30,0,
16,t2_b0,28,5,30,0,
16,t2_b0,29,5,25,0,
16,t2_b0,30,5,30,0,
16,t2_b0,31,5,30,0,
16,t2_b0,32,5,30,0,
16,t2_b0,33,5,30,0,
16,t2_b0,35,5,30,0,
16,t2_b0,36,5,30,0,
16,t2_b0,37,5,30,0,
16,t2_b0,38,5,30,0,
16,t2_b0,39,5,30,0,
16,t2_b0,40,5,30,0,
16,t2_b0,41,5,30,0,
16,t2_b0,42,5,30,0,
16,t2_b0,43,5,30,0,
16,t2_b0,45,5,30,0,
16,t2_b0,46,5,30,0,
16,t2_b0,47,5,30,0,
16,t2_b0,48,5,30,0,
16,t2_b0,50,5,30,0,
16,t2_b0,51,5,30,0,
16,t2_b0,53,5,30,0,
16,t2_b0,55,5,30,0,
16,t2_b0,57,5,25,0,
16,t2_b0,58,5,25,0,
17,t2_b0,0,5,35,0,
