step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
735,-47.5,57.5,132,66,0,0.0,0.0,0,0.0,57.5,19,515284.98909170955,23.359483027432027,6.461829331594824,66,132,21,13,132,2,34,-105.0,70.5,-47.5,192878,598,0,32,66,13,66,5.0,3870692,2499.088912,nan,3.870692,nan,13,9432,3759080,26,0,0,13,1716,832,208,884,221,429,13,100464,598,13
736,-47.5,57.5,112,56,0,0.0,0.0,0,0.0,57.5,19,491800.38820254256,20.473808488098943,7.852563300516296,56,112,20,13,112,1,33,-105.0,70.5,-47.5,192878,681,0,32,56,16,56,5.0,3883268,2502.97218,nan,3.883268,nan,13,8064,3759080,26,0,0,13,1716,832,208,884,221,429,13,114408,681,13
737,-47.5,57.5,102,51,0,0.0,0.0,0,0.0,57.5,19,523893.84450881014,23.97659218659487,6.5045714432415735,51,102,19,12,102,0,31,-105.0,70.5,-47.5,192878,384,0,32,51,13,51,5.0,3543360,2506.51554,nan,3.54336,nan,12,7344,3469920,24,0,0,12,1584,768,192,816,204,396,12,64512,384,12
738,-47.5,57.5,96,48,0,0.0,0.0,0,0.0,57.5,20,481218.3557521993,19.80623515492558,7.644923529553815,48,96,20,13,96,0,33,-105.0,70.5,-47.5,192878,541,0,32,48,16,48,5.0,3858596,2510.374136,nan,3.858596,nan,13,6912,3759080,26,0,0,13,1716,832,208,884,221,429,13,90888,541,13
739,-47.5,57.5,92,46,0,0.0,0.0,0,0.0,57.5,17,561159.5938948318,32.360218686058175,17.029692931786332,46,92,21,11,92,4,32,-105.0,70.5,-47.5,192878,460,0,32,46,12,45,5.0,3266116,2513.640252,nan,3.266116,nan,11,6624,3180760,22,0,0,11,1452,704,176,748,187,363,11,77280,460,11
740,-47.5,57.5,78,39,0,0.0,0.0,0,0.0,57.5,19,537285.9380237316,29.474293892289865,8.844141281536633,39,78,19,10,78,0,29,-105.0,70.5,-47.5,192878,482,0,32,39,12,39,5.0,2979512,2516.619764,nan,2.979512,nan,10,5616,2891600,20,0,0,10,1320,640,160,680,170,330,10,80976,482,10
741,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,18,562500.0,35.253155469214164,18.729024905415773,38,76,18,9,76,0,27,-105.0,70.5,-47.5,192878,454,0,32,38,10,38,5.0,2685372,2519.305136,nan,2.685372,nan,9,5472,2602440,18,0,0,9,1188,576,144,612,153,297,9,76272,454,9
742,-47.5,57.5,74,37,0,0.0,0.0,0,0.0,57.5,19,520043.5408063243,27.740190190401975,6.970331501752679,37,74,19,11,74,0,30,-105.0,70.5,-47.5,192878,487,0,32,37,14,37,5.0,3269356,2522.574492,nan,3.269356,nan,11,5328,3180760,22,0,0,11,1452,704,176,748,187,363,11,81816,487,11
743,-47.5,57.5,82,41,0,0.0,0.0,0,0.0,57.5,18,508601.1231337962,30.484038745767723,8.039338352329997,41,82,18,11,82,0,29,-105.0,70.5,-47.5,192878,419,0,32,41,13,40,5.0,3258508,2525.833,nan,3.258508,nan,11,5904,3180760,22,0,0,11,1452,704,176,748,187,363,11,70392,419,11
744,-47.5,57.5,94,47,0,0.0,0.0,0,0.0,57.5,19,534650.267746435,29.820000716149057,10.696535685325516,47,94,19,11,94,0,30,-105.0,70.5,-47.5,192878,467,0,32,47,13,46,5.0,3267436,2529.100436,nan,3.267436,nan,11,6768,3180760,22,0,0,11,1452,704,176,748,187,363,11,78456,467,11
