step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_encoder_bytes_per_direction,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,4,562500.0,33.770347451512,20.4303348585119,4,8,4,4,8,0,8,-105.0,70.5,-47.5,192878,0,0,32,4,0,0,5.0,1157168,1.157168,nan,1.157168,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,0,0,4
3,-47.5,57.5,18,9,0,0.0,0.0,0,0.0,57.5,9,562500.0,30.275490814908267,19.114896957090185,9,18,9,9,18,0,18,-105.0,70.5,-47.5,192878,4,0,32,9,4,4,5.0,2604300,3.761468,nan,2.6043,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,672,4,9
4,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,11,562500.0,34.46567232597906,18.506471693244887,16,32,11,10,32,0,21,-105.0,70.5,-47.5,192878,9,0,32,16,9,15,5.0,2894432,6.6559,nan,2.894432,nan,10,0,2891600,20,0,0,10,1320,640,160,680,170,330,10,1512,9,10
5,-47.5,57.5,50,25,0,0.0,0.0,0,0.0,57.5,14,558628.8262168713,29.039185622607533,16.162115786023254,25,50,14,12,50,0,26,-105.0,70.5,-47.5,192878,19,0,32,25,12,25,5.0,3474696,10.130596,nan,3.474696,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,3192,19,12
6,-47.5,57.5,68,34,0,0.0,0.0,0,0.0,57.5,18,526055.3803762853,26.037801466187585,7.726616371889966,34,68,18,12,68,0,30,-105.0,70.5,-47.5,192878,23,0,32,34,11,32,5.0,3475368,13.605964,nan,3.475368,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,3864,23,12
7,-47.5,57.5,76,38,0,0.0,0.0,0,0.0,57.5,21,555229.5585572096,32.858263919347344,15.16844233011765,38,76,21,12,76,0,33,-105.0,70.5,-47.5,192878,46,0,32,38,13,36,5.0,3479232,17.085196,nan,3.479232,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,7728,46,12
8,-47.5,57.5,94,47,0,0.0,0.0,0,0.0,57.5,21,559391.4902811005,30.180722282545577,15.847849317628544,47,94,21,12,94,0,33,-105.0,70.5,-47.5,192878,29,0,32,47,13,44,5.0,3476376,20.561572,nan,3.476376,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,4872,29,12
9,-47.5,57.5,112,56,0,0.0,0.0,0,0.0,57.5,19,523559.6597714579,22.18749726597449,8.439895893022296,56,112,22,14,112,3,36,-105.0,70.5,-47.5,192878,51,0,32,56,15,53,5.0,4058656,24.620228,nan,4.058656,nan,14,0,4048240,28,0,0,14,1848,896,224,952,238,462,14,8568,51,14
10,-47.5,57.5,114,57,0,0.0,0.0,0,0.0,57.5,24,512651.74485119525,28.144165127934723,6.842990019303013,57,114,24,12,114,0,36,-105.0,70.5,-47.5,192878,65,0,32,57,15,54,5.0,3482424,28.102652,nan,3.482424,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,10920,65,12
