step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,78,78,73,58.1166,58.1166,0,3664752,54441920,0
2,2445,4890,17,17,17,56.67144,114.78804,0,798728,55648200,222200
3,2469,4938,13,13,13,57.1386,171.92664,0,610792,56194440,331600
4,2401,4802,8,8,8,55.37212,227.29876,0,375872,54646760,348400
5,2489,4978,9,9,9,57.42392,284.72268,0,422856,56649640,350200
6,2714,5428,11,11,11,62.57306,347.29574,0,516824,61770640,284100
7,2852,5704,12,12,12,65.74566,413.0414,0,563808,64911520,268700
8,2837,5674,17,17,15,65.576788,478.618188,0,798728,64570120,205900
9,2809,5618,10,10,10,64.67134,543.289528,0,469840,63932840,267300
10,2728,5456,6,6,6,62.5192,605.808728,0,281904,62089280,147200
11,2658,5316,11,11,11,61.1771,666.985828,0,516824,60496080,162700
12,2645,5290,7,7,7,60.64574,727.631568,0,328888,60200200,115700
13,2570,5140,16,16,16,59.41632,787.047888,0,751744,58493200,169200
14,2448,4896,11,11,11,56.4267,843.474588,0,516824,55716480,191900
15,2515,5030,12,12,12,58.12594,901.600528,0,563808,57241400,319100
16,2476,4952,18,18,18,57.48602,959.086548,0,845712,56353760,284100
17,2669,5338,10,10,10,61.49044,1020.576988,0,469840,60746440,272800
18,2887,5774,12,12,12,66.65206,1087.229048,0,563808,65708120,378500
19,2923,5846,17,17,17,67.65092,1154.879968,0,798728,66527480,322400
20,2937,5874,13,13,13,67.88448,1222.764448,0,610792,66846120,425800
21,2834,5668,19,19,19,65.64922,1288.413668,0,892696,64501840,252100
22,2758,5516,12,12,11,63.580484,1351.994152,0,563808,62772080,243100
23,2819,5638,13,13,13,65.1597,1417.153852,0,610792,64160440,386700
24,3034,6068,19,19,19,70.33082,1487.484672,0,892696,69053840,381700
25,3114,6228,14,14,14,71.92632,1559.410992,0,657776,70874640,392000
26,3155,6310,12,12,12,72.72834,1632.139332,0,563808,71807800,355100
27,3435,6870,14,14,14,79.22248,1711.361812,0,657776,78180600,382200
28,3277,6554,21,21,21,76.08874,1787.450552,0,986664,74584520,514700
29,3469,6938,13,13,13,79.9656,1867.416152,0,610792,78954440,398600
30,3363,6726,13,13,13,77.66214,1945.078292,0,610792,76541880,507700
31,3345,6690,13,13,13,77.28426,2022.362552,0,610792,76132200,539500
32,3188,6376,15,15,15,73.82268,2096.185232,0,704760,72558880,557000
33,3061,6122,17,17,17,71.0145,2167.199732,0,798728,69668360,545100
34,3182,6364,10,10,10,73.28342,2240.483152,0,469840,72422320,389900
35,3241,6482,11,11,11,74.68188,2315.165032,0,516824,73765160,398400
36,3437,6874,14,14,14,79.3392,2394.504232,0,657776,78226120,453400
37,3581,7162,11,11,11,82.72028,2477.224512,0,516824,81503560,698400
38,3496,6992,14,14,14,80.61484,2557.839352,0,657776,79568960,386200
39,3434,6868,17,17,17,79.44058,2637.279932,0,798728,78157840,481700
40,3331,6662,13,13,13,76.79702,2714.076952,0,610792,75813560,370900
41,3788,7576,11,11,11,87.6425,2801.719452,0,516824,86214880,909300
42,3805,7610,18,18,18,87.98346,2889.702912,0,845712,86601800,533500
43,3852,7704,16,16,15,88.856404,2978.559316,0,751744,87671520,431100
44,4061,8122,12,12,12,93.4798,3072.039116,0,563808,92428360,486000
45,4226,8452,14,14,14,97.40834,3169.447456,0,657776,96183760,564900
46,4392,8784,17,17,17,101.34876,3270.796216,0,798728,99961920,585800
47,4462,8924,21,21,21,103.39904,3374.195256,0,986664,101555120,854400
48,4511,9022,17,17,17,104.48,3478.675256,0,798728,102670360,1008600
49,4231,8462,18,18,18,97.71132,3576.386576,0,845712,96297560,565600
50,4357,8714,17,17,17,100.68176,3677.068336,0,798728,99165320,715400
51,4481,8962,12,12,12,102.9532,3780.021536,0,563808,101987560,400200
52,4400,8800,7,7,7,100.79114,3880.812676,0,328888,100144000,317300
53,4341,8682,11,11,11,99.62418,3980.436856,0,516824,98801160,304700
54,4185,8370,11,11,11,96.12932,4076.566176,0,516824,95250600,360400
55,4303,8606,18,18,18,99.39654,4175.962716,0,845712,97936280,612100
56,4436,8872,13,13,13,102.02762,4277.990336,0,610792,100963360,451700
57,4746,9492,16,16,16,109.45418,4387.444516,0,751744,108018960,681300
58,5132,10264,21,21,21,118.53264,4505.977156,0,986664,116804320,738800
59,5384,10768,13,13,13,123.7309,4629.708056,0,610792,122539840,578500
60,5477,10954,13,13,13,125.79088,4755.498936,0,610792,124656520,521800
61,5747,11494,6,6,6,131.50784,4887.006776,0,281904,130801720,423400
62,5591,11182,9,9,8,127.988904,5014.99568,0,422856,127251160,313800
63,5443,10886,15,15,15,124.96618,5139.96186,0,704760,123882680,376700
64,5218,10436,14,14,14,119.98606,5259.94792,0,657776,118761680,564700
65,4486,8972,20,20,20,103.48756,5363.43548,0,939680,102101360,443800
66,3998,7996,20,20,20,92.55308,5455.98856,0,939680,90994480,616200
67,3965,7930,27,27,27,92.02224,5548.0108,0,1268568,90243400,506600
68,3623,7246,16,16,16,83.6084,5631.6192,0,751744,82459480,395000
69,3533,7066,11,11,11,81.2253,5712.8445,0,516824,80411080,295900
70,3644,7288,15,15,15,83.98024,5796.82474,0,704760,82937440,336000
71,3756,7512,11,11,10,86.304244,5883.128984,0,516824,85486560,299500
72,3767,7534,9,9,9,86.4987,5969.627684,0,422856,85736920,337700
73,3793,7586,15,15,15,87.27118,6056.898864,0,704760,86328680,235700
74,3984,7968,17,17,16,91.827444,6148.726308,0,798728,90675840,350700
75,4216,8432,18,18,18,97.27402,6246.000328,0,845712,95956160,469700
76,4420,8840,12,12,12,101.65734,6347.657668,0,563808,100599200,492700
77,4540,9080,10,10,9,104.372664,6452.030332,0,469840,103330400,571200
78,4516,9032,18,18,18,104.21992,6556.250252,0,845712,102784160,587600
79,4599,9198,21,21,21,106.28366,6662.533912,0,986664,104673240,620900
80,4543,9086,18,18,18,104.78234,6767.316252,0,845712,103398680,535500
81,3909,7818,12,12,12,89.93788,6857.254132,0,563808,88968840,403600
82,3417,6834,13,13,13,78.70558,6935.959712,0,610792,77770920,322100
83,3362,6724,11,11,11,77.30034,7013.260052,0,516824,76519120,262900
84,3403,6806,14,14,14,78.47066,7091.730712,0,657776,77452280,358700
85,3231,6462,19,19,19,75.01814,7166.748852,0,892696,73537560,585300
86,3030,6060,20,20,20,70.6136,7237.362452,0,939680,68962800,708400
87,2905,5810,10,10,10,66.857,7304.219452,0,469840,66117800,268000
88,2952,5904,14,14,13,68.142164,7372.361616,0,657776,67187520,295100
89,2884,5768,10,10,10,66.36234,7438.723956,0,469840,65639840,251300
90,2992,5984,10,10,10,68.86182,7507.585776,0,469840,68097920,292700
91,2934,5868,12,12,12,67.55528,7575.141056,0,563808,66777840,212000
92,2988,5976,10,10,10,68.78348,7643.924536,0,469840,68006880,305400
93,3038,6076,12,12,12,70.05472,7713.979256,0,563808,69144880,344400
94,3032,6064,9,9,9,69.6535,7783.632756,0,422856,69008320,221100
95,3066,6132,19,19,19,71.18034,7854.813096,0,892696,69782160,502900
96,3214,6428,17,17,17,74.77758,7929.590676,0,798728,73150640,825900
97,3281,6562,18,18,18,76.22042,8005.811096,0,845712,74675560,696700
98,2993,5986,14,14,14,69.48366,8075.294756,0,657776,68120680,703300
