step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
18,-47.5,57.5,160,80,0,0.0,0.0,0,0.0,57.5,3,562500.0,36.83238914176322,19.28978241288078,80,160,3,8,160,0,11,-105.0,70.5,-47.5,5.0,18849920,206.119856,nan,18.84992,nan,8,3744,2313280,16,16531840,160,8,1056,512,128,544,136,264,8,0,0,8
19,-47.5,57.5,170,85,0,0.0,0.0,0,0.0,57.5,6,562500.0,47.598551572545794,34.811369129669416,85,170,6,6,170,0,12,-105.0,70.5,-47.5,5.0,19304144,225.424,nan,19.304144,nan,6,3312,1734960,12,17565080,170,6,792,384,96,408,102,198,6,0,0,6
20,-47.5,57.5,176,88,0,0.0,0.0,0,0.0,57.5,5,524812.8372448159,27.402312110008143,7.880928898003086,88,176,5,9,176,0,14,-105.0,70.5,-47.5,5.0,20792972,246.216972,nan,20.792972,nan,9,4320,2602440,18,18185024,176,9,1188,576,144,612,153,297,9,0,0,9
21,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,4,497933.7878770019,26.083422143003865,9.976657095753643,86,172,4,9,172,0,13,-105.0,70.5,-47.5,5.0,20379388,266.59636,nan,20.379388,nan,9,4032,2602440,18,17771728,172,9,1188,576,144,612,153,297,9,0,0,9
22,-47.5,57.5,170,85,0,0.0,0.0,0,0.0,57.5,5,562500.0,30.590267836258043,19.692448117219822,85,170,5,7,170,0,12,-105.0,70.5,-47.5,5.0,19594948,286.191308,nan,19.594948,nan,7,4824,2024120,14,17565080,170,7,924,448,112,476,119,231,7,0,0,7
23,-47.5,57.5,166,83,0,0.0,0.0,0,0.0,57.5,3,541043.0696908768,25.051438974783057,11.358286356005394,83,166,3,9,166,0,12,-105.0,70.5,-47.5,5.0,19759588,305.950896,nan,19.759588,nan,9,4176,2602440,18,17151784,166,9,1188,576,144,612,153,297,9,0,0,9
24,-47.5,57.5,176,88,0,0.0,0.0,0,0.0,57.5,4,562500.0,36.23243478778181,20.244810834782058,88,176,4,8,176,0,12,-105.0,70.5,-47.5,5.0,20503032,326.453928,nan,20.503032,nan,8,3672,2313280,16,18185024,176,8,1056,512,128,544,136,264,8,0,0,8
25,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,5,562500.0,37.3966274573413,20.36058908085595,86,172,5,7,172,0,12,-105.0,70.5,-47.5,5.0,19801380,346.255308,nan,19.80138,nan,7,4608,2024120,14,17771728,172,7,924,448,112,476,119,231,7,0,0,7
26,-47.5,57.5,178,89,0,0.0,0.0,0,0.0,57.5,5,562500.0,54.552335588456536,40.4775766241701,89,178,5,7,178,0,12,-105.0,70.5,-47.5,5.0,20420964,366.676272,nan,20.420964,nan,7,4248,2024120,14,18391672,178,7,924,448,112,476,119,231,7,0,0,7
27,-47.5,57.5,184,92,0,0.0,0.0,0,0.0,57.5,4,562500.0,53.10189660186541,22.473884636341648,92,184,4,6,184,0,10,-105.0,70.5,-47.5,5.0,20751760,387.428032,nan,20.75176,nan,6,4392,1734960,12,19011616,184,6,792,384,96,408,102,198,6,0,0,6
28,-47.5,57.5,176,88,0,0.0,0.0,0,0.0,57.5,5,475927.1411843193,31.188282692798147,6.28931835011652,88,176,5,7,176,0,12,-105.0,70.5,-47.5,5.0,20214316,407.642348,nan,20.214316,nan,7,4248,2024120,14,18185024,176,7,924,448,112,476,119,231,7,0,0,7
29,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,4,504861.4080804213,27.08632943423655,6.124448391365956,86,172,4,9,172,0,13,-105.0,70.5,-47.5,5.0,20379676,428.022024,nan,20.379676,nan,9,4320,2602440,18,17771728,172,9,1188,576,144,612,153,297,9,0,0,9
30,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,3,562500.0,35.89708363075009,21.89877124015586,86,172,3,9,172,0,12,-105.0,70.5,-47.5,5.0,20379316,448.40134,nan,20.379316,nan,9,3960,2602440,18,17771728,172,9,1188,576,144,612,153,297,9,0,0,9
31,-47.5,57.5,160,80,0,0.0,0.0,0,0.0,57.5,5,562500.0,49.25419554752791,20.445940371108758,80,160,5,7,160,0,12,-105.0,70.5,-47.5,5.0,18560988,466.962328,nan,18.560988,nan,7,4104,2024120,14,16531840,160,7,924,448,112,476,119,231,7,0,0,7
32,-47.5,57.5,162,81,0,0.0,0.0,0,0.0,57.5,5,562500.0,40.342498585216795,22.767798955274543,81,162,5,8,162,0,13,-105.0,70.5,-47.5,5.0,19057144,486.019472,nan,19.057144,nan,8,4320,2313280,16,16738488,162,8,1056,512,128,544,136,264,8,0,0,8
33,-47.5,57.5,178,89,0,0.0,0.0,0,0.0,57.5,3,537293.1575156392,32.64179094721584,11.447051468251065,89,178,3,9,178,0,12,-105.0,70.5,-47.5,5.0,20999548,507.01902,nan,20.999548,nan,9,4248,2602440,18,18391672,178,9,1188,576,144,612,153,297,9,0,0,9
34,-47.5,57.5,178,89,0,0.0,0.0,0,0.0,57.5,3,562500.0,37.75152694035898,24.968580789698013,89,178,3,6,178,0,9,-105.0,70.5,-47.5,5.0,20130592,527.149612,nan,20.130592,nan,6,3168,1734960,12,18391672,178,6,792,384,96,408,102,198,6,0,0,6
35,-47.5,57.5,182,91,0,0.0,0.0,0,0.0,57.5,6,562500.0,54.0792534028426,37.39104031712719,91,182,6,7,182,0,13,-105.0,70.5,-47.5,5.0,20834548,547.98416,nan,20.834548,nan,7,4536,2024120,14,18804968,182,7,924,448,112,476,119,231,7,0,0,7
36,-47.5,57.5,200,100,0,0.0,0.0,0,0.0,57.5,7,539661.912470469,27.920323420318894,13.009120427603843,100,200,7,9,200,0,16,-105.0,70.5,-47.5,5.0,23274260,571.25842,nan,23.27426,nan,9,5832,2602440,18,20664800,200,9,1188,576,144,612,153,297,9,0,0,9
37,-47.5,57.5,184,92,0,0.0,0.0,0,0.0,57.5,6,562500.0,38.216820835250246,19.060477061174378,92,184,6,7,184,0,13,-105.0,70.5,-47.5,5.0,21041916,592.300336,nan,21.041916,nan,7,5256,2024120,14,19011616,184,7,924,448,112,476,119,231,7,0,0,7
38,-47.5,57.5,172,86,0,0.0,0.0,0,0.0,57.5,4,484032.427379107,30.578513027444615,7.6548411175129445,86,172,4,9,172,0,13,-105.0,70.5,-47.5,5.0,20380396,612.680732,nan,20.380396,nan,9,5040,2602440,18,17771728,172,9,1188,576,144,612,153,297,9,0,0,9
39,-47.5,57.5,164,82,0,0.0,0.0,0,0.0,57.5,4,498620.0432224072,35.45549383547632,8.792644573171625,82,164,4,8,164,0,12,-105.0,70.5,-47.5,5.0,19263576,631.944308,nan,19.263576,nan,8,4104,2313280,16,16945136,164,8,1056,512,128,544,136,264,8,0,0,8
