step,capsule_payload_bytes,capsule_scalar_values_sent,contact_threshold_rx_power_dbm,contact_threshold_snr_db,expert_bank_advertisement_bytes,expert_bank_advertisement_scalar_values,expert_bank_manifest_records,expert_bank_model_messages,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_parameter_values_pulled,model_payload_bytes,model_transfer_snr_min_db,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,weighted_single_model_pulls
23,740400,185100,-100.0,0.0,300,75,75,4,770,385,72752,2.491756,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
24,747656,186914,-100.0,0.0,348,87,87,4,826,413,72752,2.564508,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
25,754504,188626,-100.0,0.0,352,88,88,4,894,447,72752,2.63726,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
26,3834240,958560,-100.0,0.0,2156,539,539,20,914,457,363760,3.00102,0.36376,20,1.0,90900,363600,0.0,-100.0,123.0,-100.0,0.0,20
27,579048,144762,-100.0,0.0,356,89,89,3,920,460,54564,3.055584,0.054564,3,1.0,13635,54540,0.0,-100.0,123.0,-100.0,0.0,3
28,778936,194734,-100.0,0.0,364,91,91,4,960,480,72752,3.128336,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
29,804096,201024,-100.0,0.0,472,118,118,4,962,481,72752,3.201088,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
30,1234032,308508,-100.0,0.0,552,138,138,6,1006,503,109128,3.310216,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
31,3947440,986860,-100.0,0.0,2172,543,543,19,974,487,345572,3.655788,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
32,837280,209320,-100.0,0.0,392,98,98,4,910,455,72752,3.72854,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
33,629448,157362,-100.0,0.0,360,90,90,3,926,463,54564,3.783104,0.054564,3,1.0,13635,54540,0.0,-100.0,123.0,-100.0,0.0,3
34,1093600,273400,-100.0,0.0,384,96,96,5,868,434,90940,3.874044,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
35,1276256,319064,-100.0,0.0,584,146,146,6,884,442,109128,3.983172,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
36,3839056,959764,-100.0,0.0,1868,467,467,18,882,441,327384,4.310556,0.327384,18,1.0,81810,327240,0.0,-100.0,123.0,-100.0,0.0,18
37,863520,215880,-100.0,0.0,408,102,102,4,924,462,72752,4.383308,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
38,869544,217386,-100.0,0.0,440,110,110,4,924,462,72752,4.45606,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
39,1318904,329726,-100.0,0.0,544,136,136,6,1030,515,109128,4.565188,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
40,884160,221040,-100.0,0.0,500,125,125,4,1066,533,72752,4.63794,0.072752,4,1.0,18180,72720,0.0,-100.0,123.0,-100.0,0.0,4
41,4259976,1064994,-100.0,0.0,2156,539,539,19,1068,534,345572,4.983512,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
42,1125008,281252,-100.0,0.0,624,156,156,5,1160,580,90940,5.074452,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
43,1132392,283098,-100.0,0.0,560,140,140,5,1170,585,90940,5.165392,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
44,1592928,398232,-100.0,0.0,808,202,202,7,1232,616,127316,5.292708,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
45,1141624,285406,-100.0,0.0,620,155,155,5,1166,583,90940,5.383648,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
46,4355880,1088970,-100.0,0.0,2252,563,563,19,1220,610,345572,5.72922,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
47,1400472,350118,-100.0,0.0,692,173,173,6,1308,654,109128,5.838348,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
48,1156320,289080,-100.0,0.0,612,153,153,5,1280,640,90940,5.929288,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
49,1408920,352230,-100.0,0.0,572,143,143,6,1224,612,109128,6.038416,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
50,1394784,348696,-100.0,0.0,820,205,205,6,1302,651,109128,6.147544,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
51,4559408,1139852,-100.0,0.0,2424,606,606,19,1336,668,345572,6.493116,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
52,1495776,373944,-100.0,0.0,792,198,198,6,1372,686,109128,6.602244,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
53,1268120,317030,-100.0,0.0,732,183,183,5,1350,675,90940,6.693184,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
54,1270712,317678,-100.0,0.0,616,154,154,5,1366,683,90940,6.784124,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
55,1530384,382596,-100.0,0.0,864,216,216,6,1386,693,109128,6.893252,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
56,4855976,1213994,-100.0,0.0,2552,638,638,19,1386,693,345572,7.238824,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
57,1532656,383164,-100.0,0.0,764,191,191,6,1378,689,109128,7.347952,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
58,1544112,386028,-100.0,0.0,840,210,210,6,1360,680,109128,7.45708,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
59,1545744,386436,-100.0,0.0,708,177,177,6,1352,676,109128,7.566208,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
60,1293000,323250,-100.0,0.0,712,178,178,5,1322,661,90940,7.657148,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
61,4914376,1228594,-100.0,0.0,2512,628,628,19,1330,665,345572,8.00272,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
62,1321624,330406,-100.0,0.0,584,146,146,5,1352,676,90940,8.09366,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
63,1563024,390756,-100.0,0.0,880,220,220,6,1350,675,109128,8.202788,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
64,1569568,392392,-100.0,0.0,688,172,172,6,1368,684,109128,8.311916,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
65,1311280,327820,-100.0,0.0,728,182,182,5,1380,690,90940,8.402856,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
66,4985192,1246298,-100.0,0.0,2776,694,694,19,1452,726,345572,8.748428,0.345572,19,1.0,86355,345420,0.0,-100.0,123.0,-100.0,0.0,19
67,1428040,357010,-100.0,0.0,664,166,166,5,1486,743,90940,8.839368,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
68,1715280,428820,-100.0,0.0,888,222,222,6,1416,708,109128,8.948496,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
69,2001776,500444,-100.0,0.0,840,210,210,7,1318,659,127316,9.075812,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
70,1430240,357560,-100.0,0.0,664,166,166,5,1114,557,90940,9.166752,0.09094,5,1.0,22725,90900,0.0,-100.0,123.0,-100.0,0.0,5
71,3739544,934886,-100.0,0.0,1492,373,373,13,1018,509,236444,9.403196,0.236444,13,1.0,59085,236340,0.0,-100.0,123.0,-100.0,0.0,13
72,2309800,577450,-100.0,0.0,768,192,192,8,962,481,145504,9.5487,0.145504,8,1.0,36360,145440,0.0,-100.0,123.0,-100.0,0.0,8
73,1732992,433248,-100.0,0.0,644,161,161,6,858,429,109128,9.657828,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
74,2024352,506088,-100.0,0.0,444,111,111,7,836,418,127316,9.785144,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
75,1734864,433716,-100.0,0.0,616,154,154,6,830,415,109128,9.894272,0.109128,6,1.0,27270,109080,0.0,-100.0,123.0,-100.0,0.0,6
76,2895816,723954,-100.0,0.0,1020,255,255,10,886,443,181880,10.076152,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
77,2322176,580544,-100.0,0.0,796,199,199,8,906,453,145504,10.221656,0.145504,8,1.0,36360,145440,0.0,-100.0,123.0,-100.0,0.0,8
78,2631448,657862,-100.0,0.0,956,239,239,9,1130,565,163692,10.385348,0.163692,9,1.0,40905,163620,0.0,-100.0,123.0,-100.0,0.0,9
79,2058152,514538,-100.0,0.0,592,148,148,7,1048,524,127316,10.512664,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
80,2071000,517750,-100.0,0.0,756,189,189,7,1046,523,127316,10.63998,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
81,3268760,817190,-100.0,0.0,1204,301,301,11,1058,529,200068,10.840048,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0,11
82,2380160,595040,-100.0,0.0,808,202,202,8,1100,550,145504,10.985552,0.145504,8,1.0,36360,145440,0.0,-100.0,123.0,-100.0,0.0,8
83,2977000,744250,-100.0,0.0,940,235,235,10,1058,529,181880,11.167432,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
84,2684896,671224,-100.0,0.0,752,188,188,9,1154,577,163692,11.331124,0.163692,9,1.0,40905,163620,0.0,-100.0,123.0,-100.0,0.0,9
85,2088424,522106,-100.0,0.0,920,230,230,7,1282,641,127316,11.45844,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
86,2985520,746380,-100.0,0.0,1436,359,359,10,1378,689,181880,11.64032,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
87,2689056,672264,-100.0,0.0,1204,301,301,9,1470,735,163692,11.804012,0.163692,9,1.0,40905,163620,0.0,-100.0,123.0,-100.0,0.0,9
88,3308696,827174,-100.0,0.0,1452,363,363,11,1582,791,200068,12.00408,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0,11
89,3037344,759336,-100.0,0.0,1200,300,300,10,1630,815,181880,12.18596,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
90,2131528,532882,-100.0,0.0,1092,273,273,7,1736,868,127316,12.313276,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
91,3064320,766080,-100.0,0.0,1596,399,399,10,1672,836,181880,12.495156,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
92,2756392,689098,-100.0,0.0,1152,288,288,9,1524,762,163692,12.658848,0.163692,9,1.0,40905,163620,0.0,-100.0,123.0,-100.0,0.0,9
93,3373976,843494,-100.0,0.0,1476,369,369,11,1476,738,200068,12.858916,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0,11
94,3080720,770180,-100.0,0.0,1132,283,283,10,1490,745,181880,13.040796,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
95,2466944,616736,-100.0,0.0,1156,289,289,8,1550,775,145504,13.1863,0.145504,8,1.0,36360,145440,0.0,-100.0,123.0,-100.0,0.0,8
96,3392312,848078,-100.0,0.0,1496,374,374,11,1518,759,200068,13.386368,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0,11
97,2467464,616866,-100.0,0.0,1060,265,265,8,1596,798,145504,13.531872,0.145504,8,1.0,36360,145440,0.0,-100.0,123.0,-100.0,0.0,8
98,3397920,849480,-100.0,0.0,1492,373,373,11,1588,794,200068,13.73194,0.200068,11,1.0,49995,199980,0.0,-100.0,123.0,-100.0,0.0,11
99,3094272,773568,-100.0,0.0,1140,285,285,10,1570,785,181880,13.91382,0.18188,10,1.0,45450,181800,0.0,-100.0,123.0,-100.0,0.0,10
100,2171904,542976,-100.0,0.0,1096,274,274,7,1594,797,127316,14.041136,0.127316,7,1.0,31815,127260,0.0,-100.0,123.0,-100.0,0.0,7
