step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
18,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,13,562500.0,35.50573278913514,18.571478647702314,19,38,13,6,38,0,19,-105.0,70.5,-47.5,5.0,1735752,29.507784,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
19,-47.5,57.5,46,23,0,0.0,0.0,0,0.0,57.5,12,523105.1853524536,36.730541683791245,10.102020729663197,23,46,12,8,46,0,20,-105.0,70.5,-47.5,5.0,2314336,31.82212,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
20,-47.5,57.5,48,24,0,0.0,0.0,0,0.0,57.5,11,532235.8131336503,31.144614431223733,10.097269505194756,24,48,11,8,48,0,19,-105.0,70.5,-47.5,5.0,2314336,34.136456,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
21,-47.5,57.5,44,22,0,0.0,0.0,0,0.0,57.5,10,562500.0,32.328525462369264,19.013850798630425,22,44,10,7,44,0,17,-105.0,70.5,-47.5,5.0,2025044,36.1615,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
22,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,11,562500.0,37.154624091055325,18.373520104988653,20,40,11,8,40,0,19,-105.0,70.5,-47.5,5.0,2314336,38.475836,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
23,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,11,562500.0,27.550223732537997,18.571468442793815,17,34,11,7,34,0,18,-105.0,70.5,-47.5,5.0,2025044,40.50088,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
24,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,11,562500.0,32.775995911320145,18.05397384366382,19,38,11,7,38,0,18,-105.0,70.5,-47.5,5.0,2025044,42.525924,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
25,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,10,562500.0,39.41379793408046,19.01708224888549,18,36,10,6,36,0,16,-105.0,70.5,-47.5,5.0,1735752,44.261676,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
26,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,12,562500.0,48.263684703521506,44.161143611465825,20,40,12,6,40,0,18,-105.0,70.5,-47.5,5.0,1735752,45.997428,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
27,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,10,562500.0,37.21202331410308,18.295326305349352,20,40,10,8,40,0,18,-105.0,70.5,-47.5,5.0,2314336,48.311764,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
28,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,13,562500.0,34.70963011803887,19.521778564611235,20,40,13,6,40,0,19,-105.0,70.5,-47.5,5.0,1735752,50.047516,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
29,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,10,562500.0,35.390522242849784,20.040427267400514,19,38,10,8,38,0,18,-105.0,70.5,-47.5,5.0,2314336,52.361852,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
30,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,10,562500.0,41.52412528988096,19.018509225792627,20,40,10,8,40,0,18,-105.0,70.5,-47.5,5.0,2314336,54.676188,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
31,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,11,562500.0,27.39497249264699,18.05095827489794,20,40,11,7,40,0,18,-105.0,70.5,-47.5,5.0,2025044,56.701232,nan,2.025044,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,0,0,7
32,-47.5,57.5,38,19,0,0.0,0.0,0,0.0,57.5,12,562500.0,33.52017610010139,18.29532249065209,19,38,12,6,38,0,18,-105.0,70.5,-47.5,5.0,1735752,58.436984,nan,1.735752,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,0,0,6
33,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,10,545874.0363177713,35.28050342383146,11.267395340013122,18,36,10,8,36,0,18,-105.0,70.5,-47.5,5.0,2314336,60.75132,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
34,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,10,548744.146702675,35.293855704232584,11.926220098687455,18,36,10,8,36,0,18,-105.0,70.5,-47.5,5.0,2314336,63.065656,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
35,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,10,562500.0,42.579977252696935,19.01708564501001,18,36,10,8,36,0,18,-105.0,70.5,-47.5,5.0,2314336,65.379992,nan,2.314336,nan,8,0,2313280,16,0,0,8,1056,512,128,544,136,264,8,0,0,8
