step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,562500.0,56.46463757058254,45.554236204185045,2,4,0,2,4,0,2,-105.0,70.5,-47.5,192878,0,32,2,0,0,5.0,578452,0.578452,nan,0.578452,nan,2,0,578320,4,0,0,2,132,64,16,68,17,33,2,0,0,1
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,2,4,0,0,4,0,0,-105.0,70.5,-47.5,192878,0,32,2,0,0,5.0,0,0.578452,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,562500.0,63.13314437866211,63.13314437866211,4,8,0,1,8,0,1,-105.0,70.5,-47.5,192878,0,32,4,0,0,5.0,289292,0.867744,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
5,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,4,8,0,0,8,0,0,-105.0,70.5,-47.5,192878,1,32,4,1,1,5.0,168,0.867912,nan,0.000168,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,0,562500.0,62.93828201293945,62.93828201293945,5,10,0,1,10,0,1,-105.0,70.5,-47.5,192878,0,32,5,0,0,5.0,289292,1.157204,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
7,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,1,562500.0,62.12783432006836,62.12783432006836,5,10,1,1,10,0,2,-105.0,70.5,-47.5,192878,1,32,5,1,3,5.0,289460,1.446664,nan,0.28946,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,168,1,1
8,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.78669738769531,67.78669357299805,4,8,0,1,8,0,1,-105.0,70.5,-47.5,192878,1,32,4,1,2,5.0,289460,1.736124,nan,0.28946,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,168,1,1
9,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,1,562500.0,41.037326110047665,36.97735204060385,4,8,1,2,8,0,3,-105.0,70.5,-47.5,192878,2,32,4,2,3,5.0,578920,2.315044,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
10,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,562500.0,34.5380506195992,24.36034749637448,6,12,0,2,12,0,2,-105.0,70.5,-47.5,192878,2,32,6,2,5,5.0,578920,2.893964,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
11,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,6,12,0,0,12,0,0,-105.0,70.5,-47.5,192878,3,32,6,2,5,5.0,504,2.894468,nan,0.000504,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,3,0
12,-47.5,57.5,14,7,0,0.0,0.0,0,0.0,57.5,2,562500.0,42.9442503090952,30.428563137582472,7,14,2,3,14,0,5,-105.0,70.5,-47.5,192878,8,32,7,3,4,5.0,869220,3.763688,nan,0.86922,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1344,8,3
13,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,3,562500.0,45.90688871366462,37.04190995346109,8,16,3,3,16,0,6,-105.0,70.5,-47.5,192878,9,32,8,3,6,5.0,869388,4.633076,nan,0.869388,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1512,9,3
