step,eval_is_final,eval_n_pairs_per_zone,greedy_active_experienced_models,greedy_feasible_recall,greedy_feasible_rmse,greedy_infeasible_rmse,greedy_max_local_experience,greedy_mean_local_experience,greedy_mean_model_rmse,greedy_non_feasible_false_positive_rate,greedy_predicted_feasible_fraction,greedy_total
1,0,10000,26,1.0,61.703504967642395,100.0,25,20.53846153846154,73.99331400944637,1.0,1.0,73.99331466683064
2,0,10000,25,1.0,60.74607355464226,99.43977690713366,48,38.36,73.206865234375,1.0,1.0,73.20694185662997
3,0,10000,25,1.0,56.8883823078486,96.11901738551187,70,58.4,69.65908996582031,1.0,1.0,69.6619129223423
4,0,10000,26,1.0,52.14665609339586,90.97228281088721,93,75.88461538461539,64.92592122004582,1.0,1.0,64.92833173229127
5,1,10000,25,1.0,46.678539432162104,85.19468576143905,115,94.4,59.552127532958984,1.0,1.0,59.55440913987813
