step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,20,20,42.811817214326624,28.394114828281317,27.585539122995783,27.585539122995783,0.85,0.85,54.26207725177443,29.23547365769138,29.23547365769138,48.84936733932495,26.653796139042605,26.653796139042605,nan,22.302858805995413,16.166974037346222,52.54650261331423,55.9796539512771,0.0,0.0,57.738604325384934,55.97965383669997,9400,30.881010265076945,26.85759406030799,26.744180179008588,nan,nan,nan,nan,29.23547365769138,37.17333947902356,37.17333947902356,600,29.23547365769138
200,1,500,20,20,35.29274875294906,36.200607543725454,20.711654909672323,20.711654909672323,0.9472222222222222,0.9472222222222222,45.713754492986446,22.86852091081698,22.86852091081698,52.056403588104246,20.707200192639547,20.707200192639547,nan,19.532969522718105,13.068341704055456,27.537831872908857,56.91226245339778,0.0,0.0,59.07882686923406,56.91226250799819,9280,39.04363584861895,20.035191020615112,34.04374159718121,nan,nan,nan,nan,22.86852091081698,28.004267926309637,28.004267926309637,720,22.86852091081698
300,1,500,20,20,33.223680870721246,34.72565068754114,21.44302080747004,21.44302080747004,0.8772727272727273,0.8772727272727273,41.91046021444668,23.179564172576484,23.179564172576484,50.1112614616394,20.57913154975372,20.57913154975372,nan,17.15060071715535,13.741162392694857,26.945855748333265,56.16867149501118,0.0,0.0,58.119345475077274,56.16867160111225,9340,36.879306261075335,21.24003921400194,32.98910742853577,nan,nan,nan,nan,23.179564172576484,24.13317430441738,24.13317430441738,660,23.179564172576484
400,1,500,20,20,35.24703443203745,36.27977310040733,21.164959892425472,21.164959892425472,0.9,0.9,45.260571648924966,22.303724686876343,22.303724686876343,53.78048830490112,18.67096570033201,18.67096570033201,nan,13.966345116004993,11.220990382324551,28.019477850066426,57.444732992832805,0.0,0.0,58.56830828024213,57.44473308221319,9620,37.683205299433126,20.885102980809002,35.14100839533685,nan,nan,nan,nan,22.303724686876343,27.31065317273535,27.31065317273535,380,22.303724686876343
500,1,500,20,20,30.79760125017253,43.451866619959205,12.62087514190281,12.62087514190281,1.0,1.0,41.81320183714986,13.907995092113955,13.907995092113955,54.68144575119018,13.571728314176397,13.571728314176397,nan,12.917778422640405,10.88115250461436,17.74703370681093,56.07274176186201,0.0,0.0,56.874639824918106,56.07274172776077,9720,44.6828131506652,12.191826674252907,42.164746635646814,nan,nan,nan,nan,13.907995092113955,22.99673076042946,22.99673076042946,280,13.907995092113955
600,1,500,20,20,29.849347669954472,38.79628831798645,17.930135865557983,17.930135865557983,0.95,0.95,38.27167921111984,19.649280595131607,19.649280595131607,50.163258026885984,17.249359301486873,17.249359301486873,nan,14.398132823957072,11.978846685716293,22.140382017957705,56.72642418354444,0.0,0.0,58.50883895436568,56.72642401597888,9400,40.697447009748586,17.811391944617093,37.07714342084727,nan,nan,nan,nan,19.649280595131607,19.6972206057817,19.6972206057817,600,19.649280595131607
700,1,500,20,20,32.24670078787171,31.56362214651819,25.475845308178098,25.475845308178098,0.8054054054054054,0.8054054054054054,37.555091090112505,26.910105175006372,26.910105175006372,44.61504057693482,22.9630534042417,22.9630534042417,nan,15.714168552434085,12.851698406012305,42.25220824761815,57.039467454696286,0.0,0.0,59.27478237381544,57.03946737460744,9260,33.40366804492726,25.871114328888186,30.12936219960107,nan,nan,nan,nan,26.910105175006372,19.87576742687778,19.87576742687778,740,26.910105175006372
800,1,500,20,20,31.63603106300217,40.47547033398257,14.264721955281116,14.264721955281116,0.9977272727272727,0.9977272727272727,42.83244683052572,17.714505588603306,17.714505588603306,54.032304664611814,17.33585038889069,17.33585038889069,nan,16.10618258610251,13.26265774325727,22.142661530621872,54.74019228926369,0.0,0.0,57.32035883316187,54.74019241405115,9120,44.39525065765078,12.925108175511095,37.02568682544785,nan,nan,nan,nan,17.714505588603306,24.10323727677875,24.10323727677875,880,17.714505588603306
900,1,500,20,20,32.27625057446767,39.470224739010575,16.06925421871045,16.06925421871045,1.0,1.0,43.03697466774871,18.74231548117417,18.74231548117417,55.47520499420166,17.84965822509731,17.84965822509731,nan,15.003704711931338,13.525729808770107,29.424419439838474,55.53947895772102,0.0,0.0,57.71601089828388,55.53947882699318,9260,42.506424653444604,15.20958624483928,36.797163345819015,nan,nan,nan,nan,18.74231548117417,24.386513049308856,24.386513049308856,740,18.74231548117417
1000,1,500,20,20,33.49405860580313,34.28448576715044,23.336557583248794,23.336557583248794,0.85,0.85,41.227245868946284,24.103930911823365,24.103930911823365,50.22914027481079,18.412810550914937,18.412810550914937,nan,11.492080706838692,9.644251201050963,54.254005888182526,57.62104335039923,0.0,0.0,58.56571378691167,57.6210435584657,9680,35.241517727038534,23.324196059873138,33.51711264664233,nan,nan,nan,nan,24.103930911823365,23.707448819051884,23.707448819051884,320,24.103930911823365
