step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
239,536,822,109,21768,96
240,536,818,55,21884,116
241,523,812,98,21980,96
242,517,788,55,22024,44
243,505,772,50,22096,72
244,495,744,78,22156,60
245,492,744,68,22224,68
246,467,742,48,22276,52
247,483,758,33,22312,36
248,476,754,66,22364,52
249,483,752,43,22432,68
250,492,758,42,22476,44
251,459,770,70,22588,112
252,484,780,70,22664,76
253,516,766,38,22700,36
254,538,756,53,22752,52
255,538,756,73,22836,84
256,590,768,23,22872,36
257,602,770,29,22908,36
258,599,778,56,22968,60
259,617,776,46,23012,44
260,633,794,65,23092,80
261,656,792,61,23136,44
262,652,778,80,23236,100
263,654,818,85,23336,100
264,661,806,74,23420,84
265,633,806,80,23504,84
266,671,806,61,23600,96
267,720,826,44,23652,52
268,728,792,63,23736,84
269,717,776,76,23804,68
270,762,794,86,23888,84
271,734,806,86,23988,100
272,717,812,64,24060,72
273,683,820,108,24180,120
274,660,806,89,24256,76
275,650,810,42,24324,68
276,586,794,115,24412,88
277,555,764,92,24512,100
278,556,774,62,24580,68
279,549,756,78,24660,80
280,515,754,105,24776,116
281,501,746,69,24848,72
282,501,752,29,24880,32
283,483,756,48,24980,100
284,483,740,70,25088,108
285,492,752,33,25132,44
286,502,738,42,25188,56
287,487,724,53,25280,92
288,478,746,55,25364,84
289,439,754,78,25444,80
290,435,766,63,25512,68
291,420,764,67,25584,72
292,435,780,29,25604,20
293,426,750,48,25640,36
294,407,740,55,25704,64
295,430,738,53,25764,60
296,440,756,49,25820,56
297,466,752,52,25860,40
298,506,726,40,25892,32
299,528,734,45,25932,40
300,510,742,58,26000,68
301,557,730,37,26044,44
302,597,736,52,26104,60
303,584,744,66,26156,52
304,593,762,55,26204,48
305,613,774,53,26268,64
306,607,780,54,26328,60
307,589,760,88,26412,84
308,523,752,89,26492,80
309,500,762,71,26556,64
310,510,768,29,26604,48
311,487,766,70,26688,84
312,475,784,60,26764,76
313,447,778,76,26832,68
314,428,772,66,26908,76
315,418,786,72,26984,76
316,426,794,33,27044,60
317,409,796,76,27144,100
318,417,784,35,27180,36
319,409,768,34,27220,40
320,404,758,46,27256,36
321,416,758,41,27292,36
322,423,758,25,27332,40
323,418,750,42,27372,40
324,379,734,61,27424,52
325,352,746,55,27512,88
326,356,760,30,27568,56
327,342,786,70,27636,68
328,345,776,32,27668,32
329,353,752,37,27704,36
330,343,770,43,27744,40
331,361,766,46,27784,40
332,386,764,31,27812,28
333,388,756,39,27848,36
334,411,756,24,27880,32
335,426,768,27,27904,24
336,416,786,52,27936,32
337,409,776,53,27988,52
338,412,778,55,28032,44
339,416,786,37,28064,32
340,419,778,32,28096,32
341,404,820,68,28148,52
342,425,826,24,28172,24
343,436,814,44,28216,44
344,438,812,38,28256,40
345,435,828,38,28292,36
346,400,832,70,28340,48
347,407,830,32,28380,40
348,379,808,57,28440,60
349,387,818,40,28492,52
350,377,808,50,28540,48
351,394,844,47,28604,64
352,375,860,56,28648,44
353,346,884,68,28688,40
354,351,880,26,28712,24
355,340,922,48,28740,28
356,342,948,34,28776,36
357,351,958,44,28832,56
358,369,952,20,28848,16
359,376,972,43,28884,36
360,391,964,40,28932,48
361,372,950,47,28984,52
362,371,952,38,29020,36
363,384,952,30,29044,24
364,398,1034,38,29064,20
365,391,966,57,29100,36
366,389,966,32,29168,68
367,400,964,35,29200,32
368,391,962,42,29244,44
369,397,952,69,29304,60
370,380,916,60,29368,64
371,388,906,44,29396,28
372,419,894,37,29428,32
373,442,880,21,29456,28
374,429,868,57,29508,52
375,415,826,49,29556,48
376,386,828,59,29592,36
377,405,794,32,29620,28
378,397,788,42,29656,36
379,385,788,56,29716,60
380,374,772,33,29772,56
381,357,762,42,29820,48
382,339,752,62,29924,104
383,331,750,51,29972,48
384,347,760,28,30020,48
385,363,758,25,30040,20
386,361,746,42,30072,32
387,353,754,43,30140,68
388,348,766,54,30176,36
389,329,750,50,30244,68
390,362,754,27,30272,28
391,370,744,22,30312,40
392,365,730,55,30364,52
393,368,740,58,30408,44
394,379,730,24,30432,24
395,374,730,33,30464,32
396,374,752,51,30500,36
397,388,754,38,30540,40
398,393,738,53,30580,40
399,395,740,33,30620,40
400,378,738,50,30692,72
401,397,746,43,30720,28
402,418,738,38,30756,36
403,400,746,55,30828,72
404,408,734,42,30876,48
405,442,738,17,30896,20
406,454,740,53,30948,52
407,486,758,37,30996,48
408,469,738,85,31080,84
409,480,740,30,31104,24
410,472,750,49,31152,48
411,456,736,63,31216,64
412,457,746,48,31272,56
413,477,746,17,31292,20
414,467,752,46,31340,48
415,441,756,53,31392,52
416,402,746,81,31468,76
417,364,740,52,31528,60
418,339,744,74,31608,80
419,365,738,18,31636,28
420,339,736,70,31700,64
421,348,750,42,31744,44
422,371,740,38,31784,40
423,373,730,36,31824,40
424,384,732,34,31856,32
425,391,762,41,31904,48
426,405,752,39,31948,44
427,427,778,12,31972,24
428,412,806,60,32020,48
429,438,786,30,32064,44
430,433,790,37,32100,36
431,423,802,39,32140,40
432,374,796,60,32208,68
433,376,800,39,32260,52
434,354,790,55,32332,72
435,343,788,49,32376,44
436,336,778,60,32424,48
437,337,782,39,32456,32
438,320,786,47,32496,40
439,298,780,49,32560,64
440,290,784,34,32604,44
441,317,778,25,32632,28
442,360,774,14,32652,20
443,359,812,39,32688,36
444,405,812,33,32732,44
445,437,822,34,32788,56
446,429,826,59,32852,64
447,428,846,40,32892,40
448,476,840,20,32948,56
449,486,810,45,32984,36
450,515,824,26,33004,20
451,520,822,41,33088,84
452,514,830,56,33136,48
453,522,820,53,33196,60
454,484,792,84,33328,132
455,460,782,56,33388,60
456,477,780,45,33416,28
457,470,780,47,33476,60
458,448,772,78,33544,68
459,415,772,70,33612,68
460,417,782,56,33656,44
461,423,792,39,33704,48
462,415,796,62,33748,44
463,423,800,38,33788,40
464,403,792,37,33832,44
465,422,788,21,33868,36
466,398,806,66,33948,80
467,416,824,33,33980,32
468,398,840,52,34028,48
469,407,824,49,34068,40
470,397,814,57,34120,52
471,411,790,51,34172,52
472,409,786,48,34232,60
473,423,788,38,34304,72
474,436,794,41,34336,32
475,452,750,30,34376,40
476,429,742,62,34416,40
477,417,730,32,34480,64
478,420,724,27,34508,28
479,392,728,65,34588,80
480,397,754,43,34624,36
481,393,762,51,34668,44
482,381,780,65,34740,72
483,387,808,48,34784,44
484,368,818,48,34844,60
485,357,802,62,34896,52
486,370,800,40,34936,40
487,387,780,34,34964,28
488,414,762,16,34980,16
489,421,754,41,35016,36
490,393,754,67,35088,72
491,421,760,25,35104,16
492,425,748,49,35164,60
493,410,744,47,35212,48
494,402,730,52,35252,40
495,413,732,47,35308,56
496,400,732,40,35356,48
497,398,732,59,35404,48
498,408,744,50,35464,60
499,404,748,35,35508,44
500,413,742,31,35540,32
501,412,742,51,35584,44
502,427,738,42,35636,52
503,424,750,48,35676,40
504,432,754,33,35716,40
505,422,764,55,35780,64
506,429,762,43,35828,48
507,430,774,55,35868,40
508,399,760,71,35940,72
509,409,780,31,35984,44
510,402,760,41,36040,56
511,429,780,39,36080,40
512,419,766,51,36152,72
513,437,790,33,36188,36
514,430,794,39,36248,60
515,434,804,55,36296,48
516,439,798,49,36364,68
517,433,798,39,36424,60
518,417,802,62,36480,56
519,405,792,44,36528,48
520,390,774,41,36564,36
521,384,772,63,36624,60
522,389,786,31,36668,44
523,374,750,50,36744,76
524,376,758,33,36776,32
525,380,756,53,36824,48
526,391,772,60,36892,68
527,393,752,36,36944,52
528,398,752,41,36980,36
529,386,742,52,37044,64
530,419,744,27,37064,20
531,398,728,50,37120,56
532,408,738,42,37172,52
533,397,776,52,37220,48
534,427,768,46,37240,20
535,431,776,41,37300,60
536,418,802,53,37352,52
537,431,814,40,37388,36
538,439,814,44,37432,44
539,446,798,41,37460,28
540,456,812,51,37520,60
541,475,820,23,37560,40
542,454,826,51,37604,44
543,452,826,68,37652,48
544,444,838,56,37704,52
545,451,846,43,37740,36
546,432,870,62,37796,56
547,433,864,49,37836,40
548,440,892,55,37908,72
549,453,870,38,37964,56
550,490,878,44,38020,56
551,512,830,47,38060,40
552,519,792,39,38100,40
553,504,784,68,38172,72
554,490,804,61,38252,80
555,483,768,73,38324,72
556,495,758,36,38352,28
557,487,756,35,38408,56
558,478,758,57,38456,48
559,471,782,79,38536,80
560,454,784,56,38580,44
561,443,772,72,38660,80
562,443,778,39,38708,48
563,428,788,59,38764,56
564,412,814,37,38800,36
565,389,840,58,38860,60
566,376,844,38,38916,56
567,384,834,27,38940,24
568,408,828,37,38976,36
569,368,812,76,39080,104
570,392,792,44,39164,84
571,376,766,82,39228,64
572,343,786,59,39280,52
573,344,794,35,39320,40
574,337,792,47,39344,24
575,372,814,20,39360,16
576,424,796,23,39404,44
577,405,802,52,39436,32
578,402,806,47,39492,56
579,393,784,44,39524,32
580,375,776,49,39576,52
581,352,780,37,39612,36
582,349,782,31,39640,28
583,352,782,28,39672,32
584,352,772,57,39704,32
585,357,770,40,39740,36
586,320,764,60,39824,84
587,321,772,35,39856,32
588,324,772,39,39912,56
