step,eval_is_final,eval_n_pairs_per_zone,expert_bank_coverage_recalculations,expert_bank_manifest_records,expert_bank_max_size,expert_bank_mean_size,expert_bank_model_transfers,expert_bank_unique_versions,greedy_active_experienced_models,greedy_coverage_at_0_5,greedy_feasible_coverage_at_0_5,greedy_feasible_rmse,greedy_infeasible_leakage_at_0_5,greedy_infeasible_rmse,greedy_max_capsules,greedy_max_experience,greedy_mean_capsules,greedy_mean_confidence,greedy_mean_experience,greedy_mean_model_rmse,greedy_non_feasible_false_positive_rate,greedy_predicted_feasible_fraction,greedy_total
10,0,10000,0,7325,1,1.0,7325,33,33,0.23891212121212121,0.46501343862821437,30.709960173257773,0.019317957815888034,7.316126506782146,21856,299,21476.545454545456,0.23891212121212121,294.1212121212121,22.168579043764055,0.019317957815888034,0.23891212121212121,22.177010004219973
15,1,10000,0,10943,1,1.0,10943,31,31,0.2908,0.5375580245781965,30.460764106586623,0.051143625646210486,11.911962913004317,24812,443,24326.290322580644,0.2908,436.16129032258067,22.982837923111454,0.05106096157392394,0.28890645161290324,23.0030210147809
20,1,10000,0,14352,1,1.0,14352,33,33,0.33035454545454546,0.6037849573469626,28.860320878963265,0.06479341015118661,12.771315151168444,29319,583,28889.636363636364,0.33035454545454546,573.0909090909091,22.175127029418945,0.06461420831615983,0.3279818181818182,22.20636586315926
