step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,1,2,0,0,2,0,0,-105.0,70.5,-47.5,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,3,562500.0,36.01671256850206,20.630793744560492,6,12,3,5,12,0,8,-105.0,70.5,-47.5,5.0,1446460,1.44646,nan,1.44646,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,0,0,5
4,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,0,562500.0,42.02385143857726,33.044645267648505,8,16,0,4,16,0,4,-105.0,70.5,-47.5,5.0,1157168,2.603628,nan,1.157168,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,0,0,4
5,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,1,562500.0,26.52754670661896,19.96897798493553,10,20,1,2,20,0,3,-105.0,70.5,-47.5,5.0,578584,3.182212,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
6,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,1,562500.0,45.49377609936675,33.11175646368061,11,22,1,3,22,0,4,-105.0,70.5,-47.5,5.0,867876,4.050088,nan,0.867876,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,0,0,3
7,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,12,24,0,0,24,0,0,-105.0,70.5,-47.5,5.0,0,4.050088,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,0,562500.0,60.48406982421875,60.48406982421875,13,26,0,1,26,0,1,-105.0,70.5,-47.5,5.0,289292,4.33938,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
9,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,0,562500.0,28.104086411692123,20.361482508125256,16,32,0,2,32,0,2,-105.0,70.5,-47.5,5.0,578584,4.917964,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
10,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,0,562500.0,67.63876152038574,67.5157241821289,17,34,0,2,34,0,2,-105.0,70.5,-47.5,5.0,578584,5.496548,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
11,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,0,562500.0,34.541029582370115,30.347959732370462,20,40,0,2,40,0,2,-105.0,70.5,-47.5,5.0,578584,6.075132,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
12,-47.5,57.5,54,27,0,0.0,0.0,0,0.0,57.5,0,562500.0,58.941715240478516,57.721771240234375,27,54,0,2,54,0,2,-105.0,70.5,-47.5,5.0,578584,6.653716,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
13,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,0,562500.0,58.57483673095703,58.57483673095703,28,56,0,1,56,0,1,-105.0,70.5,-47.5,5.0,289292,6.943008,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
14,-47.5,57.5,56,28,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,28,56,0,0,56,0,0,-105.0,70.5,-47.5,5.0,0,6.943008,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
