step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
228,2472,780,302,36796,164
229,2495,778,265,36956,160
230,2432,756,331,37120,164
231,2522,754,210,37276,156
232,2558,776,274,37452,176
233,2635,776,220,37628,176
234,2625,790,294,37804,176
235,2614,790,315,37980,176
236,2590,792,313,38144,164
237,2598,798,297,38312,168
238,2639,802,268,38480,168
239,2650,778,297,38648,168
240,2580,758,351,38824,176
241,2609,744,256,38988,164
242,2660,742,251,39156,168
243,2670,732,267,39320,164
244,2685,712,270,39492,172
245,2605,710,340,39668,176
246,2575,728,312,39844,176
247,2466,740,378,40020,176
248,2435,732,298,40184,164
249,2400,716,320,40344,160
250,2389,724,277,40512,168
251,2353,726,316,40676,164
252,2321,758,314,40832,156
253,2202,750,369,40980,148
254,2307,762,187,41108,128
255,2322,752,253,41244,136
256,2344,764,251,41388,144
257,2451,780,186,41536,148
258,2464,778,285,41692,156
259,2518,780,239,41844,152
260,2544,796,285,42000,156
261,2669,802,186,42152,152
262,2656,812,295,42320,168
263,2523,784,393,42504,184
264,2603,776,214,42672,168
265,2630,784,263,42844,172
266,2670,780,258,43024,180
267,2661,760,269,43200,176
268,2689,754,241,43384,184
269,2612,754,363,43572,188
270,2616,760,278,43760,188
271,2585,762,347,43944,184
272,2614,766,269,44124,180
273,2517,770,355,44316,192
274,2499,764,297,44496,180
275,2331,748,442,44672,176
276,2396,744,194,44828,156
277,2454,740,224,44992,164
278,2447,760,293,45148,156
279,2508,752,196,45308,160
280,2546,752,272,45472,164
281,2548,738,264,45640,168
282,2451,734,359,45808,168
283,2464,728,259,45968,160
284,2453,740,287,46136,168
285,2356,724,360,46312,176
286,2349,720,282,46476,164
287,2373,742,257,46636,160
288,2452,742,210,46800,164
289,2471,766,280,46964,164
290,2398,768,330,47124,160
291,2473,758,182,47276,152
292,2552,760,231,47444,168
293,2564,768,257,47616,172
294,2578,748,262,47792,176
295,2445,750,389,47976,184
296,2483,738,233,48148,172
297,2414,726,334,48324,176
298,2390,736,288,48492,168
299,2365,722,297,48664,172
300,2396,722,221,48836,172
301,2304,730,357,49004,168
302,2286,742,284,49160,156
303,2320,738,219,49308,148
304,2386,764,213,49456,148
305,2394,770,295,49616,160
306,2440,766,248,49780,164
307,2484,742,231,49944,164
308,2570,738,194,50112,168
309,2593,738,263,50288,176
310,2590,722,291,50464,176
311,2586,730,290,50652,188
312,2549,724,305,50844,192
313,2580,712,236,51028,184
314,2493,720,351,51216,188
315,2516,728,265,51396,180
316,2484,750,335,51580,184
317,2511,740,251,51756,176
318,2415,744,362,51928,172
319,2457,738,252,52088,160
320,2465,742,275,52248,160
321,2451,712,266,52404,156
322,2366,714,339,52568,164
323,2453,732,187,52724,156
324,2432,718,300,52892,168
325,2368,746,352,53052,160
326,2377,730,248,53208,156
327,2308,714,353,53372,164
328,2385,720,191,53528,156
329,2421,704,237,53692,164
330,2473,716,219,53860,168
331,2523,702,192,54020,160
332,2489,742,281,54204,184
333,2499,754,271,54376,172
334,2543,782,250,54552,176
335,2534,762,290,54744,192
336,2586,780,248,54932,188
337,2506,766,354,55132,200
338,2484,808,308,55324,192
339,2414,788,337,55508,184
340,2430,786,294,55680,172
341,2414,792,285,55840,160
342,2407,782,293,55992,152
343,2315,736,335,56140,148
344,2332,744,235,56284,144
345,2361,736,233,56424,140
346,2409,770,240,56564,140
347,2416,798,289,56704,140
348,2460,814,275,56848,144
349,2529,794,251,56992,144
350,2529,784,293,57144,152
351,2443,754,336,57296,152
352,2404,754,295,57448,152
353,2473,750,235,57600,152
354,2512,734,248,57760,160
355,2602,728,185,57912,152
356,2488,734,397,58076,164
357,2496,764,270,58236,160
358,2534,770,252,58396,160
359,2535,766,285,58560,164
360,2454,750,334,58732,172
361,2462,726,268,58904,172
362,2441,726,309,59076,172
363,2449,724,272,59248,172
364,2451,742,279,59420,172
365,2468,746,244,59580,160
366,2477,752,279,59744,164
367,2481,778,272,59912,168
368,2511,774,268,60076,164
369,2579,784,222,60240,164
370,2620,788,263,60412,172
371,2669,796,263,60584,172
372,2739,790,244,60760,176
373,2801,790,253,60944,184
374,2762,780,327,61136,192
375,2783,746,226,61324,188
376,2737,764,354,61520,196
377,2738,774,296,61712,192
378,2648,760,388,61904,192
379,2630,784,323,62084,180
380,2643,814,317,62252,168
381,2621,818,331,62416,164
382,2647,790,289,62576,160
383,2676,792,270,62732,156
384,2691,776,297,62896,164
385,2700,758,277,63052,156
386,2659,734,339,63212,160
387,2749,742,208,63364,152
388,2785,744,249,63528,164
389,2572,748,453,63704,176
390,2605,748,250,63860,156
391,2690,748,228,64032,172
392,2641,768,359,64212,180
393,2673,760,291,64388,176
394,2682,802,303,64560,172
395,2690,816,318,64736,176
396,2768,804,250,64912,176
397,2793,816,260,65088,176
398,2880,836,248,65264,176
399,2960,834,220,65452,188
400,2916,820,350,65640,188
401,2827,816,398,65824,184
402,2847,818,322,66000,176
403,2840,810,337,66172,172
404,2820,818,320,66348,176
405,2817,838,315,66524,176
406,2710,818,415,66700,176
407,2810,824,210,66860,160
408,2750,822,368,67032,172
409,2840,892,251,67188,156
410,2948,888,222,67352,164
411,2740,826,517,67528,176
412,2648,844,419,67692,164
413,2737,840,261,67848,156
414,2792,848,279,68012,164
415,2761,830,364,68172,160
416,2871,830,219,68336,164
417,2851,806,328,68500,164
418,2869,818,294,68664,164
419,2882,808,256,68828,164
420,2849,800,343,68984,156
421,2945,806,241,69152,168
422,2929,778,323,69336,184
423,2900,798,342,69520,184
424,2834,794,359,69704,184
425,2790,774,312,69892,188
426,2757,794,333,70076,184
427,2767,778,277,70260,184
428,2710,762,339,70452,192
429,2677,766,302,70636,184
430,2701,784,283,70824,188
431,2631,774,353,71008,184
432,2635,764,272,71188,180
433,2612,790,328,71372,184
434,2641,794,266,71556,184
435,2725,812,239,71736,180
436,2779,804,244,71912,176
437,2808,824,264,72100,188
438,2831,822,286,72296,196
439,2811,820,311,72496,200
440,2641,782,467,72692,196
441,2696,762,236,72876,184
442,2671,754,305,73064,188
443,2523,732,437,73252,188
444,2559,730,261,73428,176
445,2449,742,407,73600,172
446,2559,740,191,73760,160
447,2613,726,237,73920,160
448,2564,740,335,74084,164
449,2618,776,237,74244,160
450,2624,778,277,74416,172
451,2632,802,303,74580,164
452,2649,780,287,74748,168
453,2638,782,305,74924,176
454,2611,768,295,75096,172
455,2637,762,271,75276,180
456,2612,744,308,75452,176
457,2584,770,337,75624,172
458,2652,776,248,75796,172
459,2734,794,269,75968,172
460,2716,782,345,76136,168
461,2691,772,331,76300,164
462,2783,774,215,76464,164
463,2670,802,404,76636,172
464,2730,820,270,76796,160
465,2829,822,206,76952,156
466,2855,814,284,77116,164
467,2931,810,238,77284,168
468,2977,808,274,77456,172
469,2960,822,367,77632,176
470,3015,824,268,77812,180
471,3046,822,310,78000,188
472,3064,838,307,78180,180
473,3062,800,310,78376,196
474,3089,820,306,78572,196
475,3083,778,304,78764,192
476,3027,776,372,78956,192
477,2961,762,379,79136,180
478,2903,744,340,79312,176
479,2774,726,410,79492,180
480,2699,750,367,79656,164
481,2618,726,360,79816,160
482,2506,724,390,79972,156
483,2566,722,246,80124,152
484,2511,744,335,80276,152
485,2536,766,299,80424,148
486,2475,758,365,80572,148
487,2567,754,214,80716,144
488,2558,762,325,80872,156
489,2568,784,298,81020,148
490,2710,762,193,81172,152
491,2744,746,259,81332,160
492,2730,762,308,81504,172
493,2849,750,203,81664,160
494,2907,762,252,81836,172
495,2915,770,301,82016,180
496,2985,778,264,82204,188
497,3041,790,276,82392,188
498,2857,804,490,82592,200
499,2950,804,269,82780,188
500,2971,790,298,82972,192
501,2999,818,332,83164,192
502,3062,806,254,83356,192
503,3123,800,275,83548,192
504,3141,806,315,83744,196
