step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
1,2392,4784,616,616,591,83.46444,83.46444,0,28942144,54441920,0
2,2445,4890,623,623,623,86.85096,170.3154,0,29271032,55648200,1847000
3,2469,4938,619,619,615,89.367876,259.683276,0,29083096,56194440,4006700
4,2401,4802,618,618,616,88.055148,347.738424,0,29036112,54646760,4288500
5,2489,4978,632,632,631,89.897544,437.635968,0,29693888,56649640,3468200
6,2714,5428,658,658,658,95.84822,533.484188,217120,30915472,61770640,2855500
7,2852,5704,675,675,673,99.580908,633.065096,228160,31714200,64911520,2635500
8,2837,5674,672,672,670,98.366148,731.431244,226960,31573248,64570120,1904700
9,2809,5618,697,697,697,98.7636,830.194844,224720,32747848,63932840,1763400
10,2728,5456,681,681,681,95.88284,926.077684,218240,31996104,62089280,1486600
11,2658,5316,678,678,678,93.81438,1019.892064,212640,31855152,60496080,1158300
12,2645,5290,653,653,653,92.12856,1112.020624,211600,30680552,60200200,947400
13,2570,5140,638,638,638,89.83176,1201.852384,205600,29975792,58493200,1070400
14,2448,4896,618,618,618,86.02468,1287.877064,195840,29036112,55716480,992200
15,2515,5030,651,651,649,89.248448,1377.125512,201200,30586584,57241400,1131000
16,2476,4952,673,673,673,89.22,1466.345512,198080,31620232,56353760,956400
17,2669,5338,690,690,690,94.26826,1560.613772,213520,32418960,60746440,795500
18,2887,5774,716,716,716,100.7189,1661.332672,230960,33640544,65708120,1041900
19,2923,5846,692,692,692,100.24526,1761.577932,233840,32512928,66527480,876900
20,2937,5874,697,697,697,101.00512,1862.583052,234960,32747848,66846120,1081400
21,2834,5668,689,689,687,97.965268,1960.54832,226720,32371976,64501840,771300
22,2758,5516,667,667,665,94.941488,2055.489808,220640,31338328,62772080,520000
23,2819,5638,678,678,678,97.17462,2152.664428,225520,31855152,64160440,841300
24,3034,6068,683,683,683,102.32272,2254.987148,242720,32090072,69053840,843200
25,3114,6228,696,696,694,104.699908,2359.687056,249120,32700864,70874640,780900
26,3155,6310,696,696,696,105.58192,2465.268976,252400,32700864,71807800,726200
27,3435,6870,707,707,707,112.54364,2577.812616,274800,33217688,78180600,774400
28,3277,6554,710,710,710,109.22698,2687.039596,262160,33358640,74584520,925100
29,3469,6938,699,699,699,112.96754,2800.007136,277520,32841816,78954440,798700
30,3363,6726,687,687,687,109.94866,2909.955796,269040,32278008,76541880,766300
31,3345,6690,701,701,701,110.30922,3020.265016,267600,32935784,76132200,878300
32,3188,6376,748,748,748,108.96658,3129.231596,255040,35144032,72558880,906900
33,3061,6122,755,755,753,106.318968,3235.550564,244880,35472920,69668360,830400
34,3182,6364,740,740,738,108.081308,3343.631872,254560,34768160,72422320,535900
35,3241,6482,753,753,753,110.1311,3453.762972,259280,35378952,73765160,625300
36,3437,6874,774,774,772,115.733488,3569.49646,274960,36365616,78226120,761800
37,3581,7162,813,813,813,121.0074,3690.50386,286480,38197992,81503560,908800
38,3496,6992,808,808,808,118.5184,3809.02226,279680,37963072,79568960,596800
39,3434,6868,806,806,806,117.11948,3926.14174,274720,37869104,78157840,708200
40,3331,6662,783,783,783,113.5584,4039.70014,266480,36788472,75813560,583400
41,3788,7576,814,814,814,126.0851,4165.78524,303040,38244976,86214880,1211500
42,3805,7610,804,804,804,125.47548,4291.26072,304400,37775136,86601800,684800
43,3852,7704,812,812,808,126.791576,4418.052296,308160,38151008,87671520,551000
44,4061,8122,811,811,811,131.54426,4549.596556,324880,38104024,92428360,576700
45,4226,8452,833,833,832,136.416164,4686.01272,338080,39137672,96183760,643500
46,4392,8784,858,858,858,141.40264,4827.41536,351360,40312272,99961920,660400
47,4462,8924,868,868,868,143.66214,4971.0775,356960,40782112,101555120,849900
48,4511,9022,872,872,872,145.06558,5116.14308,360880,40970048,102670360,945700
49,4231,8462,871,871,871,138.23936,5254.38244,338480,40923064,96297560,561800
50,4357,8714,842,842,842,139.87312,5394.25556,348560,39560528,99165320,684200
51,4481,8962,812,812,812,141.06038,5535.31594,358480,38151008,101987560,452900
52,4400,8800,796,796,796,138.36412,5673.68006,352000,37399264,100144000,360600
53,4341,8682,808,808,806,137.576428,5811.256488,347280,37963072,98801160,355300
54,4185,8370,807,807,807,134.04424,5945.300728,334800,37916088,95250600,433000
55,4303,8606,845,845,845,138.76892,6084.069648,344240,39701480,97936280,672000
56,4436,8872,854,854,854,142.11222,6226.181868,354880,40124336,100963360,553500
57,4746,9492,877,877,877,150.53958,6376.721448,379680,41204968,108018960,816700
58,5132,10264,898,898,898,160.35824,6537.079688,410560,42191632,116804320,829600
59,5384,10768,890,890,890,165.49746,6702.577148,430720,41815760,122539840,590100
60,5477,10954,888,888,888,167.36054,6869.937688,438160,41721792,124656520,423300
61,5747,11494,897,897,897,173.97012,7043.907808,459760,42144648,130801720,442000
62,5591,11182,898,898,896,170.431628,7214.339436,447280,42191632,127251160,419700
63,5443,10886,908,908,908,167.54928,7381.888716,435440,42661472,123882680,446200
64,5218,10436,919,919,919,163.0968,7544.985516,417440,43178296,118761680,614400
65,4486,8972,902,902,902,145.49878,7690.484296,358880,42379568,102101360,536300
66,3998,7996,856,856,856,132.34084,7822.825136,319840,40218304,90994480,691800
67,3965,7930,823,823,823,129.91396,7952.739096,317200,38667832,90243400,573600
68,3623,7246,770,770,770,119.44412,8072.183216,289840,36177680,82459480,412400
69,3533,7066,748,748,748,116.20518,8188.388396,282640,35144032,80411080,265700
70,3644,7288,751,751,751,118.90308,8307.291476,291520,35284984,82937440,287000
71,3756,7512,736,736,734,120.709188,8428.000664,300480,34580224,85486560,242100
72,3767,7534,743,743,737,121.443424,8549.444088,301360,34909112,85736920,395800
73,3793,7586,743,743,743,121.92438,8671.368468,303440,34909112,86328680,282100
