step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,65.34734725952148,65.34734725952148,1,2,1,1,2,0,2,-105.0,70.5,-47.5,192878,0,32,1,0,0,5.0,289160,0.28916,nan,0.28916,nan,1,0,289160,2,0,0,1,0,0,0,0,0,0,1,0,0,0
3,-47.5,57.5,4,2,0,0.0,0.0,0,0.0,57.5,2,562500.0,42.558376512405246,41.25456584793081,2,4,2,2,4,0,4,-105.0,70.5,-47.5,192878,0,32,2,0,0,5.0,578584,0.867744,nan,0.578584,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,0,0,2
4,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,3,562500.0,63.281057357788086,61.851173400878906,3,6,3,2,6,0,5,-105.0,70.5,-47.5,192878,2,32,3,2,3,5.0,578920,1.446664,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
5,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,4,562500.0,35.26369483476647,33.7874662868757,5,10,4,2,10,0,6,-105.0,70.5,-47.5,192878,2,32,5,2,5,5.0,578920,2.025584,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
6,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,4,562500.0,34.929808364527325,33.76231748755406,5,10,4,2,10,0,6,-105.0,70.5,-47.5,192878,2,32,5,2,5,5.0,578920,2.604504,nan,0.57892,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,336,2,2
7,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,4,562500.0,37.518657503217526,35.188515955702904,5,10,4,2,10,0,6,-105.0,70.5,-47.5,192878,4,32,5,2,5,5.0,579256,3.18376,nan,0.579256,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,672,4,2
8,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,4,562500.0,62.39959526062012,61.6594123840332,5,10,4,2,10,0,6,-105.0,70.5,-47.5,192878,6,32,5,2,5,5.0,579592,3.763352,nan,0.579592,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,1008,6,2
9,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,5,562500.0,43.21528712860146,20.570864032999815,6,12,5,3,12,0,8,-105.0,70.5,-47.5,192878,3,32,6,2,4,5.0,868380,4.631732,nan,0.86838,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,504,3,3
10,-47.5,57.5,8,4,0,0.0,0.0,0,0.0,57.5,4,562500.0,61.194875717163086,60.5091552734375,4,8,4,3,8,0,7,-105.0,70.5,-47.5,192878,4,32,4,3,4,5.0,868548,5.50028,nan,0.868548,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,672,4,3
