step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.1_train_updates,train_updates_this_step
1,349,684,0,0,0
2,674,694,0,0,0
3,991,682,12,0,0
4,1338,676,0,0,0
5,1622,676,29,0,0
6,1923,688,24,0,0
7,2247,686,24,0,0
8,2533,714,68,0,0
9,2793,712,89,0,0
10,3140,738,39,0,0
11,3127,762,395,0,0
12,3104,784,383,4,4
13,3226,790,256,4,0
14,3353,792,261,4,0
15,3418,804,348,8,4
16,3551,836,288,8,0
17,3616,830,338,12,4
18,3655,822,351,20,8
19,3718,830,345,60,40
20,3818,828,303,128,68
21,3810,832,395,232,104
22,3908,834,311,360,128
23,3950,824,354,520,160
24,4013,820,303,680,160
25,3948,846,428,848,168
26,3669,824,594,1024,176
27,3668,806,409,1204,180
28,3640,800,408,1388,184
29,3393,792,590,1580,192
30,3466,794,297,1760,180
31,3466,814,382,1944,184
32,3393,804,433,2120,176
33,3300,808,476,2296,176
34,3409,834,310,2456,160
35,3494,846,304,2624,168
36,3503,878,380,2804,180
37,3438,864,471,2980,176
38,3558,844,303,3152,172
39,3679,842,285,3336,184
40,3783,840,287,3520,184
41,3812,840,348,3712,192
42,3839,830,366,3908,196
43,3815,822,399,4116,208
44,3752,802,421,4316,200
45,3729,786,378,4520,204
46,3747,776,324,4724,204
47,3642,752,444,4940,216
48,3604,772,425,5156,216
49,3549,790,434,5368,212
50,3526,792,390,5572,204
51,3218,786,634,5768,196
52,3207,784,363,5944,176
53,3187,794,382,6128,184
54,3192,774,353,6312,184
55,3266,772,297,6492,180
56,3024,756,560,6672,180
57,2992,774,377,6840,168
58,3047,776,311,7000,160
59,2929,768,445,7160,160
60,2911,766,364,7312,152
61,2840,782,406,7472,160
62,2978,766,241,7624,152
63,2916,776,393,7780,156
64,3082,774,241,7928,148
65,2991,756,414,8076,148
66,3082,760,268,8220,144
67,3003,768,413,8376,156
68,3126,778,237,8520,144
69,3028,764,433,8684,164
70,3100,762,290,8840,156
71,3127,760,299,9008,168
72,3125,754,328,9176,168
73,3107,756,357,9352,176
74,3166,754,290,9520,168
75,3097,758,416,9704,184
76,3120,768,314,9880,176
77,3163,784,311,10064,184
78,3134,782,390,10244,180
79,3158,778,331,10432,188
80,3241,772,288,10620,188
81,3247,772,355,10812,192
82,3258,762,321,11000,188
83,3260,762,358,11196,196
84,3341,750,277,11380,184
85,3286,740,413,11576,196
86,3296,728,318,11768,192
87,3302,730,343,11960,192
88,3196,744,419,12160,200
89,3211,750,341,12356,196
90,3128,770,437,12548,192
91,3028,778,443,12736,188
92,3040,772,349,12908,172
93,3041,764,338,13084,176
94,3066,784,345,13256,172
95,3113,772,321,13428,172
96,3239,778,233,13600,172
97,3225,772,370,13776,176
98,3296,776,291,13952,176
99,3337,766,317,14128,176
100,3376,784,348,14312,184
101,3282,784,455,14508,196
102,3354,786,298,14696,188
103,3278,758,420,14888,192
104,3266,772,342,15076,188
105,3293,788,318,15260,184
106,3265,780,383,15444,184
107,3357,780,297,15628,184
108,3381,776,330,15816,188
109,3254,796,479,16004,188
110,3178,796,433,16184,180
111,3111,766,399,16368,184
112,3051,756,400,16540,172
113,3113,764,308,16716,176
114,3077,766,377,16892,176
115,3113,762,317,17060,168
116,3103,768,348,17232,172
117,2932,742,470,17396,164
118,3059,750,221,17548,152
119,2919,752,467,17720,172
120,3029,752,252,17884,164
121,3090,766,281,18052,168
122,3101,756,319,18232,180
123,3119,756,334,18408,176
124,2969,784,495,18592,184
125,3097,788,244,18756,164
126,3100,774,351,18928,172
127,3160,782,292,19112,184
128,3177,780,349,19292,180
129,3163,836,366,19480,188
130,3071,812,424,19656,176
131,3044,812,357,19824,168
132,2838,814,529,19992,168
133,2941,808,254,20132,140
134,2814,800,453,20288,156
135,2928,824,250,20428,140
136,2995,820,288,20576,148
137,3006,806,339,20720,144
138,3110,812,242,20864,144
139,3149,824,348,21012,148
140,3245,832,266,21168,156
141,3224,808,362,21332,164
