step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
13,t2_b0.1,50,9,22,0,
13,t2_b0.1,51,1,10,0,
13,t2_b0.1,53,6,16,0,
13,t2_b0.1,55,7,22,0,
13,t2_b0.1,57,4,10,0,
14,t2_b0.1,0,7,32,0,
14,t2_b0.1,1,5,14,0,
14,t2_b0.1,2,4,18,0,
14,t2_b0.1,3,1,20,0,
14,t2_b0.1,4,6,21,0,
14,t2_b0.1,6,2,11,0,
14,t2_b0.1,7,1,9,0,
14,t2_b0.1,8,3,12,0,
14,t2_b0.1,10,7,24,0,
14,t2_b0.1,11,6,25,0,
14,t2_b0.1,12,6,14,0,
14,t2_b0.1,14,8,29,0,
14,t2_b0.1,15,6,32,0,
14,t2_b0.1,16,5,22,0,
14,t2_b0.1,18,8,20,0,
14,t2_b0.1,19,4,18,0,
14,t2_b0.1,20,5,18,0,
14,t2_b0.1,21,7,28,0,
14,t2_b0.1,23,8,30,0,
14,t2_b0.1,24,6,27,0,
14,t2_b0.1,25,10,37,0,
14,t2_b0.1,27,7,32,0,
14,t2_b0.1,28,6,23,0,
14,t2_b0.1,30,4,22,0,
14,t2_b0.1,31,6,17,0,
14,t2_b0.1,32,7,27,0,
14,t2_b0.1,33,8,23,0,
14,t2_b0.1,35,4,24,0,
14,t2_b0.1,36,4,18,0,
14,t2_b0.1,37,5,30,0,
14,t2_b0.1,38,6,13,0,
14,t2_b0.1,39,8,34,0,
14,t2_b0.1,40,3,25,0,
14,t2_b0.1,41,6,21,0,
14,t2_b0.1,42,7,25,0,
14,t2_b0.1,43,6,28,0,
14,t2_b0.1,45,10,31,0,
14,t2_b0.1,46,7,25,0,
14,t2_b0.1,47,6,21,0,
14,t2_b0.1,48,8,25,0,
14,t2_b0.1,50,6,28,0,
14,t2_b0.1,51,2,12,0,
14,t2_b0.1,53,4,20,0,
14,t2_b0.1,55,7,29,0,
14,t2_b0.1,57,9,19,0,
15,t2_b0.1,0,7,39,0,
15,t2_b0.1,1,6,20,0,
15,t2_b0.1,2,3,21,0,
15,t2_b0.1,3,2,22,0,
15,t2_b0.1,4,5,26,0,
15,t2_b0.1,6,1,12,0,
15,t2_b0.1,7,3,12,0,
15,t2_b0.1,8,1,13,0,
15,t2_b0.1,10,5,29,0,
15,t2_b0.1,11,6,31,0,
15,t2_b0.1,12,5,19,0,
15,t2_b0.1,14,5,34,0,
15,t2_b0.1,15,9,41,0,
15,t2_b0.1,16,66,88,4,1.0540454387664795
15,t2_b0.1,18,5,25,0,
15,t2_b0.1,19,2,20,0,
15,t2_b0.1,20,36,54,0,
15,t2_b0.1,21,8,36,0,
15,t2_b0.1,23,6,36,0,
15,t2_b0.1,24,9,36,0,
15,t2_b0.1,25,7,44,0,
15,t2_b0.1,26,3,18,0,
15,t2_b0.1,27,7,39,0,
15,t2_b0.1,28,6,29,0,
15,t2_b0.1,30,7,29,0,
15,t2_b0.1,31,4,21,0,
15,t2_b0.1,32,9,36,0,
15,t2_b0.1,33,3,26,0,
15,t2_b0.1,35,6,30,0,
15,t2_b0.1,36,4,22,0,
15,t2_b0.1,37,10,40,0,
15,t2_b0.1,38,4,17,0,
15,t2_b0.1,39,6,40,0,
15,t2_b0.1,40,7,32,0,
15,t2_b0.1,41,5,26,0,
15,t2_b0.1,42,7,32,0,
15,t2_b0.1,43,7,35,0,
15,t2_b0.1,45,6,37,0,
15,t2_b0.1,46,5,30,0,
15,t2_b0.1,47,7,28,0,
15,t2_b0.1,48,6,31,0,
15,t2_b0.1,50,4,32,0,
15,t2_b0.1,51,3,15,0,
15,t2_b0.1,53,5,25,0,
15,t2_b0.1,55,7,36,0,
15,t2_b0.1,57,7,26,0,
15,t2_b0.1,58,6,20,0,
16,t2_b0.1,0,7,46,0,
16,t2_b0.1,1,4,24,0,
16,t2_b0.1,2,6,27,0,
16,t2_b0.1,3,2,24,0,
16,t2_b0.1,4,4,30,0,
16,t2_b0.1,6,5,17,0,
16,t2_b0.1,7,4,16,0,
16,t2_b0.1,10,8,37,0,
16,t2_b0.1,11,8,39,0,
16,t2_b0.1,12,9,28,0,
16,t2_b0.1,14,7,41,0,
16,t2_b0.1,15,5,46,0,
16,t2_b0.1,18,6,31,0,
16,t2_b0.1,19,1,21,0,
16,t2_b0.1,21,6,42,0,
16,t2_b0.1,23,5,41,0,
16,t2_b0.1,24,6,42,0,
16,t2_b0.1,25,8,52,0,
16,t2_b0.1,26,32,50,0,
16,t2_b0.1,27,9,48,0,
16,t2_b0.1,28,9,38,0,
16,t2_b0.1,29,8,32,0,
16,t2_b0.1,30,8,37,0,
16,t2_b0.1,31,5,26,0,
16,t2_b0.1,32,6,42,0,
16,t2_b0.1,33,5,31,0,
16,t2_b0.1,35,6,36,0,
16,t2_b0.1,36,2,24,0,
16,t2_b0.1,37,8,48,0,
16,t2_b0.1,38,6,23,0,
16,t2_b0.1,39,6,46,0,
16,t2_b0.1,40,7,39,0,
16,t2_b0.1,41,6,32,0,
16,t2_b0.1,42,7,39,0,
16,t2_b0.1,43,5,40,0,
16,t2_b0.1,45,4,41,0,
16,t2_b0.1,46,3,33,0,
16,t2_b0.1,47,5,33,0,
16,t2_b0.1,48,5,36,0,
16,t2_b0.1,50,8,40,0,
16,t2_b0.1,51,7,22,0,
16,t2_b0.1,53,4,29,0,
16,t2_b0.1,55,8,44,0,
16,t2_b0.1,57,4,30,0,
16,t2_b0.1,58,4,24,0,
17,t2_b0.1,0,7,53,0,
17,t2_b0.1,1,4,28,0,
17,t2_b0.1,2,7,34,0,
17,t2_b0.1,3,4,28,0,
17,t2_b0.1,4,5,35,0,
17,t2_b0.1,6,7,24,0,
17,t2_b0.1,7,2,18,0,
17,t2_b0.1,8,3,16,0,
17,t2_b0.1,10,8,45,0,
17,t2_b0.1,11,4,43,0,
17,t2_b0.1,12,7,35,0,
17,t2_b0.1,14,9,50,0,
17,t2_b0.1,15,6,52,0,
17,t2_b0.1,18,9,40,0,
17,t2_b0.1,19,4,25,0,
17,t2_b0.1,21,6,48,0,
17,t2_b0.1,23,5,46,0,
17,t2_b0.1,24,9,51,0,
17,t2_b0.1,25,8,60,0,
17,t2_b0.1,27,4,52,0,
17,t2_b0.1,28,8,46,0,
17,t2_b0.1,29,7,39,0,
17,t2_b0.1,30,7,44,0,
17,t2_b0.1,31,5,31,0,
17,t2_b0.1,32,67,109,4,1.105812668800354
17,t2_b0.1,33,5,36,0,
17,t2_b0.1,35,4,40,0,
17,t2_b0.1,36,9,33,0,
17,t2_b0.1,37,10,58,0,
17,t2_b0.1,38,2,25,0,
17,t2_b0.1,39,6,52,0,
17,t2_b0.1,40,8,47,0,
17,t2_b0.1,41,7,39,0,
17,t2_b0.1,42,6,45,0,
17,t2_b0.1,43,7,47,0,
17,t2_b0.1,45,9,50,0,
17,t2_b0.1,46,2,35,0,
17,t2_b0.1,47,5,38,0,
17,t2_b0.1,48,6,42,0,
17,t2_b0.1,50,7,47,0,
17,t2_b0.1,51,1,23,0,
17,t2_b0.1,53,8,37,0,
17,t2_b0.1,54,6,30,0,
17,t2_b0.1,55,6,50,0,
17,t2_b0.1,57,7,37,0,
17,t2_b0.1,58,5,29,0,
18,t2_b0.1,0,8,61,0,
18,t2_b0.1,1,4,32,0,
18,t2_b0.1,2,6,40,0,
18,t2_b0.1,3,4,32,0,
18,t2_b0.1,4,7,42,0,
18,t2_b0.1,6,3,27,0,
18,t2_b0.1,7,3,21,0,
18,t2_b0.1,8,3,19,0,
18,t2_b0.1,10,6,51,0,
18,t2_b0.1,11,7,50,0,
18,t2_b0.1,12,8,43,0,
18,t2_b0.1,14,7,57,0,
18,t2_b0.1,15,10,62,0,
18,t2_b0.1,18,6,46,0,
18,t2_b0.1,19,3,28,0,
18,t2_b0.1,21,10,58,0,
18,t2_b0.1,23,7,53,0,
18,t2_b0.1,24,9,60,0,
18,t2_b0.1,25,9,69,4,0.8764007091522217
18,t2_b0.1,27,9,61,0,
18,t2_b0.1,28,7,53,0,
18,t2_b0.1,29,8,47,0,
18,t2_b0.1,30,5,49,0,
18,t2_b0.1,31,5,36,0,
18,t2_b0.1,33,8,44,0,
18,t2_b0.1,35,6,46,0,
18,t2_b0.1,36,7,40,0,
18,t2_b0.1,37,66,124,4,0.7488310933113098
18,t2_b0.1,38,5,30,0,
18,t2_b0.1,39,8,60,0,
18,t2_b0.1,40,8,55,0,
18,t2_b0.1,41,6,45,0,
18,t2_b0.1,42,8,53,0,
18,t2_b0.1,43,6,53,0,
18,t2_b0.1,45,5,55,0,
18,t2_b0.1,46,4,39,0,
18,t2_b0.1,47,3,41,0,
18,t2_b0.1,48,5,47,0,
18,t2_b0.1,50,5,52,0,
18,t2_b0.1,51,5,28,0,
18,t2_b0.1,53,5,42,0,
18,t2_b0.1,54,8,38,0,
18,t2_b0.1,55,9,59,0,
18,t2_b0.1,56,2,37,0,
18,t2_b0.1,57,4,41,0,
18,t2_b0.1,58,6,35,0,
18,t2_b0.1,59,8,41,0,
19,t2_b0.1,0,9,70,4,0.40517619252204895
19,t2_b0.1,1,5,37,0,
19,t2_b0.1,2,55,95,4,2.6581733226776123
19,t2_b0.1,3,1,33,0,
19,t2_b0.1,4,9,51,0,
19,t2_b0.1,6,5,32,0,
19,t2_b0.1,7,2,23,0,
19,t2_b0.1,8,6,25,0,
19,t2_b0.1,10,4,55,0,
19,t2_b0.1,11,5,55,0,
19,t2_b0.1,12,8,51,0,
19,t2_b0.1,13,6,49,0,
19,t2_b0.1,14,8,65,4,1.106296181678772
19,t2_b0.1,15,8,70,4,0.6967586278915405
19,t2_b0.1,17,5,51,0,
19,t2_b0.1,18,4,50,0,
19,t2_b0.1,19,4,32,0,
19,t2_b0.1,21,8,66,4,1.7624988555908203
19,t2_b0.1,23,8,61,0,
19,t2_b0.1,24,8,68,4,0.6982045769691467
19,t2_b0.1,25,7,76,8,0.9409210085868835
19,t2_b0.1,27,12,73,4,0.9680556654930115
19,t2_b0.1,28,5,58,0,
19,t2_b0.1,29,11,58,0,
19,t2_b0.1,30,11,60,0,
19,t2_b0.1,31,6,42,0,
19,t2_b0.1,33,7,51,0,
19,t2_b0.1,35,4,50,0,
19,t2_b0.1,36,8,48,0,
19,t2_b0.1,38,4,34,0,
19,t2_b0.1,39,4,64,4,1.0670617818832397
19,t2_b0.1,40,6,61,0,
19,t2_b0.1,41,4,49,0,
19,t2_b0.1,42,8,61,0,
19,t2_b0.1,43,10,63,0,
19,t2_b0.1,45,6,61,0,
19,t2_b0.1,46,5,44,0,
19,t2_b0.1,47,1,42,0,
19,t2_b0.1,48,4,51,0,
19,t2_b0.1,50,4,56,0,
19,t2_b0.1,51,5,33,0,
19,t2_b0.1,53,5,47,0,
19,t2_b0.1,54,9,47,0,
19,t2_b0.1,55,8,67,4,0.9074305295944214
19,t2_b0.1,56,5,42,0,
19,t2_b0.1,57,8,49,0,
19,t2_b0.1,58,5,40,0,
19,t2_b0.1,59,5,46,0,
20,t2_b0.1,0,8,78,8,0.40373027324676514
20,t2_b0.1,1,8,45,0,
20,t2_b0.1,3,8,41,0,
20,t2_b0.1,4,9,60,0,
20,t2_b0.1,6,5,37,0,
20,t2_b0.1,7,4,27,0,
20,t2_b0.1,8,3,28,0,
20,t2_b0.1,10,8,63,0,
20,t2_b0.1,11,7,62,0,
20,t2_b0.1,12,8,59,0,
20,t2_b0.1,13,6,55,0,
20,t2_b0.1,14,9,74,8,0.991461455821991
20,t2_b0.1,15,8,78,8,0.5929874181747437
20,t2_b0.1,17,3,54,0,
20,t2_b0.1,18,5,55,0,
20,t2_b0.1,19,4,36,0,
20,t2_b0.1,21,7,73,8,1.2022336721420288
20,t2_b0.1,22,8,47,0,
20,t2_b0.1,23,4,65,4,0.8995530605316162
20,t2_b0.1,24,8,76,8,0.6527127623558044
20,t2_b0.1,25,7,83,12,0.843377411365509
20,t2_b0.1,27,6,79,8,1.028618574142456
20,t2_b0.1,28,8,66,4,2.530364990234375
20,t2_b0.1,29,7,65,4,28.126625061035156
20,t2_b0.1,30,8,68,4,1.7470653057098389
20,t2_b0.1,31,7,49,0,
20,t2_b0.1,33,6,57,0,
20,t2_b0.1,35,6,56,0,
20,t2_b0.1,36,6,54,0,
20,t2_b0.1,38,6,40,0,
20,t2_b0.1,39,11,75,8,1.806349754333496
20,t2_b0.1,40,3,64,4,1.4874017238616943
20,t2_b0.1,41,6,55,0,
20,t2_b0.1,42,10,71,4,3.1775741577148438
20,t2_b0.1,43,8,71,4,0.8254565596580505
20,t2_b0.1,45,4,65,4,1.037248134613037
20,t2_b0.1,46,4,48,0,
20,t2_b0.1,48,6,57,0,
20,t2_b0.1,50,3,59,0,
20,t2_b0.1,51,5,38,0,
