step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,snr_min_db,t2_b0.1_comm_bytes,t2_b0.1_comm_cumulative_mb,t2_b0.1_comm_cumulative_vs_greedy_ratio,t2_b0.1_comm_mb,t2_b0.1_comm_vs_greedy_ratio,t2_b0.1_events,t2_b0.1_merge_metadata_bytes,t2_b0.1_metadata_bytes,t2_b0.1_model_bytes,t2_b0.1_policy_model_bytes,t2_b0.1_selected_providers
1,-100.0,5.0,684,342,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53329992,53.329992,nan,53.329992,nan,349,2792,474012,50223892,2629296,349
2,-100.0,5.0,694,347,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49921378,103.25137,nan,49.921378,nan,325,2600,480942,46770100,2667736,325
3,-100.0,5.0,682,341,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,52313506,155.564876,nan,52.313506,nan,342,2736,472626,49216536,2621608,342
4,-100.0,5.0,676,338,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,53005864,208.57074,nan,53.005864,nan,347,2776,468468,49936076,2598544,347
5,-100.0,5.0,676,338,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,49983628,258.554368,nan,49.983628,nan,326,2608,468468,46914008,2598544,326
6,-100.0,5.0,688,344,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,50613736,309.168104,nan,50.613736,nan,330,2640,476784,47489640,2644672,330
7,-100.0,5.0,686,343,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,54058646,363.22675,nan,54.058646,nan,354,2832,475398,50943432,2636984,354
8,-100.0,5.0,714,357,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56200506,419.427256,nan,56.200506,nan,368,2944,494802,52958144,2744616,368
9,-100.0,5.0,712,356,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,56047516,475.474772,nan,56.047516,nan,367,2936,493416,52814236,2736928,367
10,-100.0,5.0,738,369,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59907294,535.382066,nan,59.907294,nan,393,3144,511434,56555844,2836872,393
11,-100.0,5.0,762,381,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60160098,595.542164,nan,60.160098,nan,394,3152,528066,56699752,2929128,394
12,-100.0,5.0,784,392,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58245088,653.787252,nan,58.245088,nan,380,3040,543312,54685040,3013696,380
13,-100.0,5.0,790,395,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57984478,711.77173,nan,57.984478,nan,378,3024,547470,54397224,3036760,378
14,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,59432712,771.204442,nan,59.432712,nan,388,3104,548856,55836304,3044448,388
15,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64524216,835.728658,nan,64.524216,nan,423,3384,557172,60873084,3090576,423
16,-100.0,5.0,836,418,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64525484,900.254142,nan,64.525484,nan,422,3376,579348,60729176,3213584,422
17,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,62915186,963.169328,nan,62.915186,nan,411,3288,575190,59146188,3190520,411
18,-100.0,5.0,822,411,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61871478,1025.040806,nan,61.871478,nan,404,3232,569646,58138832,3159768,404
19,-100.0,5.0,830,415,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64354346,1089.395152,nan,64.354346,nan,421,3368,575190,60585268,3190520,421
20,-100.0,5.0,828,414,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63337860,1152.733012,nan,63.33786,nan,414,3312,573804,59577912,3182832,414
21,-100.0,5.0,832,416,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,63068176,1215.801188,nan,63.068176,nan,412,3296,576576,59290096,3198208,412
22,-100.0,5.0,834,417,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,65955570,1281.756758,nan,65.95557,nan,432,3456,577962,62168256,3205896,432
23,-100.0,5.0,824,412,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64902788,1346.659546,nan,64.902788,nan,425,3400,571032,61160900,3167456,425
24,-100.0,5.0,820,410,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61718488,1408.378034,nan,61.718488,nan,403,3224,568260,57994924,3152080,403
25,-100.0,5.0,846,423,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64714770,1473.092804,nan,64.71477,nan,423,3384,586278,60873084,3252024,423
26,-100.0,5.0,824,412,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,58570484,1531.663288,nan,58.570484,nan,381,3048,571032,54828948,3167456,381
27,-100.0,5.0,806,403,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,64533290,1596.196578,nan,64.53329,nan,423,3384,558558,60873084,3098264,423
28,-100.0,5.0,800,400,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,61196000,1657.392578,nan,61.196,nan,400,3200,554400,57563200,3075200,400
29,-100.0,5.0,792,396,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57705720,1715.098298,nan,57.70572,nan,376,3008,548856,54109408,3044448,376
30,-100.0,5.0,794,397,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57426962,1772.52526,nan,57.426962,nan,374,2992,550242,53821592,3052136,374
31,-100.0,5.0,814,407,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,60108190,1832.63345,nan,60.10819,nan,392,3136,564102,56411936,3129016,392
32,-100.0,5.0,804,402,0,0.0,0.0,0,1.0,-105.0,123.0,-100.0,5.0,57472332,1890.105782,nan,57.472332,nan,374,2992,557172,53821592,3090576,374
