step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0.25_train_updates,train_updates_this_step
1,337,686,0,0,0
2,648,690,0,0,0
3,969,690,4,0,0
4,1311,698,0,0,0
5,1643,714,18,0,0
6,1964,716,26,0,0
7,2220,724,80,0,0
8,2504,718,43,0,0
9,2774,708,79,0,0
10,3080,720,68,0,0
11,3160,722,288,0,0
12,3195,694,313,4,4
13,3227,700,305,4,0
14,3237,714,319,8,4
15,3188,722,383,16,8
16,3238,748,332,20,4
17,3231,782,371,28,8
18,3221,798,400,48,20
19,3244,848,360,104,56
20,3376,842,298,164,60
21,3454,830,344,252,88
22,3312,778,492,376,124
23,3437,776,233,512,136
24,3486,778,279,656,144
25,3610,828,239,812,156
26,3635,846,292,972,160
27,3729,856,243,1128,156
28,3652,850,388,1300,172
29,3704,854,285,1476,176
30,3707,874,316,1652,176
31,3555,872,475,1832,180
32,3551,880,336,2024,192
33,3504,938,397,2204,180
34,3478,896,345,2372,168
35,3382,884,432,2532,160
36,3488,870,230,2688,156
37,3432,846,361,2856,168
38,3462,870,305,3012,156
39,3442,870,340,3168,156
40,3560,872,226,3316,148
41,3566,860,330,3488,172
42,3497,880,416,3660,172
43,3517,886,324,3832,172
44,3538,906,353,4012,180
45,3618,904,312,4192,180
46,3650,904,324,4368,176
47,3620,886,374,4548,180
48,3618,924,386,4732,184
49,3627,904,345,4908,176
50,3500,954,468,5084,176
51,3631,964,245,5244,160
52,3622,916,305,5412,168
53,3660,976,289,5572,160
54,3485,906,456,5736,164
55,3339,894,435,5880,144
56,3418,898,217,6016,136
57,3447,888,255,6164,148
58,3342,836,326,6304,140
59,3275,800,295,6428,124
60,3059,758,442,6572,144
61,3062,760,264,6716,144
62,3145,762,203,6860,144
63,3101,768,335,7020,160
64,3116,786,329,7180,160
65,3136,792,323,7352,172
66,3048,806,424,7528,176
67,2996,804,410,7700,172
68,2951,770,358,7876,176
69,2934,754,355,8040,164
70,2932,746,328,8216,176
71,2960,748,286,8388,172
72,2969,740,317,8556,168
73,3069,746,235,8724,168
74,2974,732,394,8900,176
75,2923,726,355,9072,172
76,2996,720,245,9244,172
77,2776,728,531,9428,184
78,2881,732,238,9600,172
79,2792,738,416,9780,180
80,2672,702,395,9956,176
81,2730,714,253,10120,164
82,2724,708,329,10288,168
83,2798,724,240,10448,160
84,2842,730,264,10612,164
85,2869,738,300,10780,168
86,2764,740,386,10944,164
87,2732,740,329,11112,168
88,2794,750,234,11272,160
89,2711,746,417,11448,176
90,2775,736,255,11616,168
91,2732,742,337,11784,168
92,2694,738,350,11956,172
93,2724,730,278,12116,160
94,2670,716,346,12276,160
95,2668,718,298,12432,156
96,2771,712,214,12596,164
97,2725,732,329,12768,172
98,2751,738,289,12928,160
99,2716,768,355,13096,168
100,2814,760,226,13256,160
101,2882,760,259,13428,172
102,2939,772,286,13604,176
103,2983,784,304,13784,180
104,2838,764,438,13976,192
105,2947,762,231,14152,176
106,2934,768,326,14328,176
107,2843,760,415,14508,180
108,2795,774,366,14680,172
109,2737,764,370,14852,172
110,2641,738,409,15012,160
111,2663,716,261,15160,148
112,2685,718,276,15308,148
113,2714,734,301,15456,148
114,2770,764,251,15616,160
115,2780,776,327,15768,152
116,2900,782,196,15920,152
117,2856,772,341,16088,168
118,2924,782,272,16256,168
119,2780,748,426,16440,184
120,2760,738,313,16624,184
121,2824,730,228,16796,172
122,2865,724,262,16972,176
123,2655,714,498,17156,184
124,2700,702,235,17320,164
125,2741,814,286,17500,180
126,2788,828,273,17672,172
127,2882,832,267,17848,176
128,2908,852,328,18024,176
129,2949,910,300,18204,180
130,2984,902,332,18384,180
131,3008,886,336,18556,172
132,3066,890,302,18728,172
133,2923,892,467,18912,184
134,2927,842,328,19076,164
135,2909,832,352,19240,164
136,2933,806,298,19396,156
137,3018,810,230,19552,156
138,3045,830,302,19716,164
139,3141,826,222,19880,164
140,3213,832,283,20044,164
141,3175,834,392,20224,180
142,3012,806,468,20400,176
143,3051,808,311,20584,184
144,3048,804,329,20772,188
145,2862,768,474,20960,188
146,2915,790,271,21140,180
147,2842,794,365,21316,176
148,2919,798,248,21484,168
149,2894,790,336,21652,168
150,2872,794,343,21816,164
151,2753,788,422,21980,164
152,2675,754,352,22144,164
153,2751,758,233,22304,160
154,2594,746,437,22476,172
155,2524,742,351,22644,168
156,2519,760,270,22800,156
157,2507,742,297,22964,164
158,2543,744,253,23120,156
159,2556,756,304,23280,160
160,2546,748,307,23440,160
161,2600,788,271,23608,168
162,2673,780,240,23768,160
