step,training_loss,selection_reconstruction_rmse,matched_relative_rmse,stress_relative_rmse
1,0.9962099194526672,0.9956604573345414,0.995747328564357,0.9955735785245623
100,0.5711605548858643,0.6135606267093051,0.6167973719987739,0.6103067156694547
200,0.4517354965209961,0.4867405989015036,0.48927140943877323,0.4841965604419193
300,0.32446110248565674,0.4583548468656531,0.46048972166279356,0.45620998184322475
400,0.3671385645866394,0.41980244555925356,0.4223473497481624,0.41724201940332356
500,0.1916637122631073,0.3965673986602269,0.39970794554924616,0.39340178142082616
600,0.3379099369049072,0.3844681095287741,0.3875627130145033,0.38134839447688335
700,0.3058812916278839,0.37383724913144745,0.3767168320493433,0.3709353125910806
800,0.2354230135679245,0.3609108333268758,0.36348770679072856,0.35831542841108194
900,0.3282920718193054,0.3484245093051071,0.3507514539189443,0.3460819194103558
1000,0.15126967430114746,0.3378401095567975,0.34003263688986063,0.33563325982450853
1100,0.15135464072227478,0.328923113973861,0.33106010033366395,0.3267721526990747
1200,0.16544856131076813,0.32175703040230946,0.3238977304462825,0.3196019922315453
1300,0.18676768243312836,0.3159062071079892,0.31809961114652197,0.31369746694409734
1400,0.24242211878299713,0.3112812029963672,0.31345226263834214,0.3090948943684365
1500,0.10708944499492645,0.30699681251354666,0.30918551282425405,0.3047923956508077
1600,0.16544975340366364,0.303180540647994,0.30531888228933995,0.3010270097064515
1700,0.13945329189300537,0.2990014143658325,0.30109467531345463,0.2968933951495416
1800,0.2035558968782425,0.29530103497430593,0.297329993072104,0.2932580395036683
1900,0.4939388632774353,0.29239014416901105,0.29433011810639576,0.2904372124742717
2000,0.125175341963768,0.28888499789515343,0.29073424596355946,0.2870238356683397
2100,0.26288384199142456,0.28589347107531193,0.2877567453016783,0.28401797326994194
2200,0.10447598993778229,0.2829408823465658,0.2847656014235395,0.2811043188070867
2300,0.17892001569271088,0.2802160716038811,0.28204428534538145,0.2783758514566878
2400,0.17181192338466644,0.27772318735181484,0.27952371339036375,0.27591091177799454
2500,0.19894665479660034,0.27515705995014883,0.2769231500355703,0.2733795607853605
2600,0.23542281985282898,0.2727027558918178,0.27443026524284125,0.2709642331761307
2700,0.12124785780906677,0.27019868731851726,0.27187713072965347,0.2685097522316659
2800,0.13812586665153503,0.26795354653885395,0.26957914843883335,0.2663180221699106
2900,0.1660962700843811,0.26608345957480295,0.2676533035187175,0.2645042987062949
3000,0.19392719864845276,0.2642380309275608,0.2657317931528501,0.26273577617964405
