step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,0,0.0,nan,nan,1,2,0,0,2,0,0,-105.0,70.5,-47.5,192878,0,32,1,0,0,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,2,562500.0,29.390546183301733,20.497989285943564,6,12,2,4,12,0,6,-105.0,70.5,-47.5,192878,0,32,6,0,0,5.0,1157168,1.157168,nan,1.157168,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,0,0,4
4,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,1,562500.0,40.21895765718149,38.96636919769081,8,16,1,2,16,0,3,-105.0,70.5,-47.5,192878,4,32,8,4,5,5.0,579256,1.736424,nan,0.579256,nan,2,0,578320,4,0,0,2,264,128,32,136,34,66,2,672,4,2
5,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,2,562500.0,37.1797532141252,31.770929479653173,10,20,2,5,20,0,7,-105.0,70.5,-47.5,192878,5,32,10,3,6,5.0,1447300,3.183724,nan,1.4473,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,840,5,5
6,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,2,562500.0,42.64217099300142,30.273877747652737,11,22,2,3,22,0,5,-105.0,70.5,-47.5,192878,9,32,11,6,10,5.0,869388,4.053112,nan,0.869388,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1512,9,3
7,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,1,562500.0,43.000488210444985,33.4273623807921,12,24,1,4,24,0,5,-105.0,70.5,-47.5,192878,7,32,12,5,10,5.0,1158344,5.211456,nan,1.158344,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,1176,7,4
8,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,1,562500.0,44.262250136646486,23.378891605652797,13,26,1,3,26,0,4,-105.0,70.5,-47.5,192878,8,32,13,5,10,5.0,869220,6.080676,nan,0.86922,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1344,8,3
9,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,3,562500.0,45.50275809414436,35.730525616663144,16,32,3,3,32,0,6,-105.0,70.5,-47.5,192878,9,32,16,5,12,5.0,869388,6.950064,nan,0.869388,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,1512,9,3
10,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,1,562500.0,32.044503657443364,23.30988835849183,17,34,1,4,34,0,5,-105.0,70.5,-47.5,192878,7,32,17,4,12,5.0,1158344,8.108408,nan,1.158344,nan,4,0,1156640,8,0,0,4,528,256,64,272,68,132,4,1176,7,4
