step,eval_is_final,eval_n_pairs_per_zone,t2_b0_total,t2_b0_balanced_rmse_total,t2_b0_reachable_rmse_total,t2_b0_censored_rmse_total,t2_b0_unavailable_censored_rmse_total,t2_b0_false_reachable_rate_total,t2_b0_active_models_total
50,1,5000,33.0739616876749,28.940158187445633,22.32791153609341,15.665602668719746,14.504143853233742,0.985781990521327,211
100,1,5000,33.08881665812058,29.093695746140753,22.71558838903396,15.815887575787924,14.580090457802152,0.9823529411764705,170
150,1,5000,33.50786427439838,29.22949961399199,22.280163575884114,16.243299114629764,15.188236036579324,0.9725274725274725,182
200,1,5000,34.017993887776356,29.32582014973933,21.45300648255936,16.567917741982125,15.723611502135745,0.9902912621359223,206
250,1,5000,33.199426551824985,28.96435336883591,22.103691641735857,15.767053256788346,14.650295458819619,0.9901960784313726,204
300,1,5000,32.76958619711806,29.171311750590927,23.54075979016068,15.677123330140482,14.213996249643584,0.9741935483870968,155
350,1,5000,35.00664815051409,29.854497002988886,21.08839767092006,17.44032729324751,16.851570660657,0.9887005649717514,177
359,1,5000,34.39869476285575,29.864446697782824,22.309089593488295,17.256166957246677,16.364487983635907,0.9597989949748744,199
