step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,6,3,0,0.0,0.0,0,0.0,57.5,3,562500.0,59.35386483346665,45.681154542495044,3,6,3,3,6,0,6,-105.0,70.5,-47.5,192878,0,32,3,0,0,5.0,867876,0.867876,nan,0.867876,nan,3,0,867480,6,0,0,3,396,192,48,204,51,99,3,0,0,3
3,-47.5,57.5,10,5,0,0.0,0.0,0,0.0,57.5,5,562500.0,35.43944085911509,19.986092455809047,5,10,5,5,10,0,10,-105.0,70.5,-47.5,192878,3,32,5,3,3,5.0,1446964,2.31484,nan,1.446964,nan,5,0,1445800,10,0,0,5,660,320,80,340,85,165,5,504,3,5
4,-47.5,57.5,36,18,0,0.0,0.0,0,0.0,57.5,12,562500.0,36.51333835076454,20.71732499539195,18,36,12,9,36,0,21,-105.0,70.5,-47.5,192878,5,32,18,5,13,5.0,2604468,4.919308,nan,2.604468,nan,9,0,2602440,18,0,0,9,1188,576,144,612,153,297,9,840,5,9
5,-47.5,57.5,40,20,0,0.0,0.0,0,0.0,57.5,14,562500.0,39.714819162356605,28.387127340440514,20,40,14,10,40,0,24,-105.0,70.5,-47.5,192878,11,32,20,8,17,5.0,2894768,7.814076,nan,2.894768,nan,10,0,2891600,20,0,0,10,1320,640,160,680,170,330,10,1848,11,10
6,-47.5,57.5,60,30,0,0.0,0.0,0,0.0,57.5,18,562500.0,34.38864193639488,21.63908208312599,30,60,18,12,60,0,30,-105.0,70.5,-47.5,192878,17,32,30,11,27,5.0,3474360,11.288436,nan,3.47436,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,2856,17,12
7,-47.5,57.5,66,33,0,0.0,0.0,0,0.0,57.5,20,517844.3190510676,23.54207306539236,6.719525062843092,33,66,20,12,66,0,32,-105.0,70.5,-47.5,192878,17,32,33,12,33,5.0,3474360,14.762796,nan,3.47436,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,2856,17,12
8,-47.5,57.5,72,36,0,0.0,0.0,0,0.0,57.5,20,560334.4613161114,32.75656370840579,16.29214223993545,36,72,20,12,72,0,32,-105.0,70.5,-47.5,192878,31,32,36,11,34,5.0,3476712,18.239508,nan,3.476712,nan,12,0,3469920,24,0,0,12,1584,768,192,816,204,396,12,5208,31,12
9,-47.5,57.5,82,41,0,0.0,0.0,0,0.0,57.5,22,509681.2527709318,21.642571691903886,5.2684316904182165,41,82,22,14,82,0,36,-105.0,70.5,-47.5,192878,39,32,41,14,38,5.0,4056640,22.296148,nan,4.05664,nan,14,0,4048240,28,0,0,14,1848,896,224,952,238,462,14,6552,39,14
10,-47.5,57.5,98,49,0,0.0,0.0,0,0.0,57.5,22,485479.415528359,20.21278771068579,7.015358782351571,49,98,22,14,98,0,36,-105.0,70.5,-47.5,192878,74,32,49,13,48,5.0,4062520,26.358668,nan,4.06252,nan,14,0,4048240,28,0,0,14,1848,896,224,952,238,462,14,12432,74,14
