step,pending_transitions,pull_updates_this_step,queued_transitions,t2_b0_train_updates,train_updates_this_step
1,0,0,0,0,0
2,0,6,2,2,2
3,0,10,3,5,3
4,0,28,6,11,6
5,0,30,5,16,5
6,0,40,7,23,7
7,0,38,5,28,5
8,0,42,7,35,7
9,0,46,8,43,8
10,0,50,7,50,7
11,0,50,7,57,7
12,0,48,6,63,6
13,0,46,7,70,7
14,0,44,6,76,6
15,0,44,7,83,7
16,0,52,7,90,7
17,0,46,7,97,7
18,0,40,7,104,7
19,0,48,7,111,7
20,0,40,7,118,7
21,0,40,5,123,5
22,0,42,7,130,7
23,0,42,6,136,6
24,0,52,7,143,7
25,0,50,5,148,5
26,0,50,7,155,7
27,0,46,6,161,6
28,0,44,7,168,7
29,0,38,7,175,7
30,0,36,6,181,6
31,0,34,6,187,6
32,0,38,6,193,6
33,0,46,6,199,6
34,0,46,7,206,7
35,0,48,7,213,7
36,0,56,5,218,5
37,0,50,8,226,8
38,0,48,5,231,5
39,0,46,6,237,6
40,0,42,6,243,6
41,0,40,6,249,6
42,0,46,5,254,5
43,0,46,7,261,7
44,0,48,7,268,7
45,0,48,6,274,6
46,0,58,7,281,7
47,0,58,7,288,7
48,0,60,4,292,4
49,0,62,5,297,5
50,0,64,4,301,4
51,0,62,5,306,5
52,0,56,6,312,6
53,0,68,5,317,5
54,0,64,6,323,6
55,0,66,7,330,7
56,0,66,5,335,5
57,0,64,5,340,5
58,0,66,6,346,6
59,0,64,6,352,6
60,0,52,8,360,8
61,0,54,6,366,6
62,0,54,4,370,4
63,0,58,6,376,6
64,0,62,7,383,7
65,0,74,7,390,7
66,0,78,6,396,6
67,0,74,7,403,7
68,0,70,5,408,5
69,0,72,5,413,5
70,0,70,5,418,5
71,0,62,6,424,6
72,0,62,5,429,5
73,0,60,5,434,5
74,0,54,4,438,4
75,0,54,5,443,5
76,0,52,5,448,5
77,0,52,6,454,6
78,0,48,5,459,5
79,0,52,7,466,7
80,0,58,6,472,6
81,0,64,7,479,7
82,0,64,6,485,6
83,0,66,4,489,4
84,0,68,5,494,5
85,0,70,6,500,6
86,0,68,6,506,6
87,0,70,6,512,6
88,0,70,7,519,7
89,0,70,6,525,6
90,0,70,7,532,7
91,0,72,4,536,4
92,0,70,6,542,6
93,0,74,5,547,5
94,0,72,6,553,6
95,0,66,5,558,5
96,0,54,5,563,5
97,0,46,7,570,7
98,0,38,4,574,4
99,0,32,3,577,3
100,0,36,4,581,4
101,0,32,4,585,4
102,0,28,3,588,3
103,0,28,4,592,4
104,0,30,5,597,5
105,0,30,5,602,5
106,0,28,4,606,4
107,0,22,4,610,4
108,0,24,3,613,3
109,0,20,3,616,3
110,0,16,4,620,4
111,0,14,4,624,4
112,0,16,4,628,4
113,0,24,5,633,5
114,0,26,5,638,5
115,0,32,4,642,4
116,0,32,4,646,4
117,0,34,4,650,4
118,0,38,4,654,4
119,0,38,5,659,5
120,0,44,5,664,5
121,0,50,5,669,5
