zone	mode	job_id	results_dir
factor_b1_v2	central	2203014	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v2/cell_grid_central_eval50_tail10x25
factor_b1_v3	central	2203015	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b1_v3/cell_grid_central_eval50_tail10x25
factor_b2_v2	central	2203016	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v2/cell_grid_central_eval50_tail10x25
factor_b2_v3	central	2203017	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b2_v3/cell_grid_central_eval50_tail10x25
factor_b3_v2	central	2203018	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v2/cell_grid_central_eval50_tail10x25
factor_b3_v3	central	2203019	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_factorial_sweeps_v1/methods/factor_b3_v3/cell_grid_central_eval50_tail10x25
