step,eval_is_final,eval_n_pairs_per_zone,t2_b0_active_models_total,t2_b0_active_models_z0,t2_b0_balanced_rmse_total,t2_b0_censored_gain_vs_prior_total,t2_b0_censored_rmse_total,t2_b0_censored_rmse_z0,t2_b0_false_reachable_rate_total,t2_b0_false_reachable_rate_z0,t2_b0_floor_rmse_total,t2_b0_individual_total,t2_b0_individual_z0,t2_b0_mean_abs_prediction_shift_from_prior_db_total,t2_b0_mean_model_rmse_total,t2_b0_mean_model_rmse_z0,t2_b0_mean_support_total,t2_b0_median_model_rmse_total,t2_b0_p10_model_rmse_total,t2_b0_p90_model_rmse_total,t2_b0_prior_censored_rmse_total,t2_b0_prior_false_reachable_rate_total,t2_b0_prior_floor_rmse_total,t2_b0_prior_reachable_rmse_total,t2_b0_prior_rmse_total,t2_b0_reachable_count_total,t2_b0_reachable_gain_vs_prior_total,t2_b0_reachable_rmse_total,t2_b0_rmse_gain_vs_prior_total,t2_b0_supported_fraction_total,t2_b0_supported_gain_vs_prior_total,t2_b0_supported_prior_rmse_total,t2_b0_supported_rmse_total,t2_b0_total,t2_b0_unavailable_censored_rmse_total,t2_b0_unavailable_censored_rmse_z0,t2_b0_unavailable_count_total,t2_b0_z0
100,1,500,10,10,36.9461558573286,33.72596252094307,22.6918863432647,22.6918863432647,0.9,0.9,47.341004934659814,24.8703972657024,24.8703972657024,50.04513209838867,22.47655294669393,22.47655294669393,nan,19.122169411745325,15.69330089107246,27.9607445049675,56.41784886420777,0.0,0.0,58.628803364657884,56.4178489199811,4630,36.5184863826572,22.110316982000686,31.547451654278696,nan,nan,nan,nan,24.8703972657024,28.999459643281078,28.999459643281078,370,24.8703972657024
200,1,500,10,10,31.299847616256997,44.15650979892664,13.640255917823398,13.640255917823398,0.9428571428571428,0.9428571428571428,42.312143971252766,15.399250231005313,15.399250231005313,56.28156591949463,15.250988370173502,15.250988370173502,nan,14.650558518784186,12.963676188819067,17.94131588734136,57.79676571675004,0.0,0.0,59.05011954652304,57.79676565763346,4790,46.04845064757796,13.001668898945084,42.397515426628146,nan,nan,nan,nan,15.399250231005313,23.960786351578083,23.960786351578083,210,15.399250231005313
300,1,500,10,10,28.172855928811718,47.02962943521088,10.69102255367035,10.69102255367035,1.0,1.0,38.441769678735994,11.587757363432805,11.587757363432805,56.79318370513916,11.498807345607126,11.498807345607126,nan,10.997106229137508,10.234760547677435,14.01423962265015,57.72065198888123,0.0,0.0,58.247257838643556,57.72065203112693,4910,47.77586985336782,10.47138798527573,46.132894667694124,nan,nan,nan,nan,11.587757363432805,19.179989983826008,19.179989983826008,90,11.587757363432805
400,1,500,10,10,30.784953201762896,47.178470580699354,11.62025387353056,11.62025387353056,0.9833333333333333,0.9833333333333333,42.07608486687669,12.826479693358419,12.826479693358419,57.612001515197754,12.675677746330937,12.675677746330937,nan,12.36609593421764,10.550030665543959,14.47945404410076,58.79872445422991,0.0,0.0,59.51726900852974,58.79872432959822,4880,48.335597865768776,11.181671142760958,45.97224463623981,nan,nan,nan,nan,12.826479693358419,23.27484771990053,23.27484771990053,120,12.826479693358419
500,1,500,10,10,30.302755949047057,39.75706608843166,18.552332798279107,18.552332798279107,0.9,0.9,38.66367153691271,19.396697895094515,19.396697895094515,51.5446443283081,15.70500193435502,15.70500193435502,nan,11.627729579502764,9.914503919137903,19.451594262630024,58.30939888671076,0.0,0.0,59.20422437661629,58.30939871509245,4850,40.720865929062995,18.483358447553293,38.91270081999794,nan,nan,nan,nan,19.396697895094515,20.65877378809058,20.65877378809058,150,19.396697895094515
600,1,500,10,10,29.76147365980823,41.20250657012373,15.356025473972501,15.356025473972501,1.0,1.0,39.3553158805964,17.761844525763365,17.761844525763365,52.9312956451416,16.40327085513209,16.40327085513209,nan,13.8513226145017,13.054913597286712,21.80376070957182,56.55853204409623,0.0,0.0,58.64846566926643,56.55853205824904,4650,43.72701330210742,14.921452367159006,38.79668753248568,nan,nan,nan,nan,17.761844525763365,20.263711181516005,20.263711181516005,350,17.761844525763365
700,1,500,10,10,32.33624326318808,44.60464289568384,12.932775327599234,12.932775327599234,1.0,1.0,44.06919522978249,14.862307870996498,14.862307870996498,53.388775,14.407600029204028,14.407600029204028,nan,12.555279212522791,11.73774588168017,19.011226902658542,57.537418223283076,0.0,0.0,58.72388154934235,57.53741820461137,4800,46.510311696450486,12.213569852891867,42.675110333614874,nan,nan,nan,nan,14.862307870996498,24.52154192494737,24.52154192494737,200,14.862307870996498
800,1,500,10,10,25.507427694217846,44.239488932836295,11.178956990773932,11.178956990773932,1.0,1.0,34.37854961983234,13.37436770627631,13.37436770627631,53.94739210510254,13.349626913209661,13.349626913209661,nan,13.605598292405315,12.220114290188311,14.193229018768049,55.41844592361023,0.0,0.0,57.03853281838707,55.41844593106218,4720,46.11273485264431,10.925797965742762,42.04407822478587,nan,nan,nan,nan,13.37436770627631,14.808847226170386,14.808847226170386,280,13.37436770627631
900,1,500,10,10,31.32061476728008,39.469742110831135,19.580457945179106,19.580457945179106,0.9,0.9,39.747098782999416,20.092003168233244,20.092003168233244,52.54853259887695,15.508255684625365,15.508255684625365,nan,10.484518132622261,9.43660241448042,19.48080331706951,59.05020005601024,0.0,0.0,59.588935880592835,59.05020013812434,4910,40.04079128487193,19.548144595720906,38.95819696989109,nan,nan,nan,nan,20.092003168233244,21.26906413786659,21.26906413786659,90,20.092003168233244
1000,1,500,10,10,30.131123737948858,36.568356374216485,20.116803761925638,20.116803761925638,0.9,0.9,37.54799711259701,22.00509194540772,22.00509194540772,51.791931063842775,18.468373795684496,18.468373795684496,nan,14.061363858671026,12.488086347625185,23.177937598288242,56.68516013614212,0.0,0.0,59.03423207767461,56.685160258701636,4610,38.886846434480674,20.147385643193935,34.680068313293916,nan,nan,nan,nan,22.00509194540772,19.7517232799459,19.7517232799459,390,22.00509194540772
