step,feasible_contact_pairs,feasible_contact_decisions,t2_b0_events,t2_b0_pull_events,t2_b0_valid_pull_events,t2_b0_comm_mb,t2_b0_comm_cumulative_mb,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_policy_bytes,t2_b0_training_sample_bytes
80,4543,9086,41,41,41,106.19598,6908.965636,329280,1926344,103398680,536100
81,3909,7818,49,49,49,91.97988,7000.945516,283760,2302216,88968840,418400
82,3417,6834,40,40,40,80.21216,7081.157676,254240,1879360,77770920,302200
83,3362,6724,47,47,47,79.23698,7160.394656,252120,2208248,76519120,251100
84,3403,6806,49,49,49,80.37344,7240.768096,250480,2302216,77452280,361800
85,3231,6462,38,38,38,76.1371,7316.905196,227680,1785392,73537560,581300
86,3030,6060,52,52,52,72.33306,7389.238256,214320,2443168,68962800,705700
87,2905,5810,38,38,38,68.38102,7457.619276,215560,1785392,66117800,257100
88,2952,5904,49,49,49,69.96568,7527.584956,216680,2302216,67187520,252600
89,2884,5768,36,36,36,67.78062,7595.365576,215360,1691424,65639840,229100
90,2992,5984,33,33,33,70.18754,7665.553116,217960,1550472,68097920,316700
91,2934,5868,32,32,32,68.73664,7734.289756,205560,1503488,66777840,245400
92,2988,5976,31,31,31,70.00102,7804.290776,217120,1456504,68006880,316300
93,3038,6076,42,42,42,71.69142,7875.982196,222400,1973328,69144880,345100
94,3032,6064,34,34,34,71.05344,7947.035636,230840,1597456,69008320,212200
95,3066,6132,31,31,31,71.96446,8019.000096,234080,1456504,69782160,487500
96,3214,6428,43,43,42,76.204104,8095.2042,244440,2020312,73150640,783000
97,3281,6562,46,46,46,77.76414,8172.96834,252760,2161264,74675560,668300
98,2993,5986,53,53,53,71.49888,8244.46722,226840,2490152,68120680,654000
99,2973,5946,40,40,40,70.19012,8314.65734,214240,1879360,67665480,425600
100,2891,5782,28,28,28,67.7046,8382.36194,207280,1315552,65799160,378800
101,2729,5458,51,51,51,65.06122,8447.42316,199760,2396184,62112040,346300
102,2707,5414,25,25,25,63.2588,8510.68196,190480,1174600,61611320,279000
103,2686,5372,40,40,40,63.45388,8574.13584,199520,1879360,61133360,236200
104,2694,5388,46,46,46,63.92232,8638.05816,197360,2161264,61315440,242000
105,2109,4218,44,44,44,50.51316,8688.57132,152840,2067296,48000840,286200
106,1882,3764,39,39,39,45.1487,8733.72002,130400,1832376,42834320,346300
107,1840,3680,35,35,35,43.95368,8777.6737,128080,1644440,41878400,298000
108,1730,3460,38,38,38,41.5417,8819.2154,120440,1785392,39374800,255900
109,1701,3402,31,31,31,40.48928,8859.70468,118000,1456504,38714760,195800
110,1684,3368,26,26,25,39.881364,8899.586044,120240,1221584,38327840,208300
111,1675,3350,32,32,32,39.9223,8939.508344,121160,1503488,38123000,170300
112,1772,3544,34,34,34,42.51364,8982.021984,128840,1597456,40330720,452000
113,1596,3192,44,44,44,39.07362,9021.095604,117680,2067296,36324960,557700
114,1660,3320,46,46,45,40.976364,9062.071968,124280,2161264,37781600,903100
115,1718,3436,38,38,38,41.86132,9103.933288,129680,1785392,39101680,839400
116,1659,3318,39,39,39,40.05348,9143.986768,123960,1832376,37758840,333000
117,1696,3392,32,32,32,40.64118,9184.627948,118880,1503488,38600960,413500
118,1600,3200,38,38,38,38.56262,9223.190568,107960,1785392,36416000,248100
119,1589,3178,36,36,36,38.23058,9261.421148,113520,1691424,36165640,255100
120,1649,3298,35,35,35,39.61504,9301.036188,121800,1644440,37531240,312800
121,1616,3232,34,34,34,38.82136,9339.857548,119720,1597456,36780160,319400
122,1664,3328,30,30,30,39.72282,9379.580368,118680,1409520,37872640,317900
123,1819,3638,43,43,43,43.90848,9423.488848,128880,2020312,41400440,353000
124,1661,3322,36,36,36,40.0103,9463.499148,120120,1691424,37804360,389500
125,1537,3074,29,29,29,36.71822,9500.217368,113520,1362536,34982120,256100
126,1526,3052,26,26,26,36.24038,9536.457748,108200,1221584,34731760,175300
127,1430,2860,35,35,35,34.44258,9570.900328,105280,1644440,32546800,141300
128,1431,2862,37,37,37,34.62362,9605.523948,99720,1738408,32569560,210900
129,1390,2780,34,34,34,33.73248,9639.256428,100600,1597456,31636400,393400
130,1358,2716,35,35,35,33.14764,9672.404068,99160,1644440,30908080,491200
131,1534,3068,24,24,24,36.76264,9709.166708,108320,1127616,34913840,609600
132,1820,3640,41,41,41,44.26584,9753.432548,134320,1926344,41423200,776400
133,1754,3508,43,43,43,42.49728,9795.929828,125480,2020312,39921040,424600
134,1583,3166,32,32,32,37.99732,9833.927148,111200,1503488,36029080,349200
135,1492,2984,33,33,33,35.89386,9869.821008,105080,1550472,33957920,275900
136,1595,3190,26,26,26,38.37666,9908.197668,115440,1221584,36302200,733900
137,1910,3820,37,37,37,45.87272,9954.070388,144080,1738408,43471600,513600
138,2171,4342,39,39,39,51.80704,10005.877428,157200,1832376,49411960,400200
139,2147,4294,33,33,33,50.88462,10056.762048,158440,1550472,48865720,305500
140,2246,4492,39,39,39,53.41734,10110.179388,163800,1832376,51118960,296900
141,2216,4432,31,31,31,52.32284,10162.502228,162360,1456504,50436160,263600
142,2274,4548,33,33,33,53.7332,10216.235428,165400,1550472,51756240,256600
143,2376,4752,40,40,40,56.54866,10272.784088,171600,1879360,54077760,414500
144,2366,4732,38,38,38,56.32898,10329.113068,177160,1785392,53850160,511100
145,2538,5076,44,44,44,60.45438,10389.567448,191320,2067296,57764880,424900
146,2670,5340,41,41,41,63.27096,10452.838408,193840,1926344,60769200,376000
147,2540,5080,43,43,43,60.61654,10513.454948,177680,2020312,57810400,602300
148,2777,5554,39,39,39,65.91648,10579.371428,197280,1832376,63204520,677000
149,3057,6114,37,37,37,72.0626,10651.434028,221040,1738408,69577320,520800
