step,contact_threshold_rx_power_dbm,contact_threshold_snr_db,feasible_contact_decisions,feasible_contact_pairs,greedy_comm_bytes,greedy_comm_cumulative_mb,greedy_comm_mb,greedy_events,local_policy_initial_pull_probability,model_transfer_snr_min_db,network_half_duplex_rejections,network_mean_direction_capacity_bytes,network_mean_sinr_db,network_min_sinr_db,network_raw_contact_pairs,network_raw_directed_candidates,network_rejected_transfers,network_scheduled_transfers,network_shortlisted_directed_candidates,network_sinr_or_airtime_rejections,network_transfer_proposals,noise_floor_dbm,propagation_loss_contact_threshold_db,rssi_gossip_threshold_dbm,sample_network_bundle_capacity_bytes,sample_network_delivered_samples,sample_network_max_samples_per_direction,sample_network_raw_contact_pairs,sample_network_scheduled_transfers,sample_network_transfer_proposals,snr_min_db,t2_b0_comm_bytes,t2_b0_comm_cumulative_mb,t2_b0_comm_cumulative_vs_greedy_ratio,t2_b0_comm_mb,t2_b0_comm_vs_greedy_ratio,t2_b0_events,t2_b0_metadata_bytes,t2_b0_model_bytes,t2_b0_model_messages,t2_b0_policy_bytes,t2_b0_policy_messages,t2_b0_pull_events,t2_b0_scalar_bytes,t2_b0_scalar_control_bytes,t2_b0_scalar_control_messages,t2_b0_scalar_loss_bytes,t2_b0_scalar_loss_messages,t2_b0_scalar_messages,t2_b0_selected_providers,t2_b0_training_sample_bytes,t2_b0_training_sample_messages,t2_b0_valid_pull_events
1,-47.5,57.5,0,0,0,0.0,0.0,0,0.0,57.5,,,,,0,,,0,0,,0,-105.0,70.5,-47.5,,,,,,,5.0,0,0.0,nan,0.0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-47.5,57.5,2,1,0,0.0,0.0,0,0.0,57.5,1,562500.0,67.51023864746094,67.51023864746094,1,2,1,1,2,0,2,-105.0,70.5,-47.5,192878,0,32,1,0,0,5.0,289292,0.289292,nan,0.289292,nan,1,0,289160,2,0,0,1,132,64,16,68,17,33,1,0,0,1
3,-47.5,57.5,12,6,0,0.0,0.0,0,0.0,57.5,6,562500.0,35.43926073504476,20.513920311296747,6,12,6,6,12,0,12,-105.0,70.5,-47.5,192878,1,32,6,1,1,5.0,1735920,2.025212,nan,1.73592,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,168,1,6
4,-47.5,57.5,16,8,0,0.0,0.0,0,0.0,57.5,7,562500.0,33.65132553907991,25.316018565553886,8,16,7,6,16,0,13,-105.0,70.5,-47.5,192878,6,32,8,6,8,5.0,1736760,3.761972,nan,1.73676,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1008,6,6
5,-47.5,57.5,20,10,0,0.0,0.0,0,0.0,57.5,8,562500.0,33.497975435815825,23.555404297949593,10,20,8,6,20,0,14,-105.0,70.5,-47.5,192878,6,32,10,6,10,5.0,1736760,5.498732,nan,1.73676,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1008,6,6
6,-47.5,57.5,22,11,0,0.0,0.0,0,0.0,57.5,8,562500.0,34.81374877886342,18.096349354203287,11,22,8,6,22,0,14,-105.0,70.5,-47.5,192878,6,32,11,6,11,5.0,1736760,7.235492,nan,1.73676,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1008,6,6
7,-47.5,57.5,24,12,0,0.0,0.0,0,0.0,57.5,8,562500.0,32.90044935091698,18.645802926633397,12,24,8,6,24,0,14,-105.0,70.5,-47.5,192878,8,32,12,7,12,5.0,1737096,8.972588,nan,1.737096,nan,6,0,1734960,12,0,0,6,792,384,96,408,102,198,6,1344,8,6
8,-47.5,57.5,26,13,0,0.0,0.0,0,0.0,57.5,8,562500.0,32.559288068212915,18.660325783089135,13,26,8,7,26,0,15,-105.0,70.5,-47.5,192878,6,32,13,6,12,5.0,2026052,10.99864,nan,2.026052,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,1008,6,7
9,-47.5,57.5,32,16,0,0.0,0.0,0,0.0,57.5,9,562500.0,28.297789223676023,19.249117314769137,16,32,9,7,32,0,16,-105.0,70.5,-47.5,192878,7,32,16,7,16,5.0,2026220,13.02486,nan,2.02622,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,1176,7,7
10,-47.5,57.5,34,17,0,0.0,0.0,0,0.0,57.5,9,562500.0,41.44808682184887,24.016478467556638,17,34,9,7,34,0,16,-105.0,70.5,-47.5,192878,19,32,17,7,16,5.0,2028236,15.053096,nan,2.028236,nan,7,0,2024120,14,0,0,7,924,448,112,476,119,231,7,3192,19,7
